id,name,review_count,rating,latitude,longitude,price,zip_code
2ylCgYyEDEVzI0Hve5uggQ,Wahlburgers,497,3,42.3356,-83.04142,2,48226
0ojoJyFzvm_yFLzGuc9uMQ,IHOP,40,3,42.33051,-83.04165,2,48226
byVhTxgjRwLZ9dh2RKvvfw,Buffalo Wild Wings,201,2,42.33431,-83.04473,2,48226
cBkQjZjXyEWDcVxdGbNW0Q,Salsarita's Fresh Mexican Grill,19,3.5,42.32946,-83.0403,1,48243
iomqeStAK1zbNTSzWu9mgA,Potbelly Sandwich Shop,31,3,42.3289,-83.03844,1,48243
k709nmOjGp29Y_NNqXPV9Q,HopCat,764,3.5,42.35244,-83.06161,2,48201
Uybwrt93KQuC_bkM7v6L3g,Texas de Brazil,595,3.5,42.3324,-83.04702,3,48226
7T8cK3JxR7rdtEz-3R31EA,Shake Shack,343,3.5,42.3311,-83.04607,2,48226
PKlOvhc4-dpZPX0rR72Asg,Blimpie,52,5,42.35526,-83.06539,1,48201
LZmp0yqWs7d_pBJ-0IZpGA,Wingstop,57,2,42.44615,-83.12078,2,48203
MCAmhpTjBlZ32OGRtAVhwQ,White Castle,30,2.5,42.4494,-83.12621,1,48220
wEcWM_i0i3eMImkBQHWDlQ,Boston Market,19,2,42.42835,-83.14101,1,48221
JG8q7Yt32PMJQ21FmJ3FEQ,McDonald's,24,1,42.44594,-83.12017,1,48220
-6XB_v_ktL5pNAIZLnmvgg,KFC,7,2.5,42.44702,-83.11385,1,48220
rXbwiJlmnNGaIsA-g7DVnQ,Little Caesars Pizza,12,1.5,42.41852,-83.14059,1,48221
CJr_q0J61Or1MBwP_SR2aQ,McDonald's,8,2.5,42.41741,-83.14139,1,48221
HD85OFB1xFPEQ0mOI2yhtA,Jet's Pizza,62,2.5,42.44617,-83.15708,2,48220
ku-FO1M1xn3geiSMJNGjYw,Burger King,24,1.5,42.44626,-83.16562,1,48220
