id,name,review_count,rating,latitude,longitude,price,zip_code
8ctLeteWujq_EfH2lRSTAw,Supino Pizzeria,923,4.5,42.34548,-83.04006,2,48207
YtWT6_MKURJKEpNKbO-nzg,ima,526,4.5,42.33114,-83.07376,2,48216
NJlo89T6JR_zwrqdMhflpA,The Goblin,111,5,42.56198,-82.89617,1,48035
TkLcUfsNpPMCf-ksOv7Yeg,ima,100,4,42.35582,-83.06632,2,48201
2_arAchX5g9VbUcUYLa5Qw,Bucharest Grill,139,3,42.36689,-83.06847,1,48202
QjiScrrpktNME-EXhK7Gig,Supino Pizzeria,19,4,42.3693,-83.07286,0,48202
EzgWrsHMx-BxR0l5KdATLQ,Sheeba Restaurant,32,4,42.3903,-83.05332,1,48212
Jola2XUxkz9s5gwVfsKBiQ,China House,39,3.5,42.35911,-83.05876,1,48201
flpMXV_1i4xE5ZCWYz3VOg,Bucharest Grill,134,3,42.43659,-83.14131,1,48221
EcwW8y3CPpOz8aYdKERZ9Q,Amicci's Pizza,75,3.5,42.39766,-83.05853,1,48212
39GBMqqrw0Ax6FXe2Fws_A,The Red Hook,184,4.5,42.46083,-83.13663,1,48220
bd3ZE5iuzSix0EpG-VGobg,Lou's Deli,65,3.5,42.41722,-83.1529,2,48221
JE_Djpnqhc2XgliB92CNFQ,Asian Corned Beef,43,3.5,42.388,-83.15898,1,48238
jQxVHlNjtOXtJZVxJhJ7cw,Mr. Corned Beef,21,4,42.44658,-83.158,0,48220
rr1l0aTQHIxYkUecXXvsow,Fresh Fish House,26,3.5,42.44549,-83.16229,2,48221
YZaT35IFzTMHfCEnD_LFoA,Pappa’s Drive Thru,4,4.5,42.4467,-83.13955,0,48220
FyLaLYY8LWXW0EFaFOkRPQ,Captain Jay's Fish & Chicken,12,2,42.41825,-83.14123,1,48221
eYhyHmUe_yr0tpbHof8UiA,Pappa’s Drive Thru,1,5,42.44667,-83.13967,0,48220
WmNfJzqnDX3EHpRQHBb_4g,Captain Jay's Fish & Chicken,4,3.5,42.41555,-83.17051,0,48235
LfP6juwAQ243Xhe5ROQNbA,Olympia Coney Island,3,4,42.4043,-82.96479,1,48213
ZXKMN_AvnojqU0Ls08uWvA,Captain Jay's Fish & Chicken,9,2.5,42.4051,-82.96447,0,48213
q6UaYYgDu8Sz5aJ4mJ3BTw,Universal Coney Island,7,2.5,42.39615,-82.95762,1,48215
fOo42xTa7ySrQeH34LGpvQ,Universal Coney Island,8,3,42.40591,-82.96115,1,48224
OnFPQNaesIZEzZ5YZ1vNTw,Checkers,5,3,42.41281,-82.94235,0,48224
ujhXNfnp6M4L6lRmybhiBg,Salvatore Scallopini,82,4,42.42646,-82.90989,2,48236
RYxXBba98PRqasYkmibFEg,The Red Hook,82,4.5,42.35522,-82.99706,1,48214
V4by95-R4Lx9Kgz4mjRrLQ,Bucharest Grill,210,3.5,42.33859,-83.02126,1,48207
NknTblUWQts1DgXSqlEd5g,Grandy's Coney Island,7,3,42.36121,-83.021,0,48207
-Rewm0oJJ3RBkrPcBI7eYQ,Universal Coney Island,4,4,42.39447,-83.20351,1,48227
k-OoEQ0B8cQ1hVEi74q3zw,Checkers,4,2.5,42.4,-83.21573,0,48227
a9hLP0J0AUjG3LQcjsWD8A,Manhattan Fish & Chicken,3,1.5,42.41479,-83.14115,1,48221
pm3jXWAZfmH7eJ04y-dQVw,Grandy's Coney Island,4,3,42.3949,-83.11601,1,48238
SGNikTeDbceMGx9LvHfuNQ,Manhattan Fish & Chicken,2,1,42.41501,-83.14099,0,48221
