id,name,review_count,rating,latitude,longitude,price,zip_code
quuV34VlUSjFaFWzFDWavw,Jacoby's German Biergarten,285,4.0,42.33229,-83.04208,2,48226
ngur8BN72eO8vh17hW80dg,Sweetwater Tavern,584,3.5,42.33167,-83.04163,2,48226
fJ-g62WpfeNbR4qv7qAawA,Niki's Pizza,251,3.5,42.33372,-83.042,2,48226
Uwo_Nx_2WDvGF9SwVMlEAg,Detroiter Bar,102,4.0,42.33292,-83.0413,1,48226
G28_p5q7RnAbeJnIc-XQww,Floods Bar & Grille,136,3.5,42.33418,-83.04006,2,48226
VOjmQVpCLjRlOkGtLDLFYQ,The Elephant Room,65,4.0,42.33242,-83.04129,0,48226
ADi8SOow2XPid6NfR98lGQ,Pegasus Taverna - Greektown,537,3.5,42.33511,-83.0418,2,48226
DGKGnFBhBbT2ZG6Tw4MeSQ,Red Smoke Barbecue,528,3.5,42.3355,-83.0412,2,48226
o2yrWVcAqSInuLua4UkK4A,Loco's Tex-Mex Grille,168,2.5,42.33376,-83.04207,2,48226
Y-b2ciCZx3B66e3jzwM58w,The Clique Restaurant,161,4.5,42.33324,-83.03345,1,48207
fvq6GctVWHECsH3Qr7Cy0w,Grand Trunk Pub,583,3.5,42.33064,-83.04554,2,48226
UB69uSqkwjTKMuGbWEqs5w,Basement Burger Bar,268,4.0,42.33544,-83.04415,2,48226
KGflsQO1qzh5V5QfwaDekw,Central Kitchen + Bar,384,3.5,42.3309,-83.04537,2,48226
4in-S0PWC_ESuyWRCySiAQ,Nathan's Deli,22,4.0,42.33172,-83.03849,1,48226
RMNdJkdMe7jGMQC0ckBlrg,Prism,90,4.0,42.33451,-83.04123,3,48226
15OGyKpAqgAJjlXIQUdpqQ,Firebird Tavern,191,4.0,42.33471,-83.04328,2,48226
gpOKnMXXiRemJf8x0-oHqg,Townhouse,911,3.0,42.33024,-83.04533,3,48226
kgXy9XwRanK8mfOuxQP1gA,Besa,163,4.0,42.33052,-83.04533,3,48226
gwp2wEKZXfWGxnLJKO5bgQ,Golden Fleece Restaurant,284,3.5,42.33526,-83.04214,2,48226
NJsDmNXS5c_V5_0pxW0UPg,Fishbone's,564,3.0,42.33448,-83.04335,2,48226
A_yrbQxH-SZ8wLm9NWkQPg,Highlands,142,4.0,42.32987,-83.04045,4,48243
QVcN7M8GiXUICGLwO2IZjQ,Checker Bar,146,4.0,42.33129,-83.04405,1,48226
2Sa8uYj52lHah_NvBkkeew,The Greek,87,4.0,42.33538,-83.04194,2,48226
R5OtDkJ4wzkJyPXxrzG7cg,Ham Shop Cafe,113,4.0,42.33399,-83.04427,1,48226
M5UMOhLFzoF8GxMve9sErA,Eat-N-Out Pizza & Gelato,64,4.0,42.33515,-83.0421,1,48226
3QMhnxYleG43BLS86ltP1g,Orchid Thai Restaurant,118,3.5,42.33362,-83.04537,1,48226
CczeReC8hCs-0l1_8sIVgw,Cadillac Square Diner,82,4.0,42.33196,-83.04416,1,48226
9LDcEENmYP6wi1WUppsbtw,Lunchtime Global,63,4.0,42.33098,-83.04539,1,48226
TfuX0QpF1s3uShFc7uj5Zw,Bangkok Crossing,109,3.5,42.3307,-83.04565,1,48226
I_0s7MUalZUap1BmAj7Mtg,Harbor House,217,3.0,42.33593,-83.04397,2,48226
4sPVal9E0yUjumVIN32hEw,The Old Shillelagh,191,3.0,42.33449,-83.04398,2,48226
loPaqMh6pX9PWTyPnpFaJw,Applebee's Bar + Grill,41,3.0,42.33051,-83.04165,0,48226
Dpukh89ld6B_F2cLh46gag,Mr. Kabob Xpress,76,3.5,42.33379,-83.04523,1,48226
ujOTFNtrW-6oO02KfAHZ1Q,Minnie's Detroit,7,3.5,42.33178,-83.03939,0,48226
JFEL1934mhmjtMWsf7nhdA,Bistro 555,76,2.5,42.33451,-83.04123,2,48226
T-6RpIP81phE4svW2DWvPA,Volt,83,3.0,42.32876,-83.04026,2,48243
hWWPnAgK2rcAjW2VKTtjaA,Gourmet Deli,10,4.5,42.33024,-83.03852,1,48243
PYGIPtijkfezc11XeS1LyA,Level Two Bar & Rooftop,129,2.5,42.33536,-83.04192,2,48226
gcu6m_o-g3mnuRSZ_hbq-g,The Baltimore,48,3.5,42.3345,-83.04497,1,48226
34VcpDU72IPQrKXjlnvC_g,Shredderz Food Truck,20,4.5,42.37384,-83.135,1,48204
M0VRYr5EaeCWdx8dTLAeJg,Delmar,43,3.0,42.33513,-83.04239,0,48226
FnOkWXk-WLlrimm7xlmRNQ,Delectabowl Food Truck & Catering,29,4.0,42.46085,-83.11274,1,48220
