id,name,review_count,rating,latitude,latitude_truncated,longitude,longitude_truncated,price,zip_code,is_black_owned
uQFHfnbJm7LIxLhjMKc4mQ,Lawrence Fish Market,1011,4.5,41.968411,41.96841,-87.726525,-87.72652,$$,60625,1
LPwAwxEjetjdNh7Uadro3g,Smoque BBQ,4391,4.5,41.95021,41.95021,-87.72795,-87.72795,$$,60641,1
8j97C2qR95tvpbGtoFxEAw,Noon O Kabab,1136,4.5,41.9669816,41.96698,-87.7081594,-87.70815,$$,60625,1
YqzDH4OmV43NeD1h4yu7Tg,Kabobi Grill,840,4.5,41.9680551997115,41.96805,-87.7086880803108,-87.70868,$$,60625,1
5u27W_xHIKhVbws08lXXJg,Bryn Mawr Breakfast Club,1048,4.5,41.9831649,41.98316,-87.71335,-87.71335,$$,60659,1
4-uKJdGyT0iZmu3rbSDwBw,Great Sea Restaurant,756,4.0,41.96817,41.96817,-87.71063,-87.71063,$$,60625,1
6stjHiOWQJZjzlGGZDGdUg,Ruby's Fast Food,280,4.5,41.96407172293697,41.96407,-87.72757509522815,-87.72757,$,60630,1
_3hz43PN50iPIap6XnjU8w,Torteria San Lenchito,139,5.0,41.9686651,41.96866,-87.7171894,-87.71718,$,60625,1
pVPyt3TugMd8FW5LGznkQQ,Kuma's Corner - Belmont,5161,4.0,41.939640045166,41.93964,-87.7004470825195,-87.70044,$$,60618,1
EqYsNrxTk6YM-Qk7xWC48g,Tre Kronor,789,4.0,41.9759307505565,41.97593,-87.7109275,-87.71092,$$,60625,1
kysa2NqoR8iYIjuaWELeZA,Nhu Lan Saigon Subs,859,4.5,41.9687048,41.9687,-87.6944151,-87.69441,$,60625,1
gFQ-NcVxqAb4S29S7DLehA,Hot Dog Station,201,4.5,41.9679886090324,41.96798,-87.7134617808249,-87.71346,$,60625,1
YuI-HxAzZX9bUQlgqrgw2Q,Dulce De Leche Cafe,117,5.0,41.96818,41.96818,-87.71497,-87.71497,$$,60625,1
jXFtE49rqbJyHuyc8DZuzA,LD Pho,187,4.5,41.9672852,41.96728,-87.7086269,-87.70862,$$,60625,1
SqAuXYtYi35pcACj9e2Uhw,Ssyal Ginseng House,235,4.5,41.968425,41.96842,-87.732829,-87.73282,$$,60630,1
IHb-KcVYS_wZBo4ZTIN_tw,Salam Restaurant,620,3.5,41.9657874,41.96578,-87.708574,-87.70857,$$,60625,1
e9aAISx0navH8qMr33X4TA,Mother Cluckers Kitchen - Chicago,891,4.5,41.9752685744915,41.97526,-87.7522482539673,-87.75224,$$,60630,1
bisRsdEh-VlV0RFoe__XiQ,Wabi Sabi,258,4.0,41.967286,41.96728,-87.708665,-87.70866,$$,60625,1
WODBuNjlEgNIf459Wh-AWw,Gather,907,4.5,41.9643402,41.96434,-87.6853638,-87.68536,$$,60625,1
3HE0HPAOa4kS5y4OhzQfzg,Monti's,711,4.5,41.9683017,41.9683,-87.6948851,-87.69488,$$,60625,1
eoOZJ9-R0eY30ouPEnqP2w,Shokran Moroccan Restaurant,484,4.5,41.953504,41.9535,-87.728805,-87.7288,$$,60641,1
VafY2u6YqUdnPwhty9RMCQ,Chicago Kalbi,325,4.0,41.9685599,41.96855,-87.72277,-87.72277,$$$,60625,1
qE08KWce0SrSCkPJgH1O_Q,SUBO Filipino Kitchen,117,4.5,41.96704,41.96704,-87.71358,-87.71358,$,60625,1
vyyTRcWa5AfRKcPC9ozn5w,Angelo's Wine Bar,322,4.0,41.9613729151644,41.96137,-87.7043616771698,-87.70436,$$,60618,1
61ZW2zyuzjAxt8K12UM3sg,Hala In Restaurant,321,4.0,41.9682049,41.9682,-87.74394,-87.74394,$$,60630,1
LlBuAYOAbdofrPzXn21W-g,Kale My Name,170,4.5,41.961351,41.96135,-87.7109115,-87.71091,$$,60618,1
rgaoVm01HFYC292weFuTXA,Goosefoot,312,4.5,41.9686849,41.96868,-87.6960164,-87.69601,$$$$,60625,1
GEpXn9rtTMtIj5NsGFiNQw,The Bad Apple,1629,4.0,41.959767,41.95976,-87.682822,-87.68282,$$,60618,1
y2YPhJsm4ZAOysBVy5k4pg,Rojo Gusano,229,4.0,41.9684136,41.96841,-87.7246131,-87.72461,$$,60625,1
9jZug9qvOZtJ90X2uf8zcQ,Shibam Restaurant,223,4.0,41.968302,41.9683,-87.740308,-87.7403,$$,60630,1
ToVDS0YPKcK1Y8Ww3r7ccA,Brasa Roja,311,4.0,41.9613992330456,41.96139,-87.7067254776816,-87.70672,$,60618,1
VYLQEouSQ8rY477drnBd_g,Crepe House Cafe,101,4.5,41.972802,41.9728,-87.745613,-87.74561,$,60630,1
eUlykGltBGH0RC5lkwx2eg,Honey Butter Fried Chicken,2068,4.0,41.94263,41.94263,-87.70274,-87.70274,$$,60618,1
0jxO2gCuNI6rTz9R1xHBig,First Slice,131,4.5,41.9661744,41.96617,-87.7010771,-87.70107,$,60625,1
rPp8L8pwkNwepgPRVBy99g,Old Irving Brewing,536,4.0,41.9606817809204,41.96068,-87.7393777788835,-87.73937,$$,60641,1
4xQ7x-Td1nFshx7J0Bd6pw,Peking Mandarin,190,4.0,41.9682451,41.96824,-87.7151227,-87.71512,$,60625,1
1uFRbr6B-BiNGtT90sdk0w,Community Tavern,510,4.5,41.9540099,41.954,-87.74883,-87.74883,$$,60641,1
m5_GCJP2W4zEJnyVgxa3eA,Longman & Eagle,2472,4.0,41.930156679293,41.93015,-87.707222394898,-87.70722,$$,60647,1
11855kAfayv4GH6DgGwvkQ,Sushi Joon,276,5.0,41.9815602,41.98156,-87.6925329,-87.69253,$$,60625,1
0ZENqrACvQ4tiMvFEkgVPg,Jimmy's Pizza Café,723,4.0,41.9613791459799,41.96137,-87.69007937031058,-87.69007,$,60618,1
MUmOoa2Zg2B2qBq1VHTNaA,Ban Po Jung,254,4.0,41.97599,41.97599,-87.715585,-87.71558,$$,60625,1
9mhqcimD0CYvqxzfj_VXnQ,Little Bad Wolf,1763,4.5,41.983356,41.98335,-87.669057,-87.66905,$$,60660,1
Enf_3DXmppx19hFGs0UDKw,La Nonna,350,4.5,41.9429574,41.94295,-87.7203016,-87.7203,$$,60618,1
0fFLUKl71vv3eNV2xhikEw,Spacca Napoli,1635,4.0,41.963286,41.96328,-87.673801,-87.6738,$$,60640,1
4i1Ny2zIE1VJSU9gLMkHqg,Lula Cafe,1993,4.5,41.927668036295,41.92766,-87.706845233929,-87.70684,$$,60647,1
3_bJTUh5BNaD10s4hZUcjQ,Patino's Grill,200,4.5,41.953742,41.95374,-87.706068,-87.70606,$,60618,1
JCmp_Uf0S2cnGQtDvsbleg,Luella's Southern Kitchen,806,4.0,41.965223,41.96522,-87.686103,-87.6861,$$,60625,1
g7zJWI1rnpjCfMI00n6ODg,"Noon O Kabab - Pick Up, Delivery & Catering",116,4.5,41.967021,41.96702,-87.708181,-87.70818,$$,60625,1
l6DJLECaIlx8ko-jFB8Qeg,Chicago Taco Authority,314,4.5,41.95324,41.95324,-87.73332,-87.73332,$,60641,1
sR4EOfPuI-at41uIxIZPhw,Hopleaf,2163,4.0,41.97581,41.97581,-87.66874,-87.66874,$$,60640,1
s3Hwq1VXyQ_3dpqzkluRvQ,The Angry Crab,927,4.0,41.9845332,41.98453,-87.6972261,-87.69722,$$,60659,1
_-toZK3WpdvKpXYjT8wTCg,Brazilian Bowl,177,4.0,41.9686181,41.96861,-87.7086805,-87.70868,$$,60625,1
nd1KFxtZHXIMLqPtgubLpQ,M henry,1808,4.0,41.9856948852539,41.98569,-87.6688842773438,-87.66888,$$,60660,1
hRYN65DXOBwIZ5Hzq_UxaA,Sticky Rice,901,4.0,41.95467,41.95467,-87.68883,-87.68883,$$,60618,1
4i9LUrKeoMmUB_qZicuJnQ,Cafe Selmarie,749,4.0,41.9674474,41.96744,-87.6875832,-87.68758,$$,60625,1
5N4g9tt8RCuZf0Hte94Oxw,Staropolska Restaurant,543,4.5,41.936365,41.93636,-87.719246,-87.71924,$$,60618,1
1cgWXsikJqAQezRmruj2rg,Bistro Campagne,726,4.0,41.96356,41.96356,-87.68563,-87.68563,$$$,60625,1
y12ngwgZED8rAy-DII0yzA,West River Cafe,190,4.0,41.9613562524319,41.96135,-87.7083145827055,-87.70831,$,60625,1
