id,name,review_count,rating,latitude,latitude_truncated,longitude,longitude_truncated,price,zip_code,is_black_owned
quuV34VlUSjFaFWzFDWavw,Jacoby's German Biergarten,285,4.0,42.33229,42.33229,-83.04208,-83.04208,$$,48226,1
ngur8BN72eO8vh17hW80dg,Sweetwater Tavern,584,3.5,42.3316688537598,42.33166,-83.041633605957,-83.04163,$$,48226,1
fJ-g62WpfeNbR4qv7qAawA,Niki's Pizza,251,3.5,42.3337210606674,42.33372,-83.04200186272,-83.042,$$,48226,1
Uwo_Nx_2WDvGF9SwVMlEAg,Detroiter Bar,102,4.0,42.332924183083,42.33292,-83.04129869515,-83.04129,$,48226,1
G28_p5q7RnAbeJnIc-XQww,Floods Bar & Grille,137,3.5,42.3341846466064,42.33418,-83.0400565266609,-83.04005,$$,48226,1
VOjmQVpCLjRlOkGtLDLFYQ,The Elephant Room,64,4.0,42.33242,42.33242,-83.04129,-83.04129,,48226,1
ADi8SOow2XPid6NfR98lGQ,Pegasus Taverna - Greektown,540,3.5,42.3351118673246,42.33511,-83.0418013896711,-83.0418,$$,48226,1
DGKGnFBhBbT2ZG6Tw4MeSQ,Red Smoke Barbecue,532,3.5,42.3355015,42.3355,-83.0411951,-83.04119,$$,48226,1
o2yrWVcAqSInuLua4UkK4A,Loco's Tex-Mex Grille,168,2.5,42.333758515946,42.33375,-83.0420716063488,-83.04207,$$,48226,1
Y-b2ciCZx3B66e3jzwM58w,The Clique Restaurant,162,4.5,42.33324,42.33324,-83.03345,-83.03345,$,48207,1
fvq6GctVWHECsH3Qr7Cy0w,Grand Trunk Pub,584,3.5,42.33064,42.33064,-83.04554,-83.04554,$$,48226,1
UB69uSqkwjTKMuGbWEqs5w,Basement Burger Bar,268,4.0,42.335437,42.33543,-83.0441524,-83.04415,$$,48226,1
KGflsQO1qzh5V5QfwaDekw,Central Kitchen + Bar,385,3.5,42.3308955873258,42.33089,-83.0453690361069,-83.04536,$$,48226,1
4in-S0PWC_ESuyWRCySiAQ,Nathan's Deli,22,4.0,42.3317184448242,42.33171,-83.0384902954102,-83.03849,$,48226,1
RMNdJkdMe7jGMQC0ckBlrg,Prism,91,4.0,42.33451,42.33451,-83.04123,-83.04123,$$$,48226,1
15OGyKpAqgAJjlXIQUdpqQ,Firebird Tavern,192,4.0,42.3347082245001,42.3347,-83.0432849552254,-83.04328,$$,48226,1
gpOKnMXXiRemJf8x0-oHqg,Townhouse,919,3.0,42.3302362802755,42.33023,-83.0453289313522,-83.04532,$$$,48226,1
kgXy9XwRanK8mfOuxQP1gA,Besa,165,4.0,42.33052,42.33052,-83.04533,-83.04533,$$$,48226,1
gwp2wEKZXfWGxnLJKO5bgQ,Golden Fleece Restaurant,288,3.5,42.3352594,42.33525,-83.0421371,-83.04213,$$,48226,1
