id,name,review_count,rating,latitude,latitude_truncated,longitude,longitude_truncated,price,zip_code,is_black_owned
CBOagxuEM98LgOZIkSjoVA,Jack Stack Barbecue - Freight House,2324,4.0,39.087412880131446,39.08741,-94.58529543239537,-94.58529,$$,64108,1
XeKw4qLeXzA8R7mPNMl62w,Messenger Coffee,425,4.5,39.0935641279717,39.09356,-94.5815123566286,-94.58151,$,64108,1
7MbgYsVGXIfVJruF5ZxYtQ,Grünauer,779,4.5,39.087555,39.08755,-94.585188,-94.58518,$$,64108,1
Fl9H8p4ZSdHWymCEo5Xcxg,Novel Restaurant,439,4.5,39.0891226,39.08912,-94.5799346,-94.57993,$$$,64108,1
34I8ATMlKT6ZT3G69qwu0g,Q39 Midtown,4804,4.5,39.0574096,39.0574,-94.59813648,-94.59813,$$,64111,1
e7h85DKUkbfolD5itnswVQ,Cafe Gratitude,652,4.0,39.087833,39.08783,-94.588633,-94.58863,$$,64108,1
mFrRCK7Q7DHxj09noHfuPw,Vietnam Cafe,688,4.5,39.1093329,39.10933,-94.5732875,-94.57328,$$,64106,1
MP7ZDyBcm0NBs8FnNC5a0w,Tom's Town Distilling Co,310,4.5,39.09329106984282,39.09329,-94.58317903154274,-94.58317,$$,64108,1
2p-gGsGNWZRPd_XPBr63ow,Tannin Wine Bar & Kitchen,375,4.0,39.0949471925346,39.09494,-94.58268310921,-94.58268,$$,64108,1
zd3JZnq3_-5ApwOZqq1YqA,Bristol Seafood + Steak + Social,568,4.0,39.097078156277036,39.09707,-94.5827580947229,-94.58275,$$$,64106,1
FFRhPjhtDmirTUYJjJBBkg,BRGR kitchen + bar,572,4.0,39.0970137,39.09701,-94.5830152,-94.58301,$$,64106,1
mqeEXmXmQuMhacDCVr1KQg,Extra Virgin,469,4.0,39.090266,39.09026,-94.584108,-94.5841,$$,64108,1
ayMzO1bxjefcvlWqKkDvTg,The Westside Local,587,4.0,39.093267909696884,39.09326,-94.5931870576711,-94.59318,$$,64108,1
PIxSFeeXQgYPB8kVJUBIBA,Parlor,297,4.5,39.09276,39.09276,-94.57738,-94.57738,$$,64108,1
1pP0mxU1jxgbpbgdlpb17A,Pigwich,466,4.5,39.1086335,39.10863,-94.5823936,-94.58239,$$,64106,1
zMTWiyosTlU0ASTh-MCXBw,Happy Gillis Cafe & Hangout,515,4.5,39.1089271922435,39.10892,-94.5702842416591,-94.57028,$$,64106,1
fGAqwViHN2mnFboadFW7Kw,Mildred's,228,4.5,39.090819,39.09081,-94.58565,-94.58565,$$,64108,1
3S0RW9h8SNBHbS0_8-BPSw,Baramee Thai Bistro,223,4.5,39.091378651991,39.09137,-94.5847295607085,-94.58472,$$,64108,1
gIiAL345VfgFlGVuucB6HQ,La Bodega,578,4.0,39.0850906,39.08509,-94.5928574,-94.59285,$$,64108,1
XFl244-1a1KMwU9ENVj2pg,The Rockhill Grille,370,4.5,39.0888599,39.08885,-94.58185,-94.58185,$$,64108,1
ing2rZ2j7w0SamBQIS24ZA,The Farmhouse,924,4.0,39.109417389491,39.10941,-94.584756444488,-94.58475,$$,64105,1
VFjx0oZH6rZQa-zrBQyejw,Chez Elle Creperie & Coffeehouse,477,4.0,39.092691,39.09269,-94.593285,-94.59328,$$,64108,1
SKtg3s-mDJSLx45VMYo7Lg,801 Chophouse,287,4.0,39.0969449,39.09694,-94.5825097,-94.5825,$$$$,64106,1
FIQgpj0r2FM9m8E3SRWngw,Banksia,258,4.5,39.103547720252706,39.10354,-94.5843829,-94.58438,$$,64105,1
B_n8aEbcnzPb-9dy8tBkig,Grinders,666,4.0,39.09144,39.09144,-94.57812,-94.57812,$$,64108,1
euy50BwMldpeIjN-EyJlsw,Affare,293,4.0,39.0900174,39.09001,-94.5834623,-94.58346,$$,64108,1
0JzCYmUk6kuhSp1JwR-7Cg,Vested Garment District Coffee,136,5.0,39.1048,39.10479,-94.58691,-94.58691,$,64105,1
9LQPPBbosdog99smAS-Skg,Town Topic,373,4.0,39.0884847090352,39.08848,-94.5888227189816,-94.58882,$,64108,1
wLB0YuWbXAMphLnzyMcVYQ,Le Fou Frog,347,4.5,39.10925,39.10925,-94.57895,-94.57895,$$$,64106,1
umrpNY5AEMMHA933EjlvBw,Cosentino's Downtown Market,312,4.0,39.0986622,39.09866,-94.5831343,-94.58313,$$,64106,1
nch20CkzLVgKOna4YHilNg,County Road Ice House,187,4.5,39.09737636278388,39.09737,-94.5819918063214,-94.58199,$$,64106,1
wjZXBD-IsmObIQDOVrbd7g,The Brick,336,4.0,39.09232,39.09232,-94.5797599,-94.57975,$,64108,1
QhzJXO6E_oLAx1Wz1Z_T2g,Joe's Kansas City Bar-B-Que,4073,4.5,39.044461224899,39.04446,-94.620753657734,-94.62075,$$,66103,1
snF9XeUAtv-Vp9coGa2rDQ,Slap's BBQ,962,4.5,39.10248,39.10248,-94.62443,-94.62443,$$,66101,1
-CXNZDmRmwkmk-UB3p0t4Q,Garozzo's Ristorante,494,4.0,39.1093305,39.10933,-94.572049,-94.57204,$$,64106,1
MWld7GgJ_lxIGaB96YptvQ,Blvd Tavern,338,4.0,39.0884,39.0884,-94.58842,-94.58842,$$,64108,1
-Z3n9nT-UK4PYNJiCr_fxA,Succotash,853,4.0,39.079067,39.07906,-94.57582,-94.57582,$$,64108,1
nvVVqdrzVERBx6-l73oNFg,Los Alamos Market y Cocina,156,4.5,39.09317,39.09317,-94.59304,-94.59304,$,64108,1
HvUVg6ptj_3rLlqhs--Vig,Boulevard Brewing Tours & Rec Center,204,4.5,39.0811957,39.08119,-94.5954116,-94.59541,$$,64108,1
zCu6UIcZ9EkqIdz5ldbkaw,Made In KC Cafe,115,4.5,39.100418670533706,39.10041,-94.58444524656124,-94.58444,$,64105,1
-8yEX1DlJuWzRpGooDOGIA,Kansas City Taco Company,353,4.0,39.1077805,39.10778,-94.5816638,-94.58166,$$,64106,1
lNT7du4clKpmccPW6r96zw,Farina,129,4.5,39.0902677,39.09026,-94.583939,-94.58393,,64108,1
kVeZkvLbYfLUSmpy8rVyKg,Arthur Bryant's Barbeque,1574,3.5,39.0914829,39.09148,-94.5561683,-94.55616,$$,64127,1
fjCVGIUVFBvTFKu7qTyr6A,Habashi House,252,4.5,39.1094112056405,39.10941,-94.5830138679103,-94.58301,$,64105,1
bPmZQ2pkEIwb5tSLAxZHIw,Blue Nile Cafe,276,4.5,39.1086335033147,39.10863,-94.5820589693018,-94.58205,$$,64106,1
OujTJ9fKn9SI78HJS8WjLA,Lidia's,664,3.5,39.0876717706659,39.08767,-94.5848658840366,-94.58486,$$$,64108,1
WRhGB4214JKNawzZNIQibg,Brown & Loe,335,4.0,39.108753,39.10875,-94.581352,-94.58135,$$,64106,1
Vsel0gsu6H065K3d3exLqg,The American Reserve,170,4.0,39.100668,39.10066,-94.5804788,-94.58047,$$,64106,1
67YywUzKv3CAyLuqOiGZhw,Pierpont's at Union Station,400,4.0,39.085055,39.08505,-94.584799,-94.58479,$$$,64108,1
_uIKZanuVa_hlLSK4PttPg,The Majestic Restaurant,420,4.0,39.1026203317431,39.10262,-94.5881026790877,-94.5881,$$$,64105,1
QBPCwCPbfdTR6QPiM5Fd6A,Milwaukee Delicatessen Company,218,4.0,39.103514987473034,39.10351,-94.58428250766518,-94.58428,$$,64105,1
tLL9K1ZKAcwZVUwGwlsBsQ,Mission Taco Joint - East Crossroads,389,4.0,39.091523761309226,39.09152,-94.5784527,-94.57845,$$,64108,1
hQFT_ITLIPoqtAZEPi4d8g,Taps on Main,152,4.5,39.0929095312103,39.0929,-94.58330204345732,-94.5833,$$,64108,1
P07ejQJszAM0mUm3eayD9g,Empanada Madness,287,4.0,39.084257,39.08425,-94.59519,-94.59519,$,64108,1
WQxh4GiOYRG5AbicbsY1HQ,Yard House,370,3.5,39.09849210796935,39.09849,-94.58352304013196,-94.58352,$$,64105,1
O253yNWTW_Supjc2eIeBRA,Corvino,215,4.0,39.0912695,39.09126,-94.5826795,-94.58267,$$$,64108,1
l3dWPzUllRCmWhH93FqI4A,Kobi-Q,199,4.0,39.09469,39.09469,-94.5808,-94.5808,$$,64108,1
IjrbGFZNHLk0lP5l08-D8A,The Phoenix,222,4.0,39.104803425649,39.1048,-94.5863330154719,-94.58633,$$,64105,1
dK8sIssAVVs4wajZ2q_a_A,The Russell,236,4.5,39.06933,39.06933,-94.58497,-94.58497,$$,64111,1
cE2OkgQyUMfQaTY43pjUDA,Lulu's Thai Noodle Shop,698,3.5,39.0879056908574,39.0879,-94.5877270686735,-94.58772,$$,64108,1
tS7Ee_BIGnU-u035TpoHUQ,Paleterias Tropicana,120,4.5,39.084621,39.08462,-94.59452,-94.59452,$,64108,1
EQBtf4Fl4tWRLarkVFqvjw,Spokes Cafe and Cyclery,85,4.5,39.09982,39.09982,-94.5904,-94.5904,$,64105,1
tZ7_rLvYgOLZWLCDcF7Ttw,The Antler Room,160,4.5,39.0811684405577,39.08116,-94.5761040132052,-94.5761,$$$,64108,1
WEkNtOXxHmfThi5fPYB5Bw,Il Lazzarone,388,4.0,39.1084863630069,39.10848,-94.5843549260945,-94.58435,$$,64105,1
1i6EFn-hwNApLZRDdnaRZQ,Pirate's Bone Burgers,78,4.5,39.08896515220284,39.08896,-94.58389607146685,-94.58389,$,64108,1
n6C8vFQsf5xiA3M_v2M6OQ,The Mixing Bowl,511,4.0,39.0746533351746,39.07465,-94.604595746728,-94.60459,$$,64108,1
E59e9XjPCV9HlVnzec25VA,The Town Company,59,4.5,39.0988427,39.09884,-94.58472637326373,-94.58472,,64105,1
yrs3sHmI1j46eDMoFeAxig,Anton's,579,3.0,39.0941544,39.09415,-94.5836334,-94.58363,$$$,64108,1
o_qYHrFtkvF-_Sy2v5PzlQ,You Say Tomato,312,4.0,39.07531,39.07531,-94.5759999,-94.57599,$$,64109,1
dn7d1fXsnSMzS033TFMNwg,Providence New American Kitchen,180,4.0,39.0980775,39.09807,-94.5841918,-94.58419,$$,64105,1
3jdTCui8Ra9ifEv8JCnUmw,Char Bar,1335,4.0,39.053964103862626,39.05396,-94.59250574325141,-94.5925,$$,64111,1
yrRypc83DaukcHEmVRkJDQ,The Belfry,115,4.0,39.0945434478247,39.09454,-94.5814973044657,-94.58149,$$,64108,1
dRt3RqDY-zKSxhQU-iWi3A,Ruby Jean's Kitchen & Juicery,189,4.5,39.07213,39.07213,-94.57168,-94.57168,$,64109,1
vEzdTcLbyvFM-L6KtrrQag,Filling Station - Midtown,298,4.5,39.0726532037047,39.07265,-94.5782490966211,-94.57824,$,64108,1
t1bv0TWpP-BPJMK2gtbK7g,Beer Kitchen,1109,4.0,39.05277811953968,39.05277,-94.5911822245369,-94.59118,$$,64111,1
DuyE2hm5ssgRdM_NhM-5Sw,Seven Swans Creperie,67,4.5,39.09144,39.09144,-94.5903124,-94.59031,$$,63108,1
-uz7BeCc5QvNMatQeRcyJw,Harry's Country Club,273,4.0,39.107933,39.10793,-94.580612,-94.58061,$$,64106,1
HYz2oznFahIDPmhcmUV3pw,Tacos El Gallo,138,4.5,39.08484,39.08484,-94.59426,-94.59426,$,64108,1
yzT-GfpBDLNz1_obneulyA,Blue Bird Bistro,480,3.5,39.09294,39.09294,-94.59362,-94.59362,$$,64108,1
uzelsW45nF2EI38lOvxzTA,Nguyen Pho&Grill,230,4.0,39.10868758001385,39.10868,-94.5806181121729,-94.58061,$,64106,1
YdUZEKxbJxgE1bavJO_4EQ,Mildred's,74,4.5,39.10326588853459,39.10326,-94.58430078769685,-94.5843,$,64105,1
_s4Rh9ea2XF0kS7am2MHBg,Blade & Timber KC - Power & Light,30,5.0,39.098546,39.09854,-94.5842136,-94.58421,,64105,1
