id,name,review_count,rating,latitude,latitude_truncated,longitude,longitude_truncated,price,zip_code,is_black_owned
zGcj-TTp7gievYEuOfVL5g,Solly's Grille,323,3.5,43.10033,43.10033,-87.91733,-87.91733,$,53212,1
cjVL2m1VZh15DRUFxsYgyQ,Mr. Perkins' Family Restaurant,26,4.5,43.09025,43.09025,-87.93742,-87.93742,$$,53209,1
UNrEHHKFUlpdv_mYnKufMw,Coffee Makes You Black,53,4.5,43.0697021484375,43.0697,-87.9302749633789,-87.93027,$,53206,1
0FmsP4_9lUglEdleoxuiMA,Ashleys Bar-B-Que,66,4.0,43.06751,43.06751,-87.93155,-87.93155,$$,53206,1
qofhWGN65gTt1Bf6vicHQg,Upper Crust Pizza,62,3.5,43.1036974,43.10369,-87.9080779,-87.90807,$$,53217,1
Zs8e7Fgs99o2VwiVvxVznw,Aliota's Pub & Grill,51,3.5,43.1040246,43.10402,-87.9076603,-87.90766,$$,53217,1
zVBktXKQBhN3Bz9ujxcSWg,Bungalow Restaurant,8,4.5,43.08156,43.08156,-87.92819,-87.92819,,53206,1
XiXPK2zkN6bxYesZSq57pQ,Jamaican Kitchen & Grill,10,5.0,43.06760065172,43.0676,-87.9046086966991,-87.9046,$,53212,1
ZhP-4zxRzOBa57equPMWnQ,Flavor Cycle,6,5.0,43.07501,43.07501,-87.91074,-87.91074,,53212,1
x6ZegN00dEe9wqsRy7U0PA,Anchorage Restaurant,53,2.5,43.10239859561274,43.10239,-87.91639994422258,-87.91639,$$$,53212,1
JPMOU0AD2HADeCUBY3LSrA,Sam's Place,10,4.0,43.0798,43.0798,-87.91649,-87.91649,,53212,1
VssM_g3GVsTWvBv_tslM8Q,Dairy Queen,16,3.5,43.10373,43.10373,-87.9082645475864,-87.90826,$,53217,1
7dL7RH4ZV8igK1HBjbhf0g,Rise & Grind Cafe,4,5.0,43.068206,43.0682,-87.91439,-87.91439,,53212,1
