id,name,review_count,rating,latitude,latitude_truncated,longitude,longitude_truncated,price,zip_code,is_black_owned
El_2Cxuq4hxqrmlg_5nzzA,Brasserie by Niche,680,4.5,38.6399899656955,38.63998,-90.261864943672,-90.26186,$$$,63108,1
S26FJcC298XNpN2cZiwOrA,Pi Pizzeria - Central West End,490,4.0,38.648863580042,38.64886,-90.260690098716,-90.26069,$$,63108,1
KWIapYSSHxfZ1NQFpV2S9g,2Schae Cafe,305,4.5,38.64719,38.64719,-90.27479,-90.27479,$,63108,1
KhKcgF3zi6J_M6HBzkFkLg,Evangeline's Bistro and Music House,365,4.0,38.650036,38.65003,-90.260482,-90.26048,$$,63108,1
ngU4740twiB222g4ti0_eQ,Cocina Latina,94,4.5,38.649867,38.64986,-90.260737,-90.26073,$$,63108,1
YpGPZ-Zg89BsFUWwCXoaBw,Yellowbelly,340,4.5,38.6433255,38.64332,-90.2613778,-90.26137,$$$,63108,1
79nXYNRPoZBc9_y_OLZg2w,Mission Taco Joint - Central West End,298,4.0,38.6480756,38.64807,-90.2607314,-90.26073,$$,63108,1
_OMGZ3TXOfN2By7skat_bw,Drunken Fish - Central West End,768,3.5,38.6449378578044,38.64493,-90.261662897612,-90.26166,$$,63108,1
NJaR_2hke7NNAC6l1Ohr8g,El Burro Loco,487,4.0,38.645175,38.64517,-90.261812,-90.26181,$$,63108,1
kqt8O-XxMkE6ga42IPa7sA,SUSHI KOI,195,4.5,38.64054,38.64054,-90.26187,-90.26187,$$,63108,1
Fm16G-I-rmO3g_KTKleteQ,Pickles Deli,222,4.0,38.64079,38.64079,-90.2616,-90.2616,$,63108,1
URURwZcedT6sAXbeTuxgOA,Bait,246,4.0,38.64113,38.64112,-90.2496,-90.2496,$$$,63108,1
tWJ3DwufXIKdlLTEw7K96g,India Rasoi,343,4.0,38.6412304,38.64123,-90.2621829,-90.26218,$$,63108,1
ARgidflSXPHj7uhK-Y7hwA,Kampai Sushi Bar,335,4.0,38.64247,38.64247,-90.26328,-90.26328,$$,63108,1
rXqlpCH6z9rSFNCL76FfLw,Thai 202,318,4.0,38.644486,38.64448,-90.2617065,-90.2617,$,63108,1
-rCB_kCW-u84S-CQir-lng,PuraVegan,137,4.5,38.65994644165039,38.65994,-90.28485107421875,-90.28485,$$,63112,1
Ut_46Y-g3BsokjYGUHJ5Ng,Medina Grill,99,4.5,38.64504,38.64504,-90.26192,-90.26192,$,63108,1
7_YYjlT-qRP8h1IkpPWObw,Kingside Diner,300,4.0,38.64453556882819,38.64453,-90.26136427419951,-90.26136,$$,63108,1
RBujFM-QxuMU_YorRW8_0Q,Saigon Cafe,189,4.0,38.640762231402,38.64076,-90.261976035372,-90.26197,$$,63108,1
5UyyV-cdNsXWz1V-xyIW6w,The Preston,110,4.0,38.6441934506736,38.64419,-90.2639736311266,-90.26397,$$,63108,1
K_AkVae9Fdxx-1f7Je6mOQ,West End  Bistro,78,4.5,38.646475,38.64647,-90.274821,-90.27482,,63108,1
hfIr80hSKHko4RDXdrBEKg,Salt + Smoke,95,4.0,38.648133,38.64813,-90.260882,-90.26088,$$,63108,1
lgu_KwQLd8TX2ewsNIzsjA,K-Bop STL,75,4.5,38.654976033387726,38.65497,-90.29688432812691,-90.29688,$$,63112,1
x1IQQIcAwdmknhiZOi95Pg,Zenwich - St Louis,87,4.5,38.6399126446869,38.63991,-90.2620824300941,-90.26208,,63108,1
_RTpa-9N1RW58StUeco9jA,Bar Italia Ristorante,241,3.5,38.64504,38.64504,-90.26192,-90.26192,$$,63108,1
Yy7oNvAgFKRjl2u35HwepQ,Shell City Crab Shack,63,3.5,38.6608521776846,38.66085,-90.2594567835331,-90.25945,$$,63113,1
tuos6bve7ktOER5Fgz71-Q,Taste of Lebanon,182,3.5,38.64567,38.64567,-90.26169,-90.26169,$,63108,1
jME5VhjMZvNKsQJwsPKL7Q,BBQ Saloon,242,3.5,38.6401596069336,38.64015,-90.2624588012695,-90.26245,$$,63108,1
v0VomZVrgFANxHBmUzGk-g,Edera Italian Eatery,77,4.0,38.644897,38.64489,-90.26344,-90.26344,$$,63108,1
Zesu8Ev49wxB9oMmyvk0_w,Ranoush,73,4.0,38.647954,38.64795,-90.260816,-90.26081,$$,63108,1
XmpbEmS7PRdg5sIbGpjt7g,The Boathouse at Forest Park,408,3.0,38.64007029269982,38.64007,-90.28487072883554,-90.28487,$$,63110,1
DgLD56oDP0jMizXmgWmeug,Shapiro's Market,48,4.5,38.6405726,38.64057,-90.2548064,-90.2548,$,63108,1
Z_7P0pQYeMrGlC1vnOtEAg,West End Wok,121,4.0,38.6402265,38.64022,-90.261507,-90.2615,$,63108,1
OhHq33rmBih3fczFi8gSFQ,The Tenderloin Room,107,3.5,38.644901,38.6449,-90.264165,-90.26416,$$$,63108,1
86enQqN6FfuLRSEtv30ESw,Bowood by Niche,36,4.5,38.64933,38.64933,-90.25705,-90.25705,$$,63108,1
spo7kwg_I4nafkT-HLfWSA,Krab Kingz,101,4.0,38.6542293101968,38.65422,-90.2893851471262,-90.28938,$$,63112,1
4oe5dLfE283zx0aw6BHKTA,Dressel's Public House,399,4.0,38.649113281822736,38.64911,-90.26096913433777,-90.26096,$$,63108,1
XriKtVR4J_DG-R0xFqYXEg,Rush Bowls,56,4.0,38.644149,38.64414,-90.261734,-90.26173,$$,63108,1
0kfG53f5UuwXTz7IGIVhPg,Lazy Tiger,33,4.5,38.64352,38.64352,-90.26124,-90.26124,,63108,1
QXxe89rymWhK-Bnn1WXvkA,JUST Chicken,39,4.5,38.654396,38.65439,-90.292191,-90.29219,$$,63112,1
jF7eaANzVu7UIueZa4x16Q,St. Louis Kitchen,27,2.5,38.6535683,38.65356,-90.2635117,-90.26351,$,63108,1
UCr5X7irQJ7O-Ouc_zPs2g,Racanelli's,135,3.0,38.6399307,38.63993,-90.2619934,-90.26199,$,63108,1
e5WS66WTsNwng1OMEGsHWA,Blue Strawberry,22,4.0,38.64268,38.64268,-90.24980833,-90.2498,,63108,1
lMP6nTVHwLv15Nvzs1SDjA,Ba-Da-Bing BBQ,16,4.5,38.6772729,38.67727,-90.288916,-90.28891,$,63133,1
0KwD4kiiIPoTOrHXVxwTyA,Country Girl's Pie Shop,22,4.0,38.676687553525,38.67668,-90.2599643915892,-90.25996,$,63115,1
1i1A1gTrIyPdbxI_oYHOLg,Chick'nCone,34,3.5,38.641007655701294,38.641,-90.2621966,-90.26219,,63108,1
zyFn7oqokhaUaPPqd2FbbA,Chase Club,46,3.0,38.643984,38.64398,-90.264292,-90.26429,$$,63108,1
ao_CiBbTA0QHAI16-T14bw,Chong Wah,43,3.5,38.641264163986,38.64126,-90.2457704875927,-90.24577,$,63108,1
a3bZJ-XVjDLS6cs5VuEFOg,Roper's Ribs,83,4.5,38.71779,38.71779,-90.26102,-90.26102,$$,63136,0
