id,name,review_count,rating,latitude,longitude,price,zip_code
uQFHfnbJm7LIxLhjMKc4mQ,Lawrence Fish Market,1009,4.5,41.96841,-87.72652,$$,60625
LPwAwxEjetjdNh7Uadro3g,Smoque BBQ,4388,4.5,41.95021,-87.72795,$$,60641
8j97C2qR95tvpbGtoFxEAw,Noon O Kabab,1131,4.5,41.96698,-87.70816,$$,60625
YqzDH4OmV43NeD1h4yu7Tg,Kabobi Grill,836,4.5,41.96806,-87.70869,$$,60625
5u27W_xHIKhVbws08lXXJg,Bryn Mawr Breakfast Club,1044,4.5,41.98316,-87.71335,$$,60659
4-uKJdGyT0iZmu3rbSDwBw,Great Sea Restaurant,757,4.0,41.96817,-87.71063,$$,60625
6stjHiOWQJZjzlGGZDGdUg,Ruby's Fast Food,275,4.5,41.96407,-87.72758,$,60630
_3hz43PN50iPIap6XnjU8w,Torteria San Lenchito,139,5.0,41.96867,-87.71719,$,60625
pVPyt3TugMd8FW5LGznkQQ,Kuma's Corner - Belmont,5153,4.0,41.93964,-87.70045,$$,60618
EqYsNrxTk6YM-Qk7xWC48g,Tre Kronor,788,4.0,41.97593,-87.71093,$$,60625
kysa2NqoR8iYIjuaWELeZA,Nhu Lan Saigon Subs,859,4.5,41.9687,-87.69442,$,60625
gFQ-NcVxqAb4S29S7DLehA,Hot Dog Station,201,4.5,41.96799,-87.71346,$,60625
YuI-HxAzZX9bUQlgqrgw2Q,Dulce De Leche Cafe,118,5.0,41.96818,-87.71497,$$,60625
jXFtE49rqbJyHuyc8DZuzA,LD Pho,188,4.5,41.96729,-87.70863,$$,60625
SqAuXYtYi35pcACj9e2Uhw,Ssyal Ginseng House,233,4.5,41.96843,-87.73283,$$,60630
IHb-KcVYS_wZBo4ZTIN_tw,Salam Restaurant,620,3.5,41.96579,-87.70857,$$,60625
e9aAISx0navH8qMr33X4TA,Mother Cluckers Kitchen - Chicago,888,4.5,41.97527,-87.75225,$$,60630
bisRsdEh-VlV0RFoe__XiQ,Wabi Sabi,257,4.0,41.96729,-87.70866,$$,60625
WODBuNjlEgNIf459Wh-AWw,Gather,906,4.5,41.96434,-87.68536,$$,60625
3HE0HPAOa4kS5y4OhzQfzg,Monti's,708,4.5,41.9683,-87.69489,$$,60625
eoOZJ9-R0eY30ouPEnqP2w,Shokran Moroccan Restaurant,484,4.5,41.9535,-87.7288,$$,60641
VafY2u6YqUdnPwhty9RMCQ,Chicago Kalbi,325,4.0,41.96856,-87.72277,$$$,60625
qE08KWce0SrSCkPJgH1O_Q,SUBO Filipino Kitchen,117,4.5,41.96704,-87.71358,$,60625
vyyTRcWa5AfRKcPC9ozn5w,Angelo's Wine Bar,321,4.0,41.96137,-87.70436,$$,60618
61ZW2zyuzjAxt8K12UM3sg,Hala In Restaurant,321,4.0,41.9682,-87.74394,$$,60630
LlBuAYOAbdofrPzXn21W-g,Kale My Name,169,4.5,41.96135,-87.71091,$$,60618
rgaoVm01HFYC292weFuTXA,Goosefoot,312,4.5,41.96868,-87.69602,$$$$,60625
GEpXn9rtTMtIj5NsGFiNQw,The Bad Apple,1626,4.0,41.95977,-87.68282,$$,60618
y2YPhJsm4ZAOysBVy5k4pg,Rojo Gusano,229,4.0,41.96841,-87.72461,$$,60625
9jZug9qvOZtJ90X2uf8zcQ,Shibam Restaurant,224,4.0,41.9683,-87.74031,$$,60630
VYLQEouSQ8rY477drnBd_g,Crepe House Cafe,99,5.0,41.9728,-87.74561,$,60630
ToVDS0YPKcK1Y8Ww3r7ccA,Brasa Roja,311,4.0,41.9614,-87.70673,$,60618
eUlykGltBGH0RC5lkwx2eg,Honey Butter Fried Chicken,2065,4.0,41.94263,-87.70274,$$,60618
0jxO2gCuNI6rTz9R1xHBig,First Slice,131,4.5,41.96617,-87.70108,$,60625
rPp8L8pwkNwepgPRVBy99g,Old Irving Brewing,533,4.0,41.96068,-87.73938,$$,60641
4xQ7x-Td1nFshx7J0Bd6pw,Peking Mandarin,189,4.0,41.96825,-87.71512,$,60625
m5_GCJP2W4zEJnyVgxa3eA,Longman & Eagle,2468,4.0,41.93016,-87.70722,$$,60647
1uFRbr6B-BiNGtT90sdk0w,Community Tavern,507,4.5,41.95401,-87.74883,$$,60641
11855kAfayv4GH6DgGwvkQ,Sushi Joon,275,5.0,41.98156,-87.69253,$$,60625
0ZENqrACvQ4tiMvFEkgVPg,Jimmy's Pizza Café,722,4.0,41.96138,-87.69008,$,60618
9mhqcimD0CYvqxzfj_VXnQ,Little Bad Wolf,1761,4.5,41.98336,-87.66906,$$,60660
Enf_3DXmppx19hFGs0UDKw,La Nonna,350,4.5,41.94296,-87.7203,$$,60618
MUmOoa2Zg2B2qBq1VHTNaA,Ban Po Jung,253,4.0,41.97599,-87.71559,$$,60625
0fFLUKl71vv3eNV2xhikEw,Spacca Napoli,1631,4.0,41.96329,-87.6738,$$,60640
4i1Ny2zIE1VJSU9gLMkHqg,Lula Cafe,1992,4.5,41.92767,-87.70685,$$,60647
3_bJTUh5BNaD10s4hZUcjQ,Patino's Grill,200,4.5,41.95374,-87.70607,$,60618
JCmp_Uf0S2cnGQtDvsbleg,Luella's Southern Kitchen,803,4.0,41.96522,-87.6861,$$,60625
g7zJWI1rnpjCfMI00n6ODg,"Noon O Kabab - Pick Up, Delivery & Catering",116,4.5,41.96702,-87.70818,$$,60625
sR4EOfPuI-at41uIxIZPhw,Hopleaf,2158,4.0,41.97581,-87.66874,$$,60640
l6DJLECaIlx8ko-jFB8Qeg,Chicago Taco Authority,313,4.5,41.95324,-87.73332,$,60641
s3Hwq1VXyQ_3dpqzkluRvQ,The Angry Crab,926,4.0,41.98453,-87.69723,$$,60659
_-toZK3WpdvKpXYjT8wTCg,Brazilian Bowl,175,4.0,41.96862,-87.70868,$$,60625
hRYN65DXOBwIZ5Hzq_UxaA,Sticky Rice,900,4.0,41.95467,-87.68883,$$,60618
