id,name,review_count,rating,latitude,longitude,price,zip_code
quuV34VlUSjFaFWzFDWavw,Jacoby's German Biergarten,285,4.0,42.33229,-83.04208,$$,48226
ngur8BN72eO8vh17hW80dg,Sweetwater Tavern,585,3.5,42.33167,-83.04163,$$,48226
fJ-g62WpfeNbR4qv7qAawA,Niki's Pizza,250,3.5,42.33372,-83.042,$$,48226
Uwo_Nx_2WDvGF9SwVMlEAg,Detroiter Bar,102,4.0,42.33292,-83.0413,$,48226
G28_p5q7RnAbeJnIc-XQww,Floods Bar & Grille,136,3.5,42.33418,-83.04006,$$,48226
VOjmQVpCLjRlOkGtLDLFYQ,The Elephant Room,64,4.0,42.33242,-83.04129,,48226
ADi8SOow2XPid6NfR98lGQ,Pegasus Taverna - Greektown,538,3.5,42.33511,-83.0418,$$,48226
DGKGnFBhBbT2ZG6Tw4MeSQ,Red Smoke Barbecue,529,3.5,42.3355,-83.0412,$$,48226
o2yrWVcAqSInuLua4UkK4A,Loco's Tex-Mex Grille,168,2.5,42.33376,-83.04207,$$,48226
Y-b2ciCZx3B66e3jzwM58w,The Clique Restaurant,162,4.5,42.33324,-83.03345,$,48207
UB69uSqkwjTKMuGbWEqs5w,Basement Burger Bar,268,4.0,42.33544,-83.04415,$$,48226
fvq6GctVWHECsH3Qr7Cy0w,Grand Trunk Pub,582,3.5,42.33064,-83.04554,$$,48226
KGflsQO1qzh5V5QfwaDekw,Central Kitchen + Bar,383,3.5,42.3309,-83.04537,$$,48226
4in-S0PWC_ESuyWRCySiAQ,Nathan's Deli,22,4.0,42.33172,-83.03849,$,48226
RMNdJkdMe7jGMQC0ckBlrg,Prism,90,4.0,42.33451,-83.04123,$$$,48226
15OGyKpAqgAJjlXIQUdpqQ,Firebird Tavern,191,4.0,42.33471,-83.04328,$$,48226
gpOKnMXXiRemJf8x0-oHqg,Townhouse,915,3.0,42.33024,-83.04533,$$$,48226
kgXy9XwRanK8mfOuxQP1gA,Besa,165,4.0,42.33052,-83.04533,$$$,48226
gwp2wEKZXfWGxnLJKO5bgQ,Golden Fleece Restaurant,286,3.5,42.33526,-83.04214,$$,48226
NJsDmNXS5c_V5_0pxW0UPg,Fishbone's,563,3.0,42.33448,-83.04335,$$,48226
A_yrbQxH-SZ8wLm9NWkQPg,Highlands,146,4.0,42.32987,-83.04045,$$$$,48243
QVcN7M8GiXUICGLwO2IZjQ,Checker Bar,146,4.0,42.33129,-83.04405,$,48226
2Sa8uYj52lHah_NvBkkeew,The Greek,88,4.0,42.33538,-83.04194,$$,48226
R5OtDkJ4wzkJyPXxrzG7cg,Ham Shop Cafe,113,4.0,42.33399,-83.04427,$,48226
M5UMOhLFzoF8GxMve9sErA,Eat-N-Out Pizza & Gelato,64,4.0,42.33515,-83.0421,$,48226
3QMhnxYleG43BLS86ltP1g,Orchid Thai Restaurant,118,3.5,42.33362,-83.04537,$,48226
CczeReC8hCs-0l1_8sIVgw,Cadillac Square Diner,82,4.0,42.33196,-83.04416,$,48226
9LDcEENmYP6wi1WUppsbtw,Lunchtime Global,63,4.0,42.33098,-83.04539,$,48226
loPaqMh6pX9PWTyPnpFaJw,Applebee's Bar + Grill,42,3.0,42.33051,-83.04165,,48226
TfuX0QpF1s3uShFc7uj5Zw,Bangkok Crossing,109,3.5,42.3307,-83.04565,$,48226
I_0s7MUalZUap1BmAj7Mtg,Harbor House,218,3.0,42.33593,-83.04397,$$,48226
4sPVal9E0yUjumVIN32hEw,The Old Shillelagh,192,3.0,42.33449,-83.04398,$$,48226
Dpukh89ld6B_F2cLh46gag,Mr. Kabob Xpress,76,3.5,42.33379,-83.04523,$,48226
ujOTFNtrW-6oO02KfAHZ1Q,Minnie's Detroit,7,3.5,42.33178,-83.03939,,48226
JFEL1934mhmjtMWsf7nhdA,Bistro 555,76,2.5,42.33451,-83.04123,$$,48226
T-6RpIP81phE4svW2DWvPA,Volt,83,3.0,42.32876,-83.04026,$$,48243
hWWPnAgK2rcAjW2VKTtjaA,Gourmet Deli,10,4.5,42.33024,-83.03852,$,48243
PYGIPtijkfezc11XeS1LyA,Level Two Bar & Rooftop,128,2.5,42.33536,-83.04192,$$,48226
gcu6m_o-g3mnuRSZ_hbq-g,The Baltimore,47,3.5,42.3345,-83.04497,$,48226
34VcpDU72IPQrKXjlnvC_g,Shredderz Food Truck,20,4.5,42.37384,-83.135,$,48204
M0VRYr5EaeCWdx8dTLAeJg,Delmar,43,3.0,42.33513,-83.04239,,48226
FnOkWXk-WLlrimm7xlmRNQ,Delectabowl Food Truck & Catering,29,4.0,42.46085,-83.11274,$,48220
N7_qklWP7ykevBCatOQPPA,Hearth 71,9,4.5,42.33006,-83.03992,,48243
WYXAGfpqLu7x-YyEGbrBpA,Woodward Coney Restaurant,32,3.5,42.33067,-83.04555,$,48226
FNLkG-vjoCDOwC9x8G-69g,Esto's Garage,5,5.0,42.33143,-83.04575,,48209
HYrqw4xlLCNDptBHGrTIbQ,Dime Store,1606,4.5,42.33081,-83.04799,$$,48226
NcM6ASYzFMDN366FsuBTVw,Green Dot Stables,1949,4.0,42.32187,-83.07144,$,48216
4p1bXdMdETmyU5qhzFxNxw,Selden Standard,1165,4.5,42.34779,-83.06499,$$,48201
Xm2A4Xyd-dw4x86qZCV3hw,Chartreuse,732,4.5,42.36054,-83.06595,$$$,48202
W8sLqrbS-ZxIuEuQbjAIrw,Slows Bar BQ,2116,4.0,42.3316,-83.07595,$$,48216
8ctLeteWujq_EfH2lRSTAw,Supino Pizzeria,924,4.5,42.34548,-83.04006,$$,48207
7ArIKwojlm_Yca29HnGDfQ,Wright & Company,929,4.5,42.33523,-83.04902,$$$,48226
YqmsCvd3w0RxEiAcYGj64w,Mudgie's Deli & Wine Shop,920,4.5,42.32912,-83.06206,$$,48226
x7bzkyPv0pf8mmp4BaexZQ,Lafayette Coney Island,1000,4.0,42.3315,-83.04886,$,48226
UdO_uBm3sIM5DwaE8XIpbg,Grey Ghost Detroit,828,4.0,42.34517,-83.05552,$$$,48201
3Nbs9f7DxP3siSu1pjLj1w,Takoi,601,4.5,42.33164,-83.08083,$$,48216
Qn3BDpni0V2vtp9P0-85BQ,Taqueria El Rey,432,4.5,42.31903,-83.09918,$,48209
WFtnK-JJnoVHtbMAQW7tNg,The Hudson Cafe,1096,4.0,42.33336,-83.0485,$$,48226
YtWT6_MKURJKEpNKbO-nzg,ima,528,4.5,42.33114,-83.07376,$$,48216
gL6l1EqphkyLqER5lgmReg,Standby,567,4.5,42.33448,-83.04611,$$,48226
65pRcC4awElAnzH4io9Chw,Batch Brewing Company,430,4.5,42.32834,-83.06329,$$,48216
ngu3My-XGzNNL7Bxul5ulQ,Ottava Via,720,4.0,42.33172,-83.0657,$$,48216
WiKKNXaHC4Zino2A1m3ftQ,Royale with Cheese,574,4.0,42.35034,-83.06341,$$,48201
oeomzExb17rIkur7hNK-HQ,Vicente's Cuban Cuisine,850,4.0,42.33447,-83.04708,$$,48226
DuFQa_-drBCwMRGsMzMPsQ,Pie Sci,268,4.5,42.35396,-83.08003,$$,48208
CnCpxcw9r6lgKDk4br8TKA,Bakersfield,588,4.0,42.34518,-83.05572,$$,48201
JoZ0n3kkbSuGr4Xemig0mA,Motor City Brewing Works-Canfield,514,4.0,42.35176,-83.06602,$$,48201
kLwuEacC69wf8aVAa0BojA,Taqueria Mi Pueblo,543,4.0,42.31709,-83.12419,$,48209
qa70o0JbMVMQJf4fvWiZaw,Johnny Noodle King,764,4.0,42.31885,-83.07437,$$,48216
TUR6H5mBXMDGt3qjv5sekg,Buddy's Pizza,289,4.5,42.41897,-83.06405,$$,48212
bXr2fXKhEOJqm3EPdTJMCw,Avalon International Breads,334,4.5,42.35041,-83.06408,$,48201
jDHPcMstUfhnbp-4dVm7YQ,SavannahBlue,500,4.0,42.33419,-83.05233,$$,48226
RvZGz_qp8JWfG27vI-TnBQ,Mercury Burger Bar,759,4.0,42.33116,-83.07614,$$,48216
2sIc82MtKcAjx7oW3b6sqA,Andiamo,624,4.0,42.32823,-83.03966,$$$,48243
PyWdjQkGTkOcprSk3WRFNw,Honey Bee La Colmena,233,4.5,42.32564,-83.07651,$,48216
-rc4wleX8H706sc8D8wU2Q,Chili Mustard Onions,230,4.5,42.34767,-83.05283,$$,48201
66OeH9RD62D3bXbqefjYvw,Giovanni's Ristorante,305,4.5,42.29032,-83.14591,$$$,48217
