id,name,review_count,rating,latitude,longitude,price,zip_code
Kzf6VUWTKtSBd4OWUfwlkg,Frosty Boy Drive-In,57,4.5,39.72212,-85.89324,$,46163
BuOd9tDNs7_LdnA21oNSAw,New Bethel Ordinary,142,4.0,39.705,-86.01025,$$,46239
VmDPxttRJHt-ELbLEoeZaw,Wheatley's,50,4.5,39.70439,-86.00929,$,46239
IVp41ioftsbtdA8OCxUmPQ,Murphy's Pubhouse South,96,4.0,39.69604,-86.06166,$$,46237
GnRaQ2JtQPuyEajs-i5Pmg,Chicago's Pizza,60,4.0,39.65253,-86.06511,$,46237
PULLubixBqQhUbfRUtfHzw,Rise & Shine,72,4.0,39.6961,-86.06165,$,46237
xYBjd852nB0-hEkebV7ytA,Flashbacks,76,3.5,39.66558,-86.04733,$$,46237
hs3Ng7OJmRYJm4z2iD2uLQ,Li's Garden,47,4.0,39.68577,-86.01913,$,46239
7laa_NJJ55LqX9Nl-R6Phg,Red Cactus Mex Restaurant & Bar,46,3.5,39.66867,-86.01995,,46259
YIcmYL_9pibsCanwtW02gw,Xtrordinary Pizza,50,3.5,39.71631,-86.03219,$$,46239
g7xWSzIaTjlJeRAiwHeM-A,Round The Corner Grill,42,3.5,39.71941,-85.88541,$$,46163
sxrngi-o8r4R2gJJ3ZbhzA,Mama Nita's,33,4.0,39.72278,-85.89641,$,46163
xqmWMlGXMSMd3uq35eSNjQ,Shakers Good Eats & Ale,57,3.0,39.66866,-86.01993,$$,46259
cjfe9aaPhfp6j51jYkNZeg,Now That’s Bar-B-Que,2,5.0,39.65588,-85.9681,,46259
Z7VLAOmZIXWfM368YUTl_w,El Rodeo,48,3.0,39.68657,-86.01988,$$,46239
8mI2lAGLKu4irfjsevMlLA,Brewskies Pub & Eatery,17,3.5,39.71409,-86.02707,$,46239
VkYWtMq_l-YCkZYSKeDYAQ,Randy's Tu Your Door Pizza,18,3.5,39.70703,-86.01367,$,46239
oZ2S37bqwcmscdssl2bHzg,Donatos Pizza,15,3.0,39.68569,-86.01914,$,46239
7S7ajPe6V1hkT5I64l_vhA,Mozzi's Pizza,12,3.0,39.72158,-85.89041,$,46163
