id,name,review_count,rating,latitude,longitude,price,zip_code
CBOagxuEM98LgOZIkSjoVA,Jack Stack Barbecue - Freight House,2317,4.0,39.08741,-94.5853,$$,64108
XeKw4qLeXzA8R7mPNMl62w,Messenger Coffee,424,4.5,39.09356,-94.58151,$,64108
7MbgYsVGXIfVJruF5ZxYtQ,Grünauer,776,4.5,39.08756,-94.58519,$$,64108
Fl9H8p4ZSdHWymCEo5Xcxg,Novel Restaurant,437,4.5,39.08912,-94.57993,$$$,64108
34I8ATMlKT6ZT3G69qwu0g,Q39 Midtown,4797,4.5,39.05741,-94.59814,$$,64111
e7h85DKUkbfolD5itnswVQ,Cafe Gratitude,650,4.0,39.08783,-94.58863,$$,64108
mFrRCK7Q7DHxj09noHfuPw,Vietnam Cafe,685,4.5,39.10933,-94.57329,$$,64106
MP7ZDyBcm0NBs8FnNC5a0w,Tom's Town Distilling Co,308,4.5,39.09329,-94.58318,$$,64108
2p-gGsGNWZRPd_XPBr63ow,Tannin Wine Bar & Kitchen,374,4.0,39.09495,-94.58268,$$,64108
zd3JZnq3_-5ApwOZqq1YqA,Bristol Seafood + Steak + Social,568,4.0,39.09708,-94.58276,$$$,64106
FFRhPjhtDmirTUYJjJBBkg,BRGR kitchen + bar,569,4.0,39.09701,-94.58302,$$,64106
mqeEXmXmQuMhacDCVr1KQg,Extra Virgin,470,4.0,39.09027,-94.58411,$$,64108
ayMzO1bxjefcvlWqKkDvTg,The Westside Local,587,4.0,39.09327,-94.59319,$$,64108
PIxSFeeXQgYPB8kVJUBIBA,Parlor,295,4.5,39.09276,-94.57738,$$,64108
1pP0mxU1jxgbpbgdlpb17A,Pigwich,466,4.5,39.10863,-94.58239,$$,64106
zMTWiyosTlU0ASTh-MCXBw,Happy Gillis Cafe & Hangout,515,4.5,39.10893,-94.57028,$$,64106
fGAqwViHN2mnFboadFW7Kw,Mildred's,227,4.5,39.09082,-94.58565,$$,64108
gIiAL345VfgFlGVuucB6HQ,La Bodega,575,4.0,39.08509,-94.59286,$$,64108
3S0RW9h8SNBHbS0_8-BPSw,Baramee Thai Bistro,221,4.5,39.09138,-94.58473,$$,64108
XFl244-1a1KMwU9ENVj2pg,The Rockhill Grille,368,4.5,39.08886,-94.58185,$$,64108
ing2rZ2j7w0SamBQIS24ZA,The Farmhouse,924,4.0,39.10942,-94.58476,$$,64105
SKtg3s-mDJSLx45VMYo7Lg,801 Chophouse,286,4.0,39.09694,-94.58251,$$$$,64106
VFjx0oZH6rZQa-zrBQyejw,Chez Elle Creperie & Coffeehouse,475,4.0,39.09269,-94.59328,$$,64108
B_n8aEbcnzPb-9dy8tBkig,Grinders,666,4.0,39.09144,-94.57812,$$,64108
FIQgpj0r2FM9m8E3SRWngw,Banksia,255,4.5,39.10355,-94.58438,$$,64105
euy50BwMldpeIjN-EyJlsw,Affare,292,4.0,39.09002,-94.58346,$$,64108
0JzCYmUk6kuhSp1JwR-7Cg,Vested Garment District Coffee,134,5.0,39.1048,-94.58691,$,64105
9LQPPBbosdog99smAS-Skg,Town Topic,372,4.0,39.08848,-94.58882,$,64108
wLB0YuWbXAMphLnzyMcVYQ,Le Fou Frog,346,4.5,39.10925,-94.57895,$$$,64106
umrpNY5AEMMHA933EjlvBw,Cosentino's Downtown Market,312,4.0,39.09866,-94.58313,$$,64106
nch20CkzLVgKOna4YHilNg,County Road Ice House,186,4.5,39.09738,-94.58199,$$,64106
QhzJXO6E_oLAx1Wz1Z_T2g,Joe's Kansas City Bar-B-Que,4067,4.5,39.04446,-94.62075,$$,66103
wjZXBD-IsmObIQDOVrbd7g,The Brick,336,4.0,39.09232,-94.57976,$,64108
snF9XeUAtv-Vp9coGa2rDQ,Slap's BBQ,958,4.5,39.10248,-94.62443,$$,66101
-CXNZDmRmwkmk-UB3p0t4Q,Garozzo's Ristorante,494,4.0,39.10933,-94.57205,$$,64106
MWld7GgJ_lxIGaB96YptvQ,Blvd Tavern,337,4.0,39.0884,-94.58842,$$,64108
-Z3n9nT-UK4PYNJiCr_fxA,Succotash,850,4.0,39.07907,-94.57582,$$,64108
nvVVqdrzVERBx6-l73oNFg,Los Alamos Market y Cocina,156,4.5,39.09317,-94.59304,$,64108
HvUVg6ptj_3rLlqhs--Vig,Boulevard Brewing Tours & Rec Center,203,4.5,39.0812,-94.59541,$$,64108
-8yEX1DlJuWzRpGooDOGIA,Kansas City Taco Company,352,4.0,39.10778,-94.58166,$$,64106
kVeZkvLbYfLUSmpy8rVyKg,Arthur Bryant's Barbeque,1572,3.5,39.09148,-94.55617,$$,64127
zCu6UIcZ9EkqIdz5ldbkaw,Made In KC Cafe,114,4.5,39.10042,-94.58445,$,64105
lNT7du4clKpmccPW6r96zw,Farina,127,4.5,39.09027,-94.58394,,64108
fjCVGIUVFBvTFKu7qTyr6A,Habashi House,252,4.5,39.10941,-94.58301,$,64105
bPmZQ2pkEIwb5tSLAxZHIw,Blue Nile Cafe,275,4.5,39.10863,-94.58206,$$,64106
OujTJ9fKn9SI78HJS8WjLA,Lidia's,662,3.5,39.08767,-94.58487,$$$,64108
