id,name,review_count,rating,latitude,longitude,price,zip_code
RmHT3EhtGNmIBqMmn6sbcA,The Kenwood,317,4.5,44.96165,-93.30797,$$,55405
C7Xg_fWiammvygwKKd4rJg,Lake & Irving,451,4.5,44.94814,-93.30156,$$,55408
2IOQ8COCI7iiJX2OiCPtoQ,The Lowry,758,4.0,44.96152,-93.29268,$$,55405
9EdftCquw0YwWY3XsJlZVg,Rinata,334,4.5,44.95763,-93.29485,$$,55405
smrdXQyTcbqOHnK_OuScDw,My Huong Kitchen,403,4.5,44.9531,-93.27829,$,55408
Losq2H67kunQy6qQ6LFjmg,Quang Restaurant,1189,4.0,44.95309,-93.27773,$$,55408
rJY7EbVlXPXWgwojyEJq8w,Lotus Restaurant,769,4.5,44.96961,-93.27993,$$,55403
TRj1IbnWC7T5pGiTw6B4-w,World Street Kitchen,585,4.0,44.95266,-93.28785,$$,55408
mTnoCM3BrLttWb7m9P5SQQ,Wakame Sushi & Asian Bistro,730,4.0,44.9468,-93.32197,$$,55416
52Sw9P9nW1-5yu6dZOpyeg,French Meadow Cafe & Bluestem Bar,1001,3.5,44.95507,-93.28824,$$,55408
g7bbpP7x5KAc33i7pgOkLA,Hell's Kitchen,2474,4.0,44.97461,-93.27262,$$,55402
6vaAze9Fxuco249L3BhEdQ,112 Eatery,1212,4.5,44.98253,-93.27181,$$$,55401
opobJTJa9atqAytH80goDA,Barbette,624,4.0,44.9485,-93.30224,$$,55408
BDfqDNyVp0fyDadZOTXEVw,Cafe Lurcat,493,4.5,44.97123,-93.2864,$$$,55403
zv_XJAQr9D3PNR5eHYhC5w,Bar La Grassa,1348,4.5,44.98954,-93.27859,$$$,55401
H2dkIvi_cgz-7UMJsQE-Kg,Red Cow Uptown,230,4.5,44.95467,-93.29745,$$,55408
l7mNzyV3pOZ3m87jRY6J7A,Hola Arepa,899,4.5,44.93942,-93.27741,$$,55408
JKiMTabIY73IHKJzQUHdeQ,Punch Neapolitan Pizza - Lake Street,280,4.5,44.94944,-93.32044,$$,55416
0127hW6ScVMCOLCKJI6q9w,Stella's Fish Cafe & Prestige Oyster Bar,954,3.5,44.94851,-93.29723,$$,55408
EETP-7tP_eQf7JsK6D3hig,India Palace Uptown,191,4.0,44.95609,-93.29662,$$,55405
5olLs-K-_k_rWrrNLjvy0w,Spoon and Stable,1018,4.5,44.98549,-93.26954,$$$,55401
kzzUiEHyf7LwRJ6DUx8Wyg,Our Kitchen,342,4.5,44.93756,-93.2902,$,55408
MDPv2B2jwA1qLvQCXlEVww,Red Cow - Minneapolis,1058,4.5,44.98354,-93.26961,$$,55401
thaViwJbk_1mNRDNb_nzng,The Lynhall,266,4.0,44.95414,-93.28846,$$,55408
B7-6lvbEZqT87UW6ybNcJw,Manny's Steakhouse,875,4.0,44.97443,-93.27179,$$$$,55402
51E_-4s1wheqka5xtGAaNw,Martina,581,4.5,44.9243,-93.31523,$$,55410
8CSob0dujFjytEmj-hYahA,Uptown Diner,393,3.5,44.95576,-93.29706,$$,55405
dBRIlzRYdvAhSdxOTBVYyw,Galactic Pizza,319,4.0,44.94966,-93.28767,$$,55408
4EaAZzAKP6_z58rJusX7dw,Yum! Kitchen and Bakery,505,4.0,44.94875,-93.33052,$$,55416
aNY9AUIfDMSHBRksP6I32w,Common Roots Cafe,380,4.0,44.95569,-93.28846,$$,55405
_NNDqkAE_I37bbnZBIzh3w,Namaste Café,319,3.5,44.95691,-93.29616,$$,55405
G0ULL97D7OQvjPMpZxlscQ,Lu's Sandwiches,362,4.0,44.95474,-93.27832,$,55408
aimyTOmIqdTOP6wF4dm30A,The Capital Grille,361,4.5,44.97701,-93.27599,$$$,55402
PXOyMIcQjZOlakLruK2BPQ,Victor's 1959 Cafe,611,4.0,44.93423,-93.28462,$$,55409
IJUi7B11Ohxd0yxXMZbPUQ,Fogo de Chao - Minneapolis,904,4.0,44.97833,-93.27406,$$$,55403
ykTnu3sVxnnIeHpLRqE8bQ,Hen House Eatery,967,4.0,44.97526,-93.27132,$$,55402
cPgZaWUgM1pj3po6UAgtRw,Eggy's Diner - Minneapolis,666,4.0,44.96892,-93.2805,$$,55403
EsptO0Gr76-etcks8RYw9g,Nightingale,279,4.0,44.9558,-93.28776,$$,55405
EWDHQTfclTXSbAWcPYN11w,Urban Eatery,245,4.0,44.95016,-93.31506,$$,55416
EWCzHNxTnXFsR8SfdNAqWQ,Icehouse,431,4.0,44.95619,-93.2784,$$,55404
Z9UFvaj_zeaVSg4Ta8D9qQ,Red Rabbit,627,4.5,44.98369,-93.27175,$$,55401
l5BS7mKuNQDjslY1ufGfJA,Amazing Thailand,508,3.5,44.94743,-93.29874,$$,55408
K9P6dLlPMyx7xs7fLQPiDw,Eat Street Social,444,4.0,44.95567,-93.27841,$$,55404
O-On_JfItCH5lFudaUAS6w,Tenka Ramen,126,4.5,44.94868,-93.29748,$$,55408
YMZS-m2VrbJ3zW93i6umig,Darbar India Grill,305,4.0,44.94834,-93.29475,$$,55408
oidsSjjDxAliG3PFXxLQiA,Moto-i Ramen and Sake House,556,3.5,44.94865,-93.28851,$$,55408
5s2sT8ux7og5XfK-180r2g,George & The Dragon,979,4.5,44.91233,-93.29032,$$,55419
eAbwnD7c_Uz5sAbhqYYPsQ,Seed Cafe,74,4.5,44.94904,-93.32128,$$,55416
JexnInIgzaNMXwURrpOjSQ,Brit's Pub,762,3.5,44.97283,-93.27592,$$,55403
L9-URJtUCfQu4DpDh-d6wQ,Smack Shack,1074,4.0,44.98667,-93.27621,$$,55401
VDevoiSjX_ia2m8lSfzCxA,Pimento Jamaican Kitchen,369,4.0,44.95643,-93.27839,$$,55404
5K82sS0qi4hCnNXzc0mM3A,Revival,1102,4.0,44.92519,-93.27753,$$,55409
5Mby_93Hiztc2DkL-iaFvQ,The Copper Hen,504,4.0,44.95669,-93.27771,$$,55404
p13IKfqqRykrLhIaBBX0Ig,Waffle Bar,188,4.0,44.9527,-93.28827,$,55408
t7v_E0hArm4xzSBf8Xs8XQ,Mill Valley Kitchen,332,4.0,44.94047,-93.32935,$$,55416
