id,name,review_count,rating,latitude,longitude,price,zip_code
1VV8wL1WP28L4sZrZoueaQ,Tongue In Cheek,543,4.5,44.971,-93.0738,$$,55130
_-ZBeb_ZnIQ0hiIFWu83lg,Brunson's Pub,264,4.5,44.97005,-93.07317,$$,55130
QKXjOY3RvzqxBkQ93M7SiA,Mañana Restaurant,150,4.5,44.96122,-93.06709,$,55106
j0YvcUGr9VWsbvVpdLGUJA,The Buttered Tin,617,4.0,44.951,-93.08887,$$,55101
izTTW3qoTSNSBij9GreUWA,Swede Hollow Café,139,4.5,44.95926,-93.07185,$,55106
WbEiSMQA4q9qQlUxWkUYyQ,Mama's Pizza,267,4.5,44.97035,-93.10613,$,55117
4oL0I39z4lMwkU6MP8HAXw,Catrinas Cerveza & Mexican Grill,327,4.5,44.96409,-92.98378,$,55128
TKIdb9xKBLltZTfkozJsGQ,Red Cow - Saint Paul,715,4.5,44.94671,-93.11676,$$,55102
m7Tq7AD47AaFVBHDEg9u7A,Cafe Astoria,415,4.5,44.94119,-93.10774,$$,55102
UwqfYwiOM_ornDPidGVzPA,Meritage,415,4.0,44.94633,-93.09659,$$$,55145
Ake0GM-CHUZV3V1Jdmet-Q,Saint Dinette,281,4.0,44.94981,-93.08605,$$,55101
xg7OHvNfGZH8mahsXFauUQ,Cossetta Alimentari,841,4.0,44.94387,-93.10436,$$,55102
nRLL9tf_d9MNU_2aUdgPNA,Moscow On The Hill,465,4.5,44.94666,-93.11562,$$,55102
NRfDzT-r3X-Qccq-IlSvoQ,Holman's Table,163,4.0,44.94193,-93.06486,$$,55107
3Kw1Bl784X7q2nD2k9y2wA,Big River Pizza,132,4.5,44.94979,-93.08584,$$,55101
ii_VnAfzw3OzcNPh2CpNiw,The Little Oven,203,4.0,44.96319,-93.02509,$$,55119
ryiI6WWSET4R91130AewoA,Magnolias Restaurant,112,4.0,44.97397,-93.07371,$,55130
71zL80qsJaL2gfWjg4pdiQ,Black Sheep Coal Fired Pizza,303,4.0,44.9513,-93.09444,$$,55102
8iaDvOZUmBXO8kFuedbe8A,iPho by Saigon,425,4.0,44.95547,-93.12977,$,55104
SnmnGS3sXOfE2Ky7S8Sohw,Tea house,175,4.0,44.95082,-93.02941,$$,55106
pf5fPPLzwpK0GfAG13iRHQ,Trung Nam French Bakery,236,4.5,44.95605,-93.131,$,55104
0IOrv41ojAMvd0zqrxMhHg,Handsome Hog,546,4.0,44.94675,-93.11642,$$,55102
M-SqKKZt923denxEdKyM_A,Eastside Thai Restaurant,134,4.0,44.9678,-93.07366,$,55130
w39dfvophrkNLCncK7VRwg,Karibu Grocery & Deli,27,5.0,44.96276,-93.07415,,55130
Gk7276TSMAJwX2nO3Y6zNA,Afro Deli & Grill - Saint Paul,156,4.5,44.94727,-93.09649,$,55102
o9xAQsBsQWS0HgtJNFmCOw,Taqueria Los Paisanos,76,4.0,44.96238,-93.06563,$,55106
a2gi_mYKWmk6l3L5ppDWHw,DeGidio's Restaurant & Bar,310,4.5,44.93931,-93.11031,$$,55102
m7CPabomRbUIKAZsKsYMAw,Cafe Latté,630,4.0,44.93964,-93.13603,$$,55105
B2EOAVr_MVmJuH60VXRsTQ,I Heart Pho,93,4.0,44.97727,-93.06468,$,55106
