date,rating,review
12/22/2021,5 star rating,"This place is right down the street and I have never heard of it! My friend recommended it and I'm glad she did! We went for dinner and the music, all of which were AMAZING! We definitely will be back! Our waitress (I don't know her name) and the man who helped us were both phenomenal!"
5/4/2022,1 star rating,"I am so very disappointed with my $22.00 + 7.00 for this old dry dressing. I ordered smothered pork chops. The pork chops was old, brown inside, no gravy what so ever. I have no idea why they call it smothered.  I would have done better to order the fried with that being $2.00 less.The sweet potatoes were old and dry, as were the mac & cheese. This entire meal was old and re-heated in the microwave. It's terrible for this establishment to serve old food. I've eaten here many times before without any problem until now.Please quit re-heating old food, thinking customers wouldn't know the difference, we do. If you want return customers do better, because now I am afraid to order anymore food."
5/12/2021,4 star rating,"Got here for the first time the other night. Parking is $5 before 5 and $10 after. Cover is $15 per person and that can be added to the check. Tables are more spaced out and people have masks. Service was friendly and of course wonky during the musical break- but still got out and all settled. Wait staff pleasant and food - reminded me of southern comfort. I was too into my catfish, Mac and cheese and greens to take a pic. Bonus! Hot sauce at the table! How did they know? Had a great time and will definitely revisit this spot. Randy Armstrong onstage with his blue mashed potato blues- it's a great story don't want to spoil it for you!"
3/16/2022,1 star rating,"Me and my wife went to Baker's keyboard lounge to hear good music and eat some good food. once we got to the restaurant it took over an hour before a waitress came to our table to get our order, after that it took another hour before our food arrived. we attempted to talk to the owner who refused to come to our table, I know he was the owner and present because I went to high school with him. it is shameful that a restaurant with such a rich history has fallen to such depths. Also, the bathroom was filthy, there was water all over the floor, toilet paper and napkins all over the floor it was disgraceful. To add to this, the gratuity was added to the bill. I paid 18% to wait 21/2 hours for my food and beverage."
2/7/2022,1 star rating,"Bakers has gone down. Food used to be impeccable. Horrible! Musty, damp smell. Cover charge, parking$$$$$$$$Terrible....only thing good is the music!"
10/30/2021,2 star rating,"Food was reheated , not fresh , I was very disappointed, I love baker but not enough give them my hard earned money after ordering twice and the food was not the standard I'm use to"
2/27/2021,3 star rating,This go around just had the smothered pork chops. And they was super tuff. I have put baker's keyboard lounge on my hit or miss list
2/27/2020,5 star rating,Good food great entertainment I had the fried liver and gizzards this time but the chicken and smothered pork chops are delicious the fish also greens were ok but the dressing was not inviting it could but much better. Drinks are good they do charge to park in the lot but there is free parking on the street. Wednesday is karaoke and you will not be disappointed.
8/29/2021,1 star rating,"We just had a very disappointing evening at Bakers Keyboard Lounge.  We were so excited to visit this historic place.   We came fro out of  town and have always known about the importance of this place.   We had reservations at 6:30 with the anticipation of hearing the ""house band."" At 7.  We had a wonderful young waiter, Earl who managed many tables.  At 7:00, we were surprised not to see a band setting up.  By 8:25, we walked out the door after eating dinner from an overworked staff with a promise of the band who was "" en route.""  The staff quoted the owner on this over and over again. My guess is that the owner knew a band would never show up and just needed to get paying customers in there.  How gravely disappointing for an historic landmark to be mismanaged in such a deliberate way."
9/2/2021,5 star rating,Great soul food. Best thing on the menu is the beef short ribs. I judge every soul food restaurant by there Mac and cheese and there's are decent. If u done in and are lucky enough to catch the live entertainment it's an experience you cnt miss.
9/17/2019,4 star rating,The food was great the entertainment was great the staff was great the atmosphere was great the appearance not so great I had an old menu that had water stains on it. The ladies bathroom ran out of paper towels I had told the female staff and an hour later there still was not enough attention given to it the bathrooms were really updated which I liked to a point they had new vessel sinks but everything else was normal I went to the manager pertaining to the paper towels are an hour later and that's when it was taken care of but everything else was great there was even a guest appearance from Paris France who enthralled us all Alan Dennard was the band that was playing live that night it was an awesome night I highly recommend this to anyone who loves Jazz they also have comedy nights and hip-hop and R&B night but there's still Jazz every night
1/13/2020,4 star rating,"My review of Bakers is more about my experience...I arrived at BKL as one set was ending and another commencing on a Sunday evening.The parking lot and alternate parking lot were just about full, cars lined both sides of Livernois as well.There is truly a great love for this establishment which has blessed Detroit with a great evening of jazz music, entertainment and delicious food since the 40s.I was able to secure a parking space and was assured that my $4 would be returned if there was no room inside.There is a $10 cover charge for the lounge area. You are allowed to sit at the bar free of charge.I opted for the bar, as I only stopped in for dinner on this evening. I have been here throughout my years in Detroit to take in the music, which really is always phenomenal.Back to the bar...The bar seats around ten. It's cramped quarters, but the patrons are so entertaining that I was happy to join them in conversation.The bar is fully stocked and there is a menu for special cocktails. I had a Billie Holiday. It was great, so great that I cannot remember what the ingredients are.The bartenders are fantastic and pour generously.For dinner I ordered turkey chops, cabbage and mac & cheese.My meal was delicious...I ate everything. A gentleman seated next to me commented that I was a dainty, but ferocious eater. Haha!I couldn't help but finish it all.I drank, and laughed and ate and had a fantastic time. I was there at least three hours. I even met a few acquaintances. We promised to see one another again."
2/15/2020,2 star rating,"We always have a great time here! Live music...top notch. Jackie the bartender always has a smile on her face and the drinks are always great! The guys at the front door make you feel welcomed, even the parking attendant is a nice guy! Tip:smothered pork chops and candied yams excellent. No wonder this place has been around for years.Update:  unfortunately things have changed...music still on point...however the ambience of ownership has gone down the toilet. The band had just finished the last song as we were putting on our coats we were told to ""get the f... out!""  It appears that the new investors don't respect the patrons that have been around for years..."
3/5/2019,5 star rating,"We always have a great time here! Live music...top notch. Jackie the bartender always has a smile on her face and the drinks are always great! They guys at the front door make you feel welcomed, even the parking attendant is a nice guy! Tip:smothered pork chops and candied yams excellent. No wonder this place has been around for years."
6/30/2021,4 star rating,Went on a Saturday evening & sat at the bar. Great service. I love their catfish. Aside from the ceiling leak near the end of the bar and flies flying around...I'd highly recommended.
8/7/2021,1 star rating,I've always wanted to come here so tonight a friend had a birthday party and I was so excited to go however this was by far the worst dining experience I have ever had. As I'm sitting here typing this review I have been here 2 hours and still don't have water or food. My husband received his food after 1 1/2 hours but he couldn't eat it because he still doesn't have silverware. I feel like I'm being punked at this point. The music is good the service is horrible the chicken was not seasoned at all and I couldn't tell you how the fish is because I still haven't received it.
