rating,review
3.5 star rating,"A childhood friend and I met here to have brunch and catch up. I had made the reservation for us at 1PM. There wasn't a clear designation of where the hostess area was and there were a number of parties waiting to be seated. We navigated around them and stood in what we thought to be the appropriate to be seen by staff. This gave a view of the kitchen area which was bustling as food was being prepared. A young lady approached immediately after observing us and I let her know we had a reservation. After a brief moment, she located it in the system and seated us. Our waiter came over and greeted us and we asked for a moment to peruse the menu as it was the first time for each of us there. We both were both still undecided when he returned and he answered our questions to help us decided. My friend had the Steak + Egg Hash while I settled on the Wings + Waffles. I was happy that we had asked about the entrées upfront as the description for the Steak + Egg Hash was quite appetizing until he mentioned it to be spicy which I hadn't anticipated from reading the menu. My friend confirmed it was quite spicy when our food arrived. My syrup had a slice of jalapeño pepper in it that I promptly removed. The wings were well seasoned and crispy. The Belgian waffle was delicious as well. We had mimosas to top off the meal and shared a Chocolate Molten Lava cake for dessert. The experience overall was very delightful and I will return."
4 star rating,"The food is great but not for the price. Even the ambiance is sub-par and not what you'd expect for the $$$. Drinks were good but, then again, expensive for what you're getting and what is available around you. Staff is amiable when they actually serve you... that being said, 20% gratuity is added right when you walk in the door regardless of party size. I had to go to the host to get our server back to the table, which I wouldn't expect for that forced gratuity. I usually always tip 25%, and I understand the concept, but I felt conned when we weren't helped or asked about our dish until the checks came, which, again, we didn't ask for at that time. Felt very rushed and unwelcome, and therefore I didn't tip a cent more. Sad because this place does have great potential being right in Detroit."
3 star rating,"I've been to Central Kitchen + Bar many times, but never for brunch. We were able to grab a seat on their heated patio, which gives you a great shot of the Campus Martius tree. After a round of cocktails, we ordered a couple burgers, wings and waffles, and the brioche french toast. The waffles came with a jalapeño maple syrup that was a great way to step up a brunch favorite. The burger had a tomato jam that was so fresh."
5 star rating,"Excellent brunch spot with $0.25 mimosa refills. They have a nice heated porch area that allows you to see some of downtown, but you can't go wrong sitting at the bar either. The hours are limited but the menu is pretty diverse. This is a great spot for 2-4 people, a larger group may have some difficulty with seating."
4 star rating,"This was my 1st time coming and and it was AMAZING!!We had the chef's special omelet (salmon & feta) and it was so delicious, we ordered it twice. The steak and potatoes were also great. We ate it immediately, so we couldn't even take pictures. Definitely worth the 5 stars! Great place."
5 star rating,"Horrible venue.  Owned by Dennis Archer Jr.  my bill was probably the highest that day.  We were still ordering drinks and food and the hostess came and asked us to leave because we were there for 90 minutes.  The rudest experience ever.  Im trying to support black own businesses but there's always something that ruins it.  Dennis please get this business together before you have no business.  Food was sub-par and drinks could be better.  Word of advise to everyone, do go there if you are trying to have a chill and relax time.  Every table is on a time limit.  Horrible experience.  I would never come back!!!!"
1 star rating,"Look, I really fucking hate the concept of brunch. portions usually suck and the food is usually lackluster but the meal I had here was fucking fantastic. the brunch of my dreams. 10/10 recommend."
5 star rating,"Huge disappointment.   Had Detroit burger and couldn't even eat it.    Ordered medium and was served raw.   Weird flavor too.    ""Homemade"" chips served with burger were stale.    Do not recommend at all .    Tip was automatically added to bill and we received poor service.    Disappointing"
1 star rating,"Today we came here to celebrate my father's 88th birthday. It was a wonderful event, made extra special by the care and attention of our server Norris. His skill, attention to detail and patience in helping my parents have a delightful experience in a city they love and have missed. Please give Norris a raise, he is a treasure and it would be a shame to lose him!"
5 star rating,"Service was top notch.  Although we had reservations it was still a 20 minute wait on top of that.  They were slappin.  The food was pretty on point and the ambiance was nice.  A little loud but that was because it was a full house.  Overall, I enjoyed myself."
3.5 star rating,"Loved dinner time! Service was amazing and the food was fantastic. I definitely enjoyed my dinner time experience way more than my brunch! The atmosphere was just better, less crowded, and loud."
5 star rating,Staff wear masks and they try their best to accommodate guest which trying to social distance. They still have their patio room opened with heaters. Their servers are nice and helpful. I went for brunch and it was amazing!!! Chicken and waffles is highly recommended
