date,rating,review
8/1/2019,5 star rating,"The wings were delicious and everything came hot. I rested the dinner with fries and mac as sides. The lemonade was good and the cherry was a nice surprise. The pie was pretty good as well. Service was great!Despite the 79 health score, I gave them a try.  They did not disappoint, however, I hope they increase their score as it could be discouraging for some."
9/14/2021,5 star rating,"Great, Quick service'. Carry out only for Covid!  These are small, best tasting wings I have ever eaten!  I had Special 17, normal plain version very tasty!  Mild Buffalo yummy, mango hot great!  Their side dishes all homemade, and delicious!  Potato salad, beans, Mac & cheese!  I will order again!!!!"
4/28/2021,3 star rating,Ordered food with coworkers for lunch. I chose the Wing Ding Dinner Parmesan/ Garlic with Mac and Cheese with string beans. Overall my food experience was positive. The wings were flavored nicely. Unfortunately the Mac and Cheese was not. Plenty of Mac but NO flavor or cheese flavor at all. Huge miss. The string beans were ok with a Spicey after bite.Please update your pricing on your menu. It makes for a bad experience both ways when you think you are paying one price only to find out it's much more than what you thought. I will possibly try again if given the opportunity.
9/24/2021,5 star rating,"Absolutely delicious wings, delivered the right way. Ask for the snack attack flavor 17!! You will not be disappointed"
3/17/2022,2 star rating,I placed a pickup order online and went to get it at the time indicated on my email confirmation. When I got there I had to wait 20 minutes for my order. Disorganized and unprofessional. Now my clothes stink of grease after having to wait!
10/24/2020,5 star rating,"I get the Chicken Wing Dinner here about once a week. City Wings has, in my opinion, the best wings in the city and I've gone out of my way to try as many wings places as possible. Lemon Pepper is my absolute favorite and it's a must try. Staff is always very kind to me, even when they are clearly overwhelmed with orders at times because the popularity of the wings. I love this place. Absolute must try restaurant in Detroit."
9/25/2021,5 star rating,Only place I'll drive 15 minutes for some wings. I always get Cajun wings and Parmesan fries.
3/23/2021,1 star rating,Phone ordering doesn't exist. Seasoned these small amish wings like they're whole wings.
4/19/2019,5 star rating,Still as good as ever. Although I think over the years the wings have gotten smaller. They flavor is there we came in for a snack this afternoon on a Friday. Red beans and rice were gone already... waaa waaa waaa! I opted for the med spice and he got mango garlic ginger. They use like a dry rub with LOTS of flavor. My lips nicely on fire. The potato salad and green beans were good too
10/20/2014,5 star rating,"Mmm Mmm good. Traveling all the time nice to find this place. It's across from the hospital. If I didn't have my yelp app on my phone I may have missed it. Inside is a spacoius eating  establishment. Don't let the outside fool ya! No waffles at this time. He said he is working  on sweet potatoe waffles maybe in the nxt yr. Hubby and I shared 20 wings, med & spicey pepper ginger were a nice eve snack. Potatoe salad was da bomb! Nice Vegis for crunch and not overloaded with mayo. We were looking for Grumpy Tea (unsweetened ) but he assured us his sweet green tea  was not a sugar overload. He was right and took a bit of fire from my mouth!! Nice guy ( and family business) very clean place , good food. Looking forward to next time. Great job!!"
