rating,review
2.5 star rating,"Brunch:  some friends and I decided to visit for brunch.  First, it was 6 of us and the cost was 37.00 .  This included gratuity and tax.  That was really pricey!!! You get two Mimosas with you food.  Those taste like juice so really you are getting orange juice in s glass.  The omelet station:  my omelet was just ok..they have slot of ingredients so you can pick and choose.  The food options was breakfast (no eggs) to soul food.  Chicken, catfish, greens, very cheesy Mac and cheese, ribs....The music was wonderful!!! They had a musician that we all really enjoyed.  It wasn't that crowded!!! I gave two stars because the price and the food didn't match!!!"
3 star rating,"This was our second visit and unfortunately I wished we would've picked a different restaurant for dinner. We were not aware that there would be a special Sweetest Day menu which only offered a small amount of options for dinner. The food was not what we had expected or experienced from our first visit.  We waited almost 45 minutes for our food to come and once it came we were not impressed. The waitress was very attentive but when asked questions about the menu she wasn't too knowledgeable and stated that she had just found out that day about the special Sweetest Day menu. Although dinner wasn't the best my date still ordered dessert..big mistake! The peach cobbler was awful! The only positives that we experienced was the fact that we were sat immediately after arrival (we did have reservations) and the drinks were good. It's safe to say that this was our last visit. Also, that 50% discount for checking in is for Happy Hour which it's already 50% off!"
2 star rating,"So disappointing. Do not come here if you want extremely sub-par food and slow service. Visited yesterday around 8 pm and bought a $130 groupon for a 4 person meal (2 appetizers, 4 entrees, 4 desserts) because it seemed like such a good deal. Do not be fooled!!Appetizers:-Romaine salad: the croutons are so stale that it seemed like they were left in the open for many days. The lettuce and ranch is good though. -Shrimp scampi portion: extremely small and tastes sour, not tasty at all. These 2 are definitely not appetizers for 4 people. Entrees: we got one of each on the groupon menu.-Chicken is inedible. Dry, hard, tasteless and impossible to rip apart. My dad describes it best: ""you couldn't even hit it with a hammer, and if you threw it at a dog, the dog would die."" Seems like it was microwaved over and over again until the chef decided to serve it to someone. -Steak is limp and cold. Once again, it was impossible to cut and super chewy. We ordered medium rare and it came out rare and red. Didn't look appetizing at all. Honestly, how hard can it be to make a good piece of steak? Really shows just how subpar the chef is. -Salmon: average but nothing special, disappointing because this was the only main seafood dish we tried in a seafood restaurant. Shouldn't the seafood at least be decent? -Shrimp pasta: regular ole pasta in white cream sauce, not tasty but not bad-just ok. To top it off, after the appetizers came out, it must have been at least 45 minutes until the entrees came out. And we were only one of three parties there. What was the kitchen doing the whole time? The food wasn't even fresh! After the entrees, we had no energy to try the desserts. They served us carrot cake, cheesecake, chocolate cake, bread pudding, and they all tasted like regular American desserts. Nothing special again (sorry, this comment seems like something I've repeated too many times in this review) Sangria: ugly display with mushy fruit Aside from the food, the restaurant advertises itself as a fine dining environment with dimmed lights. But, the way the servers pass out silverware (reaches across table rather than setting down the utensils behind each person) signifies a lack of experience in ""fine dining"". There is a friendly bar where people seemed to be having fun. But I'll definitely not be back-it was the first meal I had on my trip to Detroit and the Detroit Seafood Market has ruined my expectations for the food in this city."
1 star rating,"Reserved a booth for a business meeting. Get there and no booth available. Get stuck sitting directly next to the person I'm meeting with in a small awkward table. Paella had 4 shrimp and 4 muscles. All pretty much rice! Disappointing!! Dinner came with no salad. Didn't get bread until our meal came out. Dessert peach cobbler was so hot couldn't even eat it all the ice cream melted right away and there was no cobbler. The only good part of the experience was the waiter. He went above a beyond to get us moved to a booth as soon as one opened up and was very nice and accommodating.  In closing,Food is overpriced for what you are getting and not fulfiling. You pay for parking $10, take the drive from the burbs, I would have expected much more seafood and soup or salad instead of fillers like bread and rice.  Flavors were on point. Waiter was good. Restaurant was clean in the dining area. Bathrooms needed attention. After spending $125,  I could have ate way better food less than a mile from my house. We would not go back again. Oh and lastly, some African Americans were chasing us down as we were walking to our cars asking if we wanted to party and by some dope. Holds his phone up in the air and says it's not a gun, it's a phone (eye roll). Garbage hanging around the restaurant as well. People do not want to go to dinner and deal with being chased down and offered drugs."
2 star rating,"Came here for their Sunday Brunch. Therefore, this review might be a little limited compared to their usual fare.They serve a great selection for their Sunday Brunch. The standard omelette, waffle and prime rib station is present. They have a good selection of breakfast usual a such as bacon, egg, sausages and potatoes. Expect fried chicken wings, corn bread, collards, grits, ribs, Mac and cheese and more. As for seafood, they have some broiled fish and another white fish with some breading. Their dessert station is limited to slices of cheesecake, brownies and lemon bars. I think they can improve by hiring a pastry chef. There was a jazz saxophonist playing. With this, the ambiance was just alive and happy. Plus the fact the buffet includes 2 mimosas per person - I was probably happier than my usual state."
4 star rating,If there was an option for NO stars I would select it. I'm here for Sunday brunch on Father's Day and I'm very disappointed. Where do I begin....The menu is limited to greasy fried food. None of the items were available all at the same time. They continue to run out of food. Only one person working the Omlette/waffle station. The work area was nasty. The server had a funky attitude and was very slow. This is an awful brunch. DO NOT waste your money. I will NEVER come here again.Two more things.....our table was only set for 2 and we had a party of 5. Finally dirty plates were left on our table. I had to ask to have them removed. Please avoid this dump.
1 star rating,"Came here with a group of friends on a busy Friday evening. This was my first time in the place and it wasn't too bad. It was a tad dark inside, but they had a great jazz band playing in the background. Apparently there was a surprise party being held, because once the guest walked in, it was REALLY loud for about 30 minutes. Our server was friendly but new. We asked about the drinks but she wasn't too sure what alcohol was what or if they served it. That's okay though, all of that comes with more time of serving in the restaurant. As an appetizer, we ordered the lobster mac 'n cheese. The Mac 'n Cheese was pretty good, but where was the lobster? There was a serving portion for two people in the ramekin. I got one piece of lobster, and it wasn't even that big. For our entrees, I ordered the stuffed salmon, my friend ordered the Steak Delmonico. For drinks, I had the park and stormy, he had the mojito. Our other friends also ordered the steak, and the seafood alfredo. They had a glass of sauvignon. We waited quite a bit for the food and the drinks. As a matter of fact, the drinks came out AFTER the food and they weren't as good as I hoped they would be. For dessert we tried the bread pudding, which was the best part of the meal. The second glass of wine was poured inconsistently with the first as my friend pointed out, when questioned, our server said they changed out bartenders, but it was a big difference in how much was poured the first glass to the second. Our total bill came out to about $150 for two people. The steak was delicious but I wasn't impressed with the salmon. The bland and scant thinly sliced vegetables underneath were a disappointment also. Overall, I'm not sure I'd come back for the price. Our friends had a Groupon so their bill was about half of ours...maybe then I'd come back."
3 star rating,"I am going from a 1 star to a 5 star.I called the management a few months ago complaining about our rude waitress and incompetent manager on duty that night. The food was cold and beyond late.I was asked by manager Maurice to come back and give it another try on the house, So I accepted. It was night and day! Service was exceptional thanks to a great server by the name of Bennie, food was tasty(surf and turf) and warm and the atmosphere was alive!I will definitely be coming back and will spread the word that this establishment is worth it!"
5 star rating,"I went there recently with friends who had reservations. 10 min later the waitress who seemed overwhelmed since she had 2 larger tables to attend to finally asked if we wanted drinks. It took 20 minutes to get our drinks and that's because I had to seek her out and remind her. After 45 min of waiting for our apps, they came out with our entrees!!The oysters were not shucked and my salmon was cold. My friends ordered the stuffed flounders and one entree was dry and the other was soggy and cold. The waitress was inattentive and never asked how we were doing and never brought out dishes or helped remove plates. I had to remind her that we expect better service and only response was I understand and immediately walked away. The waitress who had disappeared upset us so much that I finally went to seek out the manager who said he'd be right with us. He never visited us to hear our concerns! I ate the dinner only because I was famished and feared it would take another 45 min to be delivered. I can feel the mood in the restaurant and it was anxious and upset. I heard other patrons arguing with wait staff regarding their food being delivered late too.The only plus in this pathetic establishment was the one man jazz band. I will not return nor will I ever recommend."
1 star rating,"This place was a disappointment. I had high hopes. The decor was beautiful and quite charming I loved the fact the booths had curtains. Our host was a bit dry! For a lack of a better word. So dry that we had to ask her what was wrong. It felt like we were a bother and she didnt want us there! She stated that she was short staffed. She never came back to check on us just handed us our food.As for the food it was ok. Nothing to write home about. We went in about 4pm so we were only offered the lunch menu which came without bread. Before leaving we decided to go to the rest room. The other waitress looked from across the room and ask ""Did you pay for your check""? ""Oh ok just checking"" Dispite the fact we all had to-go boxes wrapped up in their unattractive ""farmer Jack"" bags.  She wasn't our waitress at all! I was offended!. She assumed we were going to run off without paying! But why? I don't think we looked liked scavengers! But I guess she sure did!The bathroom is HORRIBLE. The sinks are nasty looking and it is in need of repair. I wouldn't expect a bathroom from a beautifully modern establishment to look like that! I will post pics as proof. I hate to see what the kitchen looks like! Service was poor and due to the fact they assumed we were criminals about to run off on our bill I was turned off. Excuse me ma'am I'm a professional and more than likely I make way more money than you do!  Don't assume because we are 3 young African Americans that we are automatically thieves! The crazy thing about it is the entire staff was black! I really want to call back and speak with the manager but im afraid the manager is probably the lady that served us. I will not be returning and I will be sure to let all my friends and family know do not patronize them. Detroit Seafood you offended me and my sisters and thats not ok!"
