date,rating,review
4/7/2022,5 star rating,"Hands down Best soul food I ever had, Mr.VanBuren and his staff is so helpful and amazing......."
1/22/2022,2 star rating,"When This restaurant  was on The Show RoadFood they made the food look delicious,  these pic looks mediocre .... I might not take this road trip. Because looking at the mac and cheese  it's not consistent!  I'll  pass"
12/25/2021,5 star rating,Thank you for making my Christmas a little merrier  The food was delicious and got raving reviews  I will be back.
11/15/2021,5 star rating,Omg! The macaroni and cheese is fire! It's sooo good. I haven't had Mac that's was so good since my mother-in-law moved to Atlanta. I think this might challenge hers. Lol
10/30/2021,4 star rating,Got here around opening got fried porkchops with gravy on them and macncheese with greens.  Greens are good porkchop was great.  Cornbread and macncheese weren't the best.
8/4/2021,4 star rating,Super salad so full. The Mac and Cheese is like my grandma made it. The platter made me feel like that was after Sunday school at church. The elves with great however I don't like the outer edge but that's my personal preference. The cake was moist and tasteful and delicious. The chicken was fried perfectly however it could've used a little bit more seasoning. The catfish was so good. My husband said the black Eye peas use a little more seasoning. The platter they took extra long about 20 minutes. The lady at the window was kind of nice. The plexiglass separating the gas from the staff annoys me at all restaurants. If we are good enough to take your money we are good enough to stand in front of.
2/27/2021,4 star rating,Just a slow wait but besides would go back. Macaroni and cheese was oh my god amazing. Yams good everything was really good. I understand she was by herself working but everything looked n tasted delicious
1/13/2021,5 star rating,"Staff: Kind, courteous and professional. Food: VERY delicious!! The building was clean. This was my first time try the food here however, I'd certainly recommend it!"
11/3/2020,5 star rating,"I visited this location on Oct 10th, 2020.  The place was busy. But the staffkept us abreast as to when our order was coming it.  The very courteous,respectful and engaging.  I was visiting from Rochester NY and have many business in my plazas.  I admired their customer service and wanted to let them know they did a great job.  Being a Brotha with a sweet tooth I could not pass up those cakes.  I took a couple slices and they were slammin!!!  The next time I am in Detroit I will order a whole cake to bring back to Rochester, NY.  Keep up the good work."
10/18/2020,5 star rating,Great seasoning and reasonable prices. Their soul food tastes like that family member that can really cook.
9/30/2020,5 star rating,"Detroit Soul, gave me the most pleasant experience i've ever had at a food establishment. The food is cooked with love and passion. Cooked to perfection. They genuinely care for their costumers and I cannot wait to come back. There food is AMAZING!!!"
9/18/2020,4 star rating,"Hubby brought home yummy delicious comfort foods tonight which was just what we needed after a long long did I say long week! We had pork chops, meat loaf catfish, Mac n cheese collard greens and yams. Everything was fresh and flavorful. My pork chop was a bit salty for my liking but not so much that it was bad. Mac n cheese and yams were my favorite. Each meal came with a large corn bread muffin. Called in the order and the food was ready when my hubby arrived after work to pick it up."
8/23/2020,5 star rating,First time trying this spot. Ordered through DoorDash. Besides the delivery being late this food was so good. My kids are picky eaters and they loved it also I will be returning. In person this time DoorDash upcharges are a lot. Macaroni was  super tasteful yams were perfect.
8/13/2020,3 star rating,"I decided to try Detroit Soul last weekend, as I had read a few reviews of the restaurant, and wanted to try a new Soulfood restaurant that was near me.  I was happy when I put the location in my GPS to see if was only 20 minutes away, straight show 8 Mile from where I live.I received an added bonus when I arrived, to see that the restaurant is right next to one of my favorite car detailing places.  So that was cool!  I immediately noticed going in that they had people going in and out ordering, and carrying their orders out, so I figured that was some type of sign to show the food is good.My turn off point was the service.  There were two young men (one taking the orders and handling the cash register, and one boxing the orders).  Neither one were overly pleasant or helpful.  But I decided to go ahead and place my order to check the food out despite (My biggest pet peeve is unprofessional staff and horrible service).Anyway, I ordered the Baked Chicken, Yams and Dressing.  After about 20 minutes, I received my food, and I did ask for a manager to provide my feedback of the actions of one of the young gentlemen working there.  The manager stated he would address the concern.  Overall, the food was good to me.  The Yams weren't as sweet as I like, but still good.  They Baked Chicken was seasoned good, and the Dressing was good.  I can't say the food was just over the top knocked my socks off good, but good enough that I would try the restaurant again.  Hopefully better service and less wait"
