rating,review
4 star rating,My favourite restaurant! The soul platter and catfish tofu are my jam. There okra stew is fabulous as well. Having been to many a soul food places throughout the States and cooking it myself- this is jabs down my favourite option.
5 star rating,"Lady who brought out food was a bit rude, not saying hello or anything when my date and I said hello and thank you for bringing the food to the car.I've eaten vegan before, but never been a big fan.  I eat vegan when I have to when I'm with others who are vegan.  The food here was good, but not extraordinary.  We ordered the Soul Platter, ""Catfish,"" a side of Collard Greens (the best of all the dishes), and something else my date ordered but I can no longer recall.I was stuck between giving the food a 3.5-4, but decided on giving an overall 3 because of the rude woman."
3 star rating,"This is THE SPOT okayy? Best vegan food I've ever had. They set the bar. The soul food platter is my favorite. The Mac and Cheese will make a non-vegan want to go vegan. Everything about this place just blows me away. 100 stars if I could! And of course, this place is Black owned soooo it is simply phenomenal."
5 star rating,My mother and I enjoyed a lovely lunch on a Thursday afternoon. She ordered the veggie millet burger and I ordered a blt wrap with fried tofu. My mom's meal was really good. She enjoyed it and our waiter told us it was their more popular meal. My blt wrap was really delicious. I felt the tofu was just slightly too salty. But the rest of the wrap was mild in flavor so it wasn't too overwhelming. Yam fries were yummy!!! Probably my favorite thing. The ambience was airy and sunshiny. The service was friendly. The prices were reasonable. I think this is a good lunch spot and I would recommend a friend to check it out.
4 star rating,"I loooove Detroit Vegan Soul. Everything they've ever made me is the best food I've ever had. No joke.I wish I knew how to make that tofu catfish at home, I would have it all the time. And the Mac and cheese. How is it so cheesy without real cheese?!?Seriously, just go get some ASAP. I have some food allergies and they've always been very helpful and informative to me about whether a food is safe to order. I love all their locations."
5 star rating,"I really hate to give bland review because I was sooooo excited to try this place upon visiting Detroit from Houston. I'm not vegan but I eat vegan and vegetarian quite often and I'm always amazed at how many dishes can taste just as good as non-vegan dishes.... but that wasn't the case here. For starters, the water in the bottles at the center of the table are so cute but extremely dirty. We asked our server twice for a new bottle because there were floaties in the bottle and on the glass. After the 3rd dirty bottle, We took a bottle from an empty table and it was still disgustingly dirty. So we ended up not drinking anything which was a huge disappointment. When it came to the food, The plating was bomb but the food itself was mediocre at best. I took an ""instagrammable"" photo of my Soul Food Platter with BBQ Tofu because I told my followers I'd be coming.... what a disappointment. The cornbread was rock solid, the black eyed peas tasted like they were out of a can and salt and pepper couldn't even help, the collard greens could've been great but they were SOOOO salty. I ate some of the bbq tofu and the Mac and cheese which were okay but I was so let down. I didn't update my followers on my experience. We just went to another restaurant afterwards bc instead of leaving with full stomachs and empty plates, we left with full plates and empty stomachs. The servers were kind so of course we tipped well but doubt I'll be returning."
2 star rating,"Great spot! I ordered the soul plater and wow did this dish not disappoint. Mac and Cheese, smoked collards, yams, cornbread, and black eyed peas. This favorite menu item is pretty popular and I can see why. The collard greens were full of flavor and just enough smoke taste to not overbear the collard greens. 100% plant base, organic, and friendly atmosphere make Vegan Soul a must stop if you are in the Detroit area.Keep up the great work Detroit Vegan Soul, see you soon :-)"
4 star rating,"What a great place! Lovely interior, super friendly staff. I love having a full carafe of water on the table (I drink a lot of water and I almost always ""run dry"" before a refill is offered or must be requested). I absolutely LOVE going to a vegan restaurant where I won't have to pick one or two times from a menu that will accommodate my food choice: everything here is vegan I optimistically ordered the Soul Platter with an add-on of ""Catfish"" tofu. And I was not disappointed! From least interesting to most:Sweet potatoes-tender cubes of sweet potato that tasted as if they were sweetened with agave syrup. I don't think sweet potatoes need sweetening, but if you do them southern sweet style, pure maple syrup would be preferable. But they were still pretty goodThe collards were perfectly cooked: tender but still green. Raw red onion chopped on top added a nice crunch and kick. Good-my preference is no sweetness to my greens, but that's a personal preference. Overall they were quite good. Small cornbread muffin was just right: a little sweet and not too dry. Hoppin' John was amazing! Had a ""ham bone cooked with the beans"" flavor. Fantastic!The Mac and cheese was perfection: tender pasta, perfect cheese sauce, and not overly thick. Delicious. And finally, the tuna catfish. Amazing!!' Soft tofu encrusted with cornmeal and fried. The tarter sauce MADE these. Good flavor in the crust, but tofu, as most everyone knows, is naturally bland. The spices in the crust, and the perfect cook dipped in the beautiful sauce made this the highlight of the meal. This place is a real treasure!"
4 star rating,"I came here back in April and just realized I never reviewed which is a shame because their food is amazing! I am not from Detroit,  so I am only comparing to NY/NJ vegan restaurants, but everything was great! The service may have been on the slow side (especially since I came almost right as they ooened) but that's probably just the New Yorker in me, so it didn't change my opinion of the place.I got the chicken bacon wrap and it was THE most incredible vegan wrap I have ever had. The fries it came with were oversalted but I still ate most of them because the wrap was just that good!I personally don't know of any places in tri-state area that do it like this so I was definitely taken aback. Fresh lettuce, delicious chikn, and that coconut bacon!! That was certainly the cherry on top. The server was a sweetheart too I specially remember and I even got a shirt because why not! When on vacation (of sorts) it's fun to act like a tourist. When I come back next year I will definitely return here and got some other stuff."
5 star rating,"One meal here is not enough to explore the menu.  Vegan never tasted so good so I'm eating here everyday while I'm in town.  Day 1:  tofu bites, smothered tempeh, hibiscus punch and strawberry dream.  So, so good.Okay, Day 2 here was just as good.  The catfish tofu platter was a satisfying mix.  I'll be here one more time before I leave Detroit.Well, time didn't allow me a Day 3 here.  That's too bad.  Whenever I'm in Detroit again, I'll definitely return to Vegan Soul."
