rating,review
4.5 star rating,"Seriously, what a delight. It's hard to find a vegan donut and even harder to find an amazing one, but Dilla's nailed it with their vegan sweet potato donut.  Dilla's will definitely be a new go-to stop every time I'm downtown. An added bonus - the staff were so friendly, loved offering up their recommendations, and seemed passionate! You could tell the donuts were made with love"
5 star rating,"[This visit occurred pre-COVID]It was a busy day with no time for lunch. I was concerned that I would be hungry (and therefore hangry) during a show at the Detroit Opera House. Luckily, I spotted this little doughnut shop between the parking center and my destination.Sunlight streamed into the small and serene space. I liked the quietness in the middle of the city. Album covers and other artwork crowd the counter area. Two friends enjoyed their treats and conversations by the counter that runs the length of the window. On a Saturday, there was still a variety of doughnuts available in the display case. Several vegan options, as well as a cinnamon bun, were also on display. However, the orange-pineapple one called my name. I love unusual and creative combinations that cannot be found at a neighborhood chain.I should have asked. It was a cake doughnut, instead of my preferred, a yeast-raised one. Darn. Still, I was okay with the dense doughnut with a crunchy crust and thick sugar frosting with tiny flecks of orange zest mixed in.The gentleman behind the counter was extremely courteous. He pointed out how to quickly access the opera house.I was so hungry that the doughnut was half eaten before I even got there."
3 star rating,This place is a hidden gem and a total delight. The donuts are absolutely delicious - you can tell they're all hand cut since no two donuts look the same haha. They offer up classic donuts but also vegan ones - win! The vegan sweet potato one I had tried stole the show for me. The lemon glazed donut (not vegan) was also delicious - you could see the bits of zest in there. I definitely recommend folks stop in here and get your donuts. The two ladies working the day I was there were so friendly and let us try a few new flavors they had since it was our first time in. Support small businesses - stop into Dilla's!
5 star rating,"Came Saturday morning before they let out for their Christmas break, when they had 3 vegan flavors! I had been wanting to come here for a long time and this was the push I needed. For parking I chose the street just outside, it's like a dollar an hour.  I met Yuri (I believe that's how it's spelled?) the cashier who is very nice and told a lady that came in after me a bit about the history of the place, I believe it's historical for its hip hop recording? They have Dilla merchandise too, although they're currently redesigning and restocking so sizes are limited.I also met Hermen, the nice man that makes the donuts. In my short stay here I've learned they use all natural ingredients, use rice bran oil from brown rice to fry the donuts, which are hand made, and always make the vegan donuts first so there's no cross contamination.  Everyone here is super friendly, I highly recommend this spot. It's right in the midst of downtown, has history, and heart."
5 star rating,This is an awesome little spot! I love the options of flavors. My fave was the banana pudding donut. We tried the chocolate( my boyfriends favorite) and sweet potato(yummy) as well. They also have vegan options. Merch too! I got a super cute shirt in a donut box.
5 star rating,"I would not have known about this place had it not been for my hip hop junkie boyfriend. I have lived in Detroit for one year; and he insisted that I had to make my way into this donut shop before I left. I'm really happy that I did.This place is small and simple but harbors a lot of art, culture and history. I was lucky to have come here on a Saturday afternoon when the owner (Dilla's uncle) happened to be in the shop. This place is closed on Sundays and Mondays - learned that the hard way. My boyfriend and I got two small coffees and one banana pudding donut with chocolate ganache. We sat by the window and enjoyed our donut and washed it down with it our coffees. Then I looked around to take in all the decorations and capture them in photos. Dilla's uncle saw me taking photos of the wall with a model of a the city. The kind man told me the history and the ramification of gentrification in Detroit. I am naive to the history of Detroit and asked a bunch of questions and he answered them all patiently. It's a simple little donut shop with so much history and culture. There is nothing vintage about this place; it is just an epitome of the city of Detroit."
5 star rating,"[45/100]Rest in Peace Dilla Dawg!A visit to Detroit is incomplete until two specific places have been visited. 1) Motown Museum & 2) Dilla's Delights. I was fortunate enough to both and it was a down to earth experience. It was my first stop from Chicago and I can always go for some donuts. The shop is super easy to locate, parking was plenty and donuts were delicious! I had the shop all to myself for a couple minutes and conversed with the gentleman that was working. He was friendly and helped me out with all the Detroit questions I had. I ordered three donuts and a cup of coffee. They have 3 for $5 or 2 for $5 depending the mix and match combination of donuts. I got an apple fritter, one that was banana flavored and a black bottom blueberry . My favorite was the blueberry, I should have gotten 3 of those! The apple fritter was so filling and dense. It wasn't the normal texture I had gotten accustom to but it was  still delicious. Pros:- Parking- Inexpensive- Delicious- Vegan friendly- Well kept, cleanCons:- Once they sell out, they close for the day (Be sure to go early)A definite must! Go visit if you're planning a trip or if you live in the area and have never been!Support and shop local!"
5 star rating,"Got some doughnuts from Dilla's not too long ago! The doughnuts were good but they are a thicker, cake donut (not like what you get at Dunkin'). However, what really stands out about this place is the atmosphere. There is such a cool story behind the business which the customer associate explained to us. Originally we popped in for a quick treat but we ended up talking with the employee for about 15 minutes just learning the history of the shop and the man behind it. Such a cool place in Detroit to stop by and they have awesome swag for sale too!"
4 star rating,"This is my second attempt to give this place a try. My coworkers and I often bring donuts in to our office in the casino. If I find a new spot I like, I stick with it. Your reviews tell me I'd like it. Unfortunately, short of paying $12 to park in a nearby lot, there's little to no available parking for this place. The limited number of spots on nearby streets are all filled to the max and remain so, despite my second and third circles around to scout for spots. How can we check you out if we can't even find a place to park? On to the next one."
1 star rating,I walked in here and started looking for the menu. Asked the lady here where it was and she said this is the menu and pointed at the donuts. I'm like ok... so I got a banana pudding donut and lemme tell you... life changing! I am absolutely in love with the vibe and the donuts!! Definitely a place worth trying!  Will be taking a half dozen to California with me because I know I will crave them as soon as I get off the plane!  If you're local and not trying this place out? What are you doing with your life?
4.5 star rating,"I was desperately craving a donut while on a completely dairy free diet and came here to get some vegan donuts. I ordered both vegan and non vegan donuts from here on a weekend morning and shared them with others that said they would have had no idea that they're vegan. There are free samples to taste test the different donuts. I didn't like the sourness of the lemon donuts but i absolutely love the sweet potato and really all the vegan flavor donuts. Also their whiskey barrel coffee is soo delicious, doesn't taste like whiskey at all, but has an extra flavor to it that I loved. I wish they had a larger selection of more delicious flavors. I'm definitely recommending this place to others!"
5 star rating,I absolutely love their Vegan donuts! I wish they were open more often and vegan milk or ice-cream would be great too lol
