rating,review
4.5 star rating,Long wait so grab a snack before. Totally worth the wait! The food was fresh and hearty. Thoroughly enjoyed myself! A few minutes walk from campus martius park.  Tomato soup 10/10 Healthy yummy options 10/10Service 10/10
5 star rating,"Always a wonderful time here.Kimchi fries are to die for. Be aware of a solid wait, but totally worth it"
5 star rating,This was a nice atmosphere and decent service. But the food was average.  We had the hash and the Steak Benny.   The food doesn't have a lot of seasoning and wasn't much better than going somewhere fast. We did like the drink that tastes like orange creamsicle.
3 star rating,"We're definitely going to have to give this one another try. We made the mistake of coming not that hungry - even after the hourlong wait to get a table. The space is small, and there's a large lobby where everyone waits to get a seat. It's kind of a mess, but the hosts try their best to make sure everyone is seated in the right order. Unfortunately, you can't join a waitlist online. You'll have to show up in person, and there's not a lot going on in the area. The food was delicious though. We had the duck fries, which were generously portioned. It's a good brunch spot if you can get past the wait, and I look forward to trying it out again."
4 star rating,"Quite the popular place for brunch here in downtown Detroit, especially on weekends. When I stopped by just before noon on a recent weekend, the quoted wait time for tables was up to 1 hour, although, mercifully, they had some space at the bar for singles, where the wait was a more reasonable 30 minutes.For brunch, you'll find all the usual dishes like benedicts, waffles, French toast, omelettes, sandwiches, and ""hash"" dishes, sometimes with slight twists on the ingredients. Some of the dishes like the ""spicy Korean fries"" and the duck bop hash that I had, which had ""Korean BBQ sauce,"" had some Asian touches, however small, to them. As for the duck bop hash, it was over all too quickly, featuring a very modest serving of duck and potatoes topped by two eggs.Still, this is all an upscale take on all the usual things you'd expect at brunch - all in an upbeat, lively, urban setting. Here's hoping that downtown Detroit continues to be reinvigorated with more venues like this!"
4 star rating,"We come here every year, it quickly became one of our fav brunch spots. Delish food and amazing service! This year I tried the duck bop hash and the spicy Korean fries, both were amazing! Will probably order that as my usual from now on. Not to mention their delish house made biscuits"
5 star rating,"The food was excellent, lots of good flavors as well as a large variety to choose from on the menu.  The prices were good for what you are getting and the wait staff is attentive and courteous.  Our server gave us great suggestions for our meals so don't be afraid to ask!  The ambience was okay.  It looks a little cuter online than the real deal, but other factors made up for that.  The tables are a bit too close together in my opinion for good conversation, but overall a good experience."
4 star rating,"Who doesn't love a great brunch!? There is something for everyone with a menu featuring locally sourced ingredients and housemade specialities that delight the pallet as well as the pocketbook. Seriously, the largest biscuits I have ever seen in a plate of biscuits and gravy. Great service plus Jasmine tea?! An instant classic for me. Plus the building is stunning."
4 star rating,"Love Dime Store, I just wish they did reservations or you could sign up on the wait list before you arrive. Generally the wait is more than 30 minutes but the food is worth it. They get you in and out and you still are able to enjoy your experience."
5 star rating,"In the word of unfilled restaurants, the Dime Store is going strong. I sat at the bar thus avoiding the waiting list.Great breakfast/lunch hangout in downtown Detroit. Other reviewers have raved about the breakfast and I can't add anything more. One of the specials was the corned beef omelet and I just had to try. The corned beef did not overpower the meal and it is filling. Just look at the pile of breakfast potatoes. Also, note the smaller cubes. Quicker even cooking means less brown bits.I could be a regular if I lived in Michigan."
4.5 star rating,"I was traveling from out of state to Detroit and wanted to try Dime Store after seeing it frequently recommended when researching brunch spots in the city. Glad I did, as this meal was phenomenal! Located inside the lobby of a polished financial district skyscraper, the restaurant had quite a few people in line to be seated, which is expected for a Saturday morning and worth the wait for the dining. The vibe once inside the eatery is modern and hip but cozy and bright, and service was prompt and friendly. The Eggs Benedict was perfectly poached and deliciously buttery and savory. I was surprised at the shining star of the dish, though - the salad, which was dressed in some sort of salty, tangy  vinaigrette that was incredibly unique, fresh and interesting and felt perfect for the brunch time of day. The Belgian Waffle was a nice dessert-like finisher- air fluffy soft and sweet. If I were a local, this spot would become a brunch favorite for sure. I'll definitely be back if I ever travel there again!"
5 star rating,Stopped in detroit on a layover and this brunch did not disappoint! My girlfriend and I got the BLTE and Korean BBQ fries and shared. It was the perfect amount for a midday meal. Really enjoyed the vibe of the place and the architecture of the building. Definitely recommend!
5 star rating,"Corned Beef BiscuitIt's a symphony in your mouth . Dime Store never disappoints!  They have an amazing breakfast sandwich in their specials list - a huge fluffy biscuit filled with corned beef, white cheddar, over hard egg & tangy buttered pickles with a grainy mustard mayo. A little sweet & tangy mixed with salty, buttery & creamy  This is one of the best savory sandwiches I've ever eaten. They get busy so go early (by/before 8:30)."
5 star rating,Definitely one of the best brunches I have ever had. The atmosphere was retro chic with upbeat music. The food was absolutely delicious. There was a 30 minute wait but they have a big waiting area and let you order coffee  while you wait.
5 star rating,Every dish arrived exactly as anticipated. Full of flavor! The peach cobbler French toast actually tasted like peach cobbler really good! Ingredients were all fresh. Price was worth it to me. I will definitely visit again
5 star rating,"My wife and I were on the hunt for the perfect brunch place in downtown Detroit. We were happy to stumble upon The Dime Store. First things first, I'm a coffee snob and the brew at this place can't be beat. I ordered the Dearborn bacon and avocado omelette.  Dime Store made a meal that could not have been more perfect for me!  It came with diced potatoes that were a little dry and room temp, but somehow still delicious!  I honestly ate every single bite. This place doesn't take reservations but if you have some time to spare you can walk around the city while waiting for your table. They will text or call you when your table is ready. It's a great way to spend a morning downtown!"
5 star rating,"Came here for weekend brunch! Overall it was a great and delicious experience. We got the lox salmon Benedict, and raspberry and candied ginger French toast. Only small suggestion would be changing up the home fries- as they were diced small they lacked flavor and texture compared to more largely cut home fries or hash browns. Definitely was more expensive of a brunch than other options around Detroit. Not insanely expensive but each dish was around $15ish. And be prepared to have a decent wait time on the weekends. They have it organized well with an automated system that shows your place in line, however as you are not able to add your name to the list ahead of time, you inevitably get stuck waiting for 30-45min even by 9am. Highly recommend just getting there early. Overall, was a lovely experience and glad to have this brunch option in downtown."
4 star rating,"The food and service here were excellent. However, it felt as if my girlfriend and I were on a double date with the couple next to us. If it weren't for the elbow-to-elbow seating arrangement, I would give the restaurant a 5 star rating."
4 star rating,"Top 5 Breakfast spots in the City of Detroit. This spot never misses to me. The Malted Belgian Waffle is amazing, flavorful and melts in your mouth. Veggie Omelette w/ Breakfast Potatoes is always good as well. Rare you find a House Made Turkey Breakfast Sausage Sandwich and let me tell you, it is amazing! The restaurant is small and not much of a looker, but the food makes up for it. Overall, great food. Simple."
4 star rating,"Can't wait to go back! I'll keep this simple... everything was delicious! Dime prides itself on everything being scratch made and it makes a difference. If you can get over the wait that's pretty typical every weekend lol, you will be in for a treat. Customer service was great from before we walked through the door. Kind, attentive, and the server was able to make some great recommendations.The food! Awwwww still drooling over that Malted Waffle with fresh fruit. Great texture. Not over sweet. Golden goodness. The buttermilk biscuit... I would literally come back just for 3 more of those. My friend order the chilaquiles benny and loved it, especially the homemade tortillas. She is from Texas and said they did not disappoint. Overall, can't wait to return and try some other goodies. I do wish they started offering more vegan or pescatarian options!! That would be amazing!"
4.5 star rating,"This place has the best biscuit I've ever had!!! Came here to celebrate my friend's birthday with brunch. They do not take reservations and this place is tiny so I suggest getting there early to snag a seat. I had the strawberry shortcake French toast with sausage patties and a biscuit on the side. I also had the Irish coffee but I subbed hot chocolate and omg it was divine but verrrrryyy strong! I did not care for the sausage patties, they had a weird taste to me. I think the seasoning may have been evoking southwest/Mexican flavor profiles but it just wasn't doing it for me. Tasted very off, not bad meat off but ""this seasoning is weird "" off. Now that biscuit....I don't care if you come here for a burger...get you a biscuit on the side! The thing is huge and they serve it with strawberry preserves which I believe are homemade. The whole combo was perfection. I was stuffed and didn't finish half of mine; it was so awesome that the next day I made a little breakfast sandwich with it and my leftover weird sausage and even that couldn't take away from the awesomeness!"
4 star rating,"Only person so i was able to go right in. Of course they were busy. This place is ALWAYS busy. This is maybe my 4th time here, 2nd time alone. Food is always good! My order came out about 20min after giving it. Mimosa & sangria weren't very strong but they aren't meant to be. Ask & you are given a voucher for parking in the financial district garage. Not sure of the length though."
4 star rating,"Wonderful experience at the dime store. Finally got a chance to visit after two unsuccessful attempts on weekends due to very long wait times. Definitely easier to get a spot during the week. Food was deliscious, staff was friendly and the service was quick :) definitely recommend it!"
5 star rating,"Great place for close and cozy breakfast, brunch and conversation. Small plates and great for morning dates. Moderate prices."
5 star rating,"If you don't have reservation be prepared to wait a while. Trust me, it's worth it. Dime Store does breakfast/brunch right. I've only been about three times (so far) but I have never been disappointed. Staff is great but the food is the star of the show. Can't wait to go back. Definitely eat here. Just make sure you have a reservation first to save yourself an hour plus. Or wait the hour, you'll be happy you did."
5 star rating,"We came to the motor city for the packers - lions game. Miss chose this place and we waited 45 minutes....ish and we considered going else where bc we wanted to get to Ford Field when it opened.  Boy, are we glad we waited ! The food, service, & atmosphere are worth the wait ! You won't be disappointed. Miss got the cheesesteak Benny & I got the grilled salmon sandwich with fruit. Wow !!  Just. Wow !!No, they don't take reservations, it is worth the wait. Cheers !"
5 star rating,"Dime Store is a popular breakfast diner in downtown Detroit. After having Sunday breakfast there, I can say it's solid food, but not life changing. Here's our experience:1) Atmosphere: It's a less divey dinner feel with a small seating area inside an office building. There's a mural on the wall of the icon on a dime and bar seating. 2) Food: It was good, but not out of this world. My eggs Benedict and a side of sausage were good, but nothing to come back for. Same with the waffle and my wife's omelet. Solid, but wouldn't run back.3) Service: It was GREAT! We got right in as a party of three around 9:30 a.m. on a Sunday and our server was fast and efficient."
3 star rating,"Such a great, energetic brunch spot with incredibly tasty dishes! The Korean duck hash was delicious and all the other food our party ordered looked amazing as well! We won't hesitate to come back next time we're in town!"
5 star rating,"Dime Store has been on my list of places to try in Detroit for quite some time. My friends and I finally decided to try it for brunch this past weekend. First and foremost, there is a long wait. We were estimated about 80 minutes but really waited 50 minutes(better than 80). When we were finally seated inside you could see how small the place was. It's more of a diner vibe which explains the long wait times. We were seated by the bar and could see all the cooks working hard to get the food out. The cooks are masked which was a bonus especially with new COVID variants coming out. Our waitress was very nice and took our orders very quickly. I ordered the French Toast with fruit which was delicious with a side of Dearborn ham.My friend ordered the sausage hash, which she said was delicious. The only con was that her food wasn't as hot as she was expecting. I also ordered the truffle fries to go and they were so good. Overall all it was a good experience and I'm glad we went. The food came out pretty fast despite how busy the place was."
4 star rating,"This is the place for brunch in Detroit. Coming from multiple sources as highly recommended, Dime Store did not disappoint. While we did have a slight wait, it was beyond worth it. The service, though packed when we went on a Friday morning, was friendly and fast. The coffee was excellent and no problem on the refills. I went with the duck leg hash and my partner went with the breakfast chilaquiles. The duck leg hash, in my opinion is quite possibly the best thing on the menu if you're into savory. There is no shortage of duck, and the glaze and sauce used is SO complex and delicious. I also loved the fry on the potato portion. The chilaquiles were no slouch either. Perfectly spicy and full of flavor! I would love to try a sweet dish here so I guess I'll have to come back next time I'm in Detroit!"
4.5 star rating,"I was really looking forward to trying this restaurant. It has great reviews and there is always a wait on the weekend. Arrived at about 930 am and was told there was an hour wait. We got our table at almost the one hour mark which was great. Our server was fast and efficient, but unfortunately the food was not great. We got biscuits and Gravy, the biscuit itself was delicious but the gravy had a weird flavor. There was also a clear liquid floating on the top of the gravy. For my meal I got the BLT egg sandwich and side salad. It was with lemon vinegarette which just tasted like lemon juice was squeezed on the lettuce. No seasoning or oils. The sandwich was bland and my friends Korean fries came out ice cold. Our waitress did get a replacement for those quite quickly which was nice. Overall I wanted to love this place but I won't be back."
2 star rating,"We stopped in for lunch while doing a holiday shopping wander downtown. I had the corn chowder (delish) and my husband had the chicken tortilla soup (this was more like chili made with chicken). My Bloody Mary was simple and delicious. The salmon sandwich warm, cooked perfectly and served with a generous serving of fresh fruit even though it past fruit season in Michigan. Our server was attentive, nice, welcoming and awesome! Thanks for a great meal and great service."
5 star rating,Stopped in here  for breakfast early on Saturday morning. It was a bit difficult to find as it was in the Chrysler house building. Upon arrival there was about 45 min wait however they got us seated in like 15. So that was great. All of our servers and workers were very friendly and helpful. Very small and quaint inside. But had some cool farmhouse/schoolhouse decor. I personally ordered the classic eggs Benedict. It was very solid. The hollandaise sauce was very good. They ham didn't have much flavor. Egg was good and biscuit was solid as well.  My wife order the peach French toast and she said it was just solid. She was on the fence on it. My oldest daughter got the bacon avocado omelet. She said it was very yummy and the bacon was thick and tasty. My other diabetes got a side of eggs and my second youngest got the waffles. I sampled her waffles and they may have been the best waffles I've ever tasted. Very soft and great flavor on the waffle and the syrup. Very good. Highly recommend that dish. Overall we had a good experience at this establishment. Some of the food was hit and miss. But the foods that we did like was phenomenal. Absolutely worth checking out if in the area and wanting a good breakfast.
4 star rating,"Slow service with an attitude, over priced and under portioned. Lackluster  breakfast."
2 star rating,"If you're looking for a well-seasoned, made from scratch, brunch option in downtown Detroit look no further than locally owned and operated, Dime Store. Nestled on the first floor of the Chrysler House DS is home to some of the most flavorful classic brunch options including the brisket benedict, Brussel sprouts & eggs as well as the peach Frech Toast. The service is phenomenal with only a light wait for food and drinks. I didn't notice any drink or brunch specials but, the Dime Store is thriving nonetheless. Went back and forth about whether this was a 4 or 5-star experience and ultimately landed on 4 because of the long wait (~80 mins for a table of 3)  and lack of wait listing/reservation process in place. With food this good the restaurant HAS to know there needs to be a better system for seating and bussing tables as well as reservations, especially since it's 2021 and this is Detroit. Pro Tip: They validate parking!"
4 star rating,"If you're looking for a well-seasoned, made from scratch, brunch option in downtown Detroit look no further than locally owned and operated, Dime Store. Nestled on the first floor of the Chrysler House DS is home to some of the most flavorful classic brunch options including the brisket benedict, Brussel sprouts & eggs as well as the peach Frech Toast. The service is phenomenal with only a light wait for food and drinks. I didn't notice any drink or brunch specials but, the Dime Store is thriving nonetheless. Went back and forth about whether this was a 4 or 5-star experience and ultimately landed on 4 because of the long wait (~80 mins for a table of 3)  and lack of wait listing/reservation process in place. With food this good the restaurant HAS to know there needs to be a better system for seating and bussing tables as well as reservations, especially since it's 2021 and this is Detroit. Pro Tip: They validate parking!"
4 star rating,"Oh my gosh Dime Store is the best brunch in Detroit! The menu is creative and flavorful, and the presentation finishes off the details for a perfect brunch. There is an array of Benedicts, waffles, French toast, hash for every palate. Grab a pitcher of mimosas to start your day off right! Make sure you prepare for a worth while wait if trying the Dime Store on the weekends. It's a tiny little gem!"
5 star rating,"3.5! I thought this menu had a lot of options, but I decided on lunch instead of brunch. The people I dined with really liked their brunch options and I liked the sandwich I got, but I don't really think it was anything crazy. It's in a good location though, so if you're hungry you should stop in if there's not too long if a wait!"
3 star rating,"If you get here before 9:45 am there's plenty of seating, any later and expect a wait... a wait that's worth it. They have two Chef specials this week that really need to become staples on their menu. I had their chicken Schwarma hash and my hubby had the pork belly and grits. Both were spot on and so flavorful. The schwarma had all the staple flavors you want and more and the pork belly was so savory and cooked perfectly. We both agreed that pur dishes were the best we've had around Detroit in a minute. Bartender was great, Bloody Mary was spot on. Great staff with great food."
5 star rating,The food n the atmosphere was amazing service was top notch the food was hot n on time even with the restaurant at full capacity
5 star rating,"Stopped in for brunch !  What a great experience.  You can't make reservations but it's worth the wait.  Hard to find parking but they do have parking garages in the area, a little pricey but if your going to walk around and shop Downtown then worth it.   Very classy chic place.  Upbeat and hip place.  The staff was very friendly.  We all ordered a brunch type of food.  Salads - fries eggs with salmon .  Everything was so good.  Very fresh and nice sized portions.  Definitely a great spot to go back to"
4.5 star rating,There aren't many true brunch spots in the city. so Dime Store is definitely a staple. They have good portions and all the brunch classics. They don't take reservations and are often very busy so plan to put your name down and wait around for a bit. There is street parking outside but they also have a parking lot where they validate.
5 star rating,one of the best brunch spots in detroit! dime store has a large menu of typical brunch fare with a unique twist. service is consistently good and parking is validated for the attached garage. the building dime store is in is historic and beautiful and ambience in the restaurant is laid back. definitely worth a trip!
4 star rating,"First time at Dime Store. As a breakfast, lunch, bunch place it's got an eclectic menu that straddles known comfort food and fresh ideas. I had the chicken shawarma hash. Breakfast potatoes, shawarma chicken, tomatoes, onion, eggs, yogurt sauce, cilantro, and pickles. Sounds like a really odd pairing but it was so right together. A take on a local favorite (shawarma). Sooo good. Check out this place if you are in Detroit."
5 star rating,"Unbelievably yummy! I've eaten brunch here a few times. Extremely tasty food. But the downsides are the very long wait (they don't take reservations, so you have to show up in person to put your name on the list) and sometimes the servers can get very, very busy. Don't be disappointed if you don't get a lot of special attention."
4 star rating,"If you get stuck waiting for a passport in downtown Detroit, spend your time wisely and enjoy lunch at The Dime Store!  Great style, friendly staff, and the food was fantastic!  I had the Cubabo sandwich and the Korean BBQ Fries which was more food than I needed for lunch!I have tried Cuban sandwiches other places and haven't been impressed but I would come back for this one!  Just perfectly done - lots of meat and the right balance of pickles and mustard. The side of fries can easily be a meal by themselves, but why not save half the sandwich for later and enjoy both!"
5 star rating,Ate brunch here on Sunday and it was too good! They don't accept reservations but the wait wasn't too bad. I ordered the Korean French fries and asked for a fried egg to be added. OMG it was so yummy!! The chicken sandwich and veggie hash was tasty too. Cocktails are always on point. Love this place!
5 star rating,This was a bit of waiting but the meal was well worth it (around 30 mins during peak). The chorizo omelet I had tasted amazing. The coffee was on pointe. Food came up quick once ordered. Just one tad bit is it can be somewhat cramped on the inside unless you're seating by the bar.
5 star rating,"This place is overrated. Food is mediocre. I had the cheese steak Benny which was not bad with the breakfast potatoes which were over cooked and just not good. I threw them away. My husband ordered the Sante Fe omelette which did not taste seasoned at all. I tried my sisters grits which were actually pretty good (and I'm picky about my grits). Overall, For this to be a black-owned establishment, I am very surprised at the lack of flavor."
3 star rating,The best  place for breakfast is now the best place for lunch!The soups were both great and the BLTE was awesome!
5 star rating,Atmosphere and space is interesting. Friendly and fast service. Cheesesteak benny is yummy and so are the house fries.
