date,rating,review
2/20/2022,4 star rating,"Haven't been since 2019 and I wasn't disappointed with my drinks and food. The decor is dated but the vibe is great. DJ played good music, there are two sides and two bars to order from. It was a mixed crowd as far as age range as well. I'll be back"
4/10/2022,1 star rating,"I am highly disappointed with this establishment. On Opening Day for the Detroit Tigers... I paid $20 to valet and a $40 cover charge PER PERSON to enter Flood's. The male bartender was drunk. I ordered with him 3 different times and he still did not make my drink. He kept telling everyone waiting at the bar, ""I got you, I got you"", promising to make their orders but instead, just stumbled around the bar, texting on his phone. It took me 45 minutes, standing directly bracing on the bar to be served. Another bartender made my order. How can you know that Opening Day in Detroit is a big deal, charge that hefty cover charge and then not staff the bar? Why would you charge your patrons $40 for such an establishment? The tent on the side was the most filthiest thing I've ever seen. The floors had straight up trash upon entering. Inside, behind the bar was atrocious. Glasses were piled up, not being washed and what appeared like wet paper towels/napkins on the floor. **I am choosing to not post the pictures I took as I don't want them associated with my profile** Come on black owned businesses,  we need to do better. Why do we allow such mediocrity?I write this review with a heavy heart. I've been here before when I first moved to MI 6yrs ago. I started noticing a decline so I stopped going. Had some friends fly in from California for Opening Day and suggested we meet up here.  I warned them!! I will not return and I donot recommend."
5/30/2021,5 star rating,Currently here now for brunch and everything is still delicious as it was before the pandemic. I have the shrimp and chicken combo with Mac and cheese and yams. Oh yeah there's cornbread here also. So delicious . lol I had already eaten one piece of chicken from the pic
2/14/2022,5 star rating,Great time amazing people the vibe was dope. I love the food And the DJ was jamming I will definitely be back
12/19/2021,5 star rating,"Great service, good food, excellent DJ, drinks were so good! I will be back for the Sunday Brunch! Can't wait to come back!"
7/19/2020,4 star rating,"Floods is popular go to spot for black Detroiters. I've been coming here for years.I've always had a positive experience. The food is okay. I had chicken and shrimp with a side of green beans and Mac n cheese. My food came out pippin hot! The Mac was a little salty. The green beans were canned, I didn't like them and didn't finish them either. On a positive note, they make the green beans with turkey meat instead of pork, fyi. I enjoyed the jumbo shrimp the most.They usually have live music up front and a dj in the back.I got to enjoy patio seating this visit where they played music on a speaker.I like this place so I'll be back."
7/14/2021,3 star rating,I decided to give this restaurant another chance after visiting a few years ago and was greatly disappointed for the second time. I went to this restaurant on Sunday because I heard it was an old school crowd.  Currently I'm visiting Detroit and wanted to try to support a black business.   I checked the Instagram and website prior to arriving to ensure I was aware of cost during Covid-19.  Per the website and social media there is no cover charge until 8 pm. I arrived at 530p and they charged $10.  Then when I got inside I waited for fifteen to twenty minutes waiting on a server.   I had to go to the bar to request assistance as two waitresses passed me twice and never acknowledged or asked if needed anything.  Once I received a waitress she was nice but busy.  It was a noticeable amount of time between visits. My friend had never been and I felt bad about the service as I was hoping for a better experience. The shrimp is delish and the serve was disappointing.   I'm just at a loss of words....
12/6/2017,3 star rating,Decided to pop in since I heard nothing but good things about this spot. Not my favorite. I dropped in on a Sunday evening and there were a lot of young adults I'd say under 25 yes old.  The valet was behind I parking cars since the place isn't big it was hard to find a seat. The server cane one time and never returned. The food was pricey but just okay.  Needless to say say maybe say maybe could come comeback on a different day.   I prefer to go across the street to Greek town Casino because I wasn't impressed with the live music.
10/4/2021,5 star rating,Great atmosphere..seeming to be a more mature crowd who enjoy good food and good music.....went in to pick up a to go order while in town for a concert.....food was fresh and nicely priced. Even with all the people and loud music the service was excellent.
1/12/2021,3 star rating,"Damn Floodsies was hella tight. The food not so great, the music was fire (soul/jazz) and the men although not attractive were grabbing me left and right. Soul music, average food, a large bill but my fat white ass has never gotten so much attention. I'll take it. Floodsies for the win. I ended up getting scored on. Wooo Wooo Wooo. Whitmer open this place back up (more then just your husband deserve to let out of their cage). I'm thirsty!!!Go Floodsies!"
