date,rating,review
5/10/2022,5 star rating,"I was looking for a place that would deliver some sweets to my Mom for her 94th birthday, and I found Good Cakes and Bakes. I live out of town so I ordered based on the website and reviews, and am I glad I did! They really came through for me. The cupcake order arrived exactly as I had specified, it was delivered on time, and they even included a birthday card for my Mom. Oh, and did I say that she loved the cupcakes (as did everyone she shared them with)? Yes!!"
6/6/2022,5 star rating,"This is one of the most consistent, tastiest bakeries around. Everything I've gotten here has been delicious. I recommend them for just a simple treat to a birthday or any other celebration!!  Love them. The world is a tastier place with them in it!!!"
5/29/2022,5 star rating,"I love this bakery, they offer the best Banana Pudding with and without bananas, I personally prefer the bananas. Healthy vegan choices, amazing cakes, brownies, and much much more, friendly atmosphere, with a soulful vibe for all to enjoy!"
7/31/2021,5 star rating,What a sweet bakery. I was on Instagram and won a free cake Friday. I came down to pick it up and I'm so glad I did. This place is adorable and filled with amazing vegan sweet treats from cupcakes to cakes and more. Sharing some pics of the bakery and also the cake I won.  I also bought a few items to bring to a friends house for dinner so I didn't get to photograph those. I'll be back!
5/29/2022,1 star rating,"My parents ordered a cake for my birthday. They were supposed to pick it up on Saturday but my parents were busy and the store ended up closing. No problem, they should be able to pick it up the next day, right? Nope, the store doesn't open back up until Wednesday. Come Wednesday, the store already threw away the cake and said they don't do refunds nor would they remake the cake for us! This is unacceptable. I've also had stale cake slices from them so if you want to order from them make sure you order a fresh made cake and be on time to pick it up or they won't accommodate"
11/22/2020,5 star rating,I love Good Cakes and Bakes so much! We've had it for a couple of work events pre-pandemic and I've made the drive for their cupcakes every so often since then. I got a few cupcakes this weekend as well as a chocolate chip cookie! So delicious! My favorite cupcakes are the red velvet and the banana pudding! Online ordering for pick up is super easy and their customer service is also great!!
8/22/2020,5 star rating,"This nice bakery has cute outdoor seating where you can eat your goodies. The front door is locked but you can either place an order online or over the phone. When your order is ready, they place it on the table that is near the front door. We got a Strawberry crunch cupcake and a Fruity Pebbles cupcake. They were both good and I liked the fact that they were a normal size with a normal amount of frosting. They were the size that cupcakes used to be when you took them to school to celebrate your birthday. I would love to return when they allow people inside, because it looked nice through the windows."
12/25/2020,1 star rating,"This was my first time trying GCAB and I wanted to support a small, Black owned business to order cinnamon rolls for my family Christmas brunch. In short, I am disappointed. In long -- At least 2 weeks before my desired pickup date (12/24), I called the shop to inquire the best way to place my order. The young lady on the phone told me ordering online was best, so I did just that. I chose my pickup time for 5pm on 12/24 and it was confirmed. The day of pickup, I get a call a little after 3pm stating that my order was still at the shop. I said yes, my pickup time is 5pm. The woman on the phone said no, we closed at 2:30pm today. Well that was news to me! They expected me to drop everything I was doing to come pick up my order ASAP! I let them know I live 30 minutes away and they said someone will be at the shop until 3:45pm giving me exactly 30 minutes from the end of our conversation to get to the shop. Not only is this unfair to me, but it's terrible customer service! I had my whole day planned out around the 5pm pickup time. I can not express my disdain about this situation, especially because it is the first impression. Now let's get to the actual product. When I got home, I was so excited for the cinnamon rolls! They look unappetizing and sunken in. When I had one the next day (12/25), the flavor was underwhelming. Maybe if they were fresh, it would've been better but it could be a lot more cinnamony and indulgent. Nothing to write home about. Overall, I doubt I'll be back. I really wanted to support a small business but it didn't even come close to my expectations or the hype surrounding it. I am a home baker and have made much better baked goods, including cinnamon rolls. I would not recommend ordering from GCAB and I am just so very disappointed about this terrible experience."
2/25/2020,3 star rating,"I have had muffins or cakes from this brand at the farmer's market or somewhere before coming here. They have been featured on the today show. Lots of coffee house style seating. Yes there's a church pew inside. It's a fun looking spot, great marketing, it's everywhere. We got the Apple spice tea, the only herbal tea here, a lemon blueberry loaf and a vegan GF brownie, it looked more moist than the regular gluten brownie. The tea takes a bit to steep. The vegan gf brownie tastes good, just rather dry for me, almost scone like dry. My husband liked it, was too dry for me. I am more of a fudgie brownie fan. The blueberry lemon loaf tastes really nice, would be so much better than the 3 blueberries in the entire loaf though. It was at least nice and moist."
9/1/2019,5 star rating,Ohhhh!!!!!! The LEMON CAKE!!!!I found these two ladies selling amazing looking cakes at the Jazz Festival downtown last Friday and now I am on a mission to get to this store!There were so many other choices on that table and now I wish I'd bought them all.
12/1/2020,3 star rating,"I am an unapologetic caramel cake aficionado, and have been mourning the loss of Reen's Cakes since she decided to retire a few years back. So, to be up front, this is the standard to which I hold caramel cake. And, after trying the caramel cake at Good Cakes and Bakes, I'm still on the hunt for a Reen's replacement. The yellow cake was a bit dry. The frosting as more caramel glaze than caramel frosting, and was pretty thinly applied.  The bakery itself was cute, and the employees friendly and helpful. I'd still give the 7-up cake a try, but I won't be back for the caramel cake. So 2.5 overall, rounded up."
7/18/2021,5 star rating,"My husband ordered me a vegan carrot cake from this bakery for my birthday and it was delicious!! He ordered it through Goldbelly. It arrived on time in a chilled box. We kept it in the refrigerator, ate it the next day and everyone asked which bakery it was from. It wasn't dry or lackluster like other vegan treats. The taste was rich and moist and actually reminded me of a wedding cake. I'd love to try their other vegan baked goods in the future!"
7/10/2019,5 star rating,"Do you need a place that can make cupcakes for your niece's birthday, on short notice, because your oven doesn't work?Do you need a secure place to have packages delivered AND get a yummy treat?Do you want a cozy place to sit and read, or catch up with a friend?Good Cakes n Bakes is for you. (And me, since I've done all of these things there.)And with the upcoming changes to the traffic patterns on the Avenue of Fashion, things are looking even better starting this fall!"
4/5/2021,5 star rating,"I have yet to stop in their brick and mortar, however I find their cake slices at Western Market and boy are they good!  You must try these delicious cakes!  Get a few!  Don't just try one!  Share a few with friends to see which is your favorite, or to have a reason to taste them all!  Support this business not only because their products are amazing, but the owners are job creators, a part of our community, Main Street America, and are the backbone of America!"
11/18/2020,5 star rating,"Minority owned and operated, queer friendly. Coffee is french roast style and there's been a sweet vegan option every time I've gone. I love the setting, lots of natural light and one of a kind details inside. They also have a community bookshelf! Easy access on the lovely chunk of the Livernois corridor."
