date,rating,review
3/22/2022,5 star rating,"I love Kuzzos Chicken & Waffles. Everything about this place is amazing. I get the half & half iced tea & lemonade to start, he gets the 3 flavor Kool-Aid. The drinks are served in a quart Ball jar, they're extra large and last forever. :) It's always difficult for me to choose which dinner to get, but it is always along the lines of chicken & waffles. There are many different variations, and the chicken is so good. It's nice and juicy with a crispy, salty flavored crunchy outside- the perfect combination. The waffles are made to perfection. They're the thinner type, served with a huge dollop of whipped butter. I opt for the hand cut fries- the perfect accompaniment- along with a side of mac-n-cheese & cornbread muffin to finish it off. I always need to box up some food, the portions are large. I look forward to dining at Kuzzos. It's always a pleasure!"
1/14/2022,3 star rating,"I had just arrived in the city and was craving a ""soul food"" brunch spot. I was sold when I saw chicken and waffles. I ordered the red velvet waffle with chicken tenders which was a solidly good choice. The waffle was perfectly cooked (not too hard or too soft) but was hoping for a stronger red velvet flavor. It was also missing the cream cheese glaze. The tenders were hot, a nice size, and well seasoned.To be honest, I feel my rating is based off of my item selection. I had no clue about how massive and eye catching the koolaids were! The waiter mentioned koolaid, I saw the price for $4 and said... um no thanks. We were the first party at the restaurant (weekday morning) so it wasn't until I was leaving and I saw people with them I knew I made a mistake. I also wasn't in the mood to drink yet, but would for sure try one spiked! Last wish is that I wish I would have grabbed one or 2 sides to try. I'll definitely be back, but I'll make sure to come thirsty and order sides."
5/24/2022,5 star rating,"They have a cool ""WHAT UP DOE"" sign Detroit slang I LUV IT Food was really good be prepared for a long wait but it's definitely worth the wait they have a bar I ordered the Mimosa flight an spiked Kool aid for me an my Husband my daughters ordered layered koolaid it was really pretty the chicken an waffles was good an fresh an omg the shrimp & grits was AMAZING THEY ALSO HAVE HAPPY HOUR CHECK THEM OUT  going back ASAP"
3/19/2022,2 star rating,The food and customer service here has changed. I placed an order through doordash pickup. I guess they assumed that it would be a dasher coming to pick up the order. They gave me these small tenders and two were dry and it looked like it was cooked in old grease. I made sure to check my food while inside. I stood at the bar waiting on someone to come over. The lady who brought my food was the only one that came to ask what was wrong. My food was remade but the old chicken shouldn't have been given to me in the first place. If placing an order to go check your food before leaving.
3/8/2017,4 star rating,"I came here with my friend. The wait was about 20 minutes. We were seated at the bar because those were the only seats available. I ordered the red velvet i believe. This was my first time here, the mason jars made me feel at home. The food did take a while but it was delicious."
5/3/2022,1 star rating,Everything is poor. The service is the worst you'll ever experience. They don't clean the waffle makers at all. Waffles taste like old grease. Disgusting! They do everything bad. The worst place to ever visit. Don't go! Don't do it! Save yourself from the disappointment. They take your cash and refuse to  give your change. Don't subject your money to this place please run away. Look away find somewhere else to eat I beg you lol.
9/18/2021,4 star rating,"I'm visiting Michigan and my cousin wanted to try chicken and waffles for the first time. We found this place and took a chance. Parking was surprisingly available across the street, which hasn't been our experience in Detroit. We walked in and waited to be seated for about 5 minutes. A line began to form behind us and there was a line of people waiting to pick up their food inside by the bar. Several staff walked past us and I thought to myself, bad customer service. We eventually were seated and waited to order. It looked like there was only one server because he was attending to every table. Obviously they were short staffed. Our waiter, Marlon was very nice and when he eventually got to us, he apologized for the delay. We ordered the:-Shrimp n Grits: Shrimp was pretty good, grits were okay but my friend who is originally from South Carolina said they were amazing. So maybe take his word for it. -Big Mamas: The chicken was well seasoned and moist. For my sides, I choose collard greens (a bit salty), mac n cheese (yum!) and candied yams (delicious). As I type this, I'm realizing they forgot my cornbread. Insert sad face here. -Big Red: The waffle was huge and fluffy. Wings were great too. 4 stars because the service could have been better. But our food came quick and it was tasty. What else could you ask for?"
8/4/2021,4 star rating,"By all the reviews... you pretty much now know the legend of Kuzzos... the food can sometimes be great!  The service can sometimes be okay as well... probably never exceptional... but come at the wrong time and you may be waiting a year before you get food. I felt like I should review because they are a metro Detroit staple for chicken n waffles.I have gone many times because it's conveniently close, but ALSO I had to admit to myself that no matter how many times I waited my whole life to get some food here.... I really like their chicken and waffles... whether it be the big red or the regular waffle and the tenders.  I can't touch the sides or the kool-aid/sweet tea/lemonade... the sides are heart attack worthy, buttered up and sugared up.  The drinks are like 80% sugar.  And the alcoholic bevs are not what you would call top of the line, but the prices hit for around $13-$15 a drink.My advice?  The closer you go there during non peak times, better chance of your service being decent.  If it looks like there are a lot of people there, just wait to get your fix another day.  For food... keep your order simple, get chicken n waffles, drink some water with it, or get a beer, or some wine.... No house drinks.  If you do those things you should get decent food and service with a pretty good price... go outside of those parameters, you're playing with fire. Good Luck!"
7/16/2021,5 star rating,"Kuzzo's has been on my radar but every visit to The D, I somehow run out of time. Not this time tho - made it to Kuzzo's and it didn't disappoint! Love the decor both inside and outside (yes even the lil bench outside is cool and you can get a good pic with the restaurant as your background). Lots of dope artwork inside of some of your fav artists: Danny Brown, Whitney Houston, John Witherspoon (Pops Williams aka Bang, Bang, Bang, Bang LOL!), Common, and Diana Ross. The neon What Up Doe sign is such a cute accent and SO Detroit!Although I was a bit disappointed by my drink - I came for the Spiked Koolaid that is the pretty blue, yellow, green layered colors on so many TikToks, but apparently that is only the virgin version (no thanks! lol) - the food did make up for it! Hazel's Southern Platter with Catfish was the move since they don't allow substitutes and I really wanted a red velvet waffle with the New Wave (2 pieces of catfish and a regular waffle). The catfish is HUGE - you will definitely be taking a to go box. The mac & cheese and collard greens were yummy as well although the sides could stand to be a little bigger. Breakfast is served all day as well - such a great offering!Kuzzo's lives up to the family feel and your belly full just like leaving ya Nana's house. Can't wait to return and the fact that it's a black-owned business makes me want to continue to support!"
5/12/2022,5 star rating,"I come here at least once every two weeks. The food is good, the drinks are strong, the vibe is excellent, and the staff are friendly. Great black owned business."
