date,rating,review
5/18/2022,5 star rating,Absolute must hit if you're in Detroit. Had the collard greens and Mac and cheese for appetizers followed by oxtail and shrimp and grits for entree. There was not a speck of food left on any plate sent back into the kitchen.  Great restaurant and very cool atmosphere.
12/12/2021,5 star rating,"This is my 2nd visit here and I think I reviewed it before, feel free to search that lol. Anywho, I came with my husband and another couple for a date night. We made an reservation which is highly recommended because it was pretty busy Saturday evening.We were immediately sat upon entering, please note that when you walk in you have to come up some stairs into the restaurant. Our server was pleasant and other staff(refilling our water and bus boys) were nice as well. The ambiance is really nice and comfortable, they had nice music playing and it wasn't too loud. We ordered the crab dip appetizer and it was delicious. They do not allow you subsitute menu items but will give you a double order of an item All of our food items were very good and all items were hot. Our entrees came out at a perfect time, they gave us enough time to in between finishing our apps before bringing the entree out which was great.Overall everything was really good and I would go back again. Make sure to check their dress code policy before going because they really do enforce it."
5/3/2022,4 star rating,"Came here on a Friday evening for a ladies night out. We had reservations and therfore seated shortly upon arrival. Once seated,  we ordered drinks and an appetizer. The Whiskey blackberry cocktail that I ordered was delish. I heard positive feedback from the other cocktails ordered by our table. Our waitress had welcoming customer service and provided us mini corn bread muffins as we waited for our appetizer to arrive. Sidenote: Its a very INTIMATE setting here. Perfect for date nights!Two of my friends ordered the catfish entree, one friend ordered the kale ceasar salad,  and I ordered the oxtail entree. The crab dip appetizer was yummy for sure. We all enjoyed that very much.Unfortunately,  it took about 45 minutes for our entrees to arrive. That wait time was quite unappealing might I add.   I was on my second cocktail by then.From what I was told, the ceasars salad was not that great. For the catfish dinners, I was told the catfish and yams were good, but the greens were EXTREMELY SALTY! I was given some on my plate to try, and I agree 100%. The amount of salt used on those greens was RIDICULOUSLY OUTRAGEOUS! If any of us had more than three bites, we would've all been walking out of there with hypertension. I don't know who's heavy handed with the sodium chloride back in the kitchen, but they need to pull back when fixing the greens. My oxtail dinner, in the other hand, was PERFECTION. The meat fell right off the bone, the risotto was creamy and delicious, the string beans cooked great, and the entire entree came together so well when all items placed on the fork for one bite. I ate it all!"
3/14/2022,3 star rating,"My cousin and I were led to this destination after much debate about where to dine this evening. After a phone call to her brother announcing he was here we knew where to go. My cousin has a hat on and we initially were unsure it it would pose an issue. As we joined a party in progress upon our arrival, we received some two shots of Patron each. We also each ordered a Patron Silver Margarita which was excellent! My cousin offered me some of his Lump Crab dip as I sat at the bar and it further confirmed that I was in for a good time. We went to toast for the first shot and I could tell upon further inspection that the glasses were stained. I alerted the staff and the shots were eventually replaced. It was said that someone had to go to the basement area to acquire a new bottle of Patron. I decided to order the Braised Oxtail entrée for dinner. When it arrived it was lukewarm at best. My cousin and I both asked for our plates to be warmed up so we could enjoy the food properly as it was flavorful. A representative came over to the bar, extended an apology for the food temperature. She went on to state that the food was being refired and a talk was had with the sous chef. The plates were brought out moments later. They were clearly the plates we had originally as we could tell where we had each tasted the meal previously. Nonetheless, the warm up was all that was requested and it was done so to my satisfaction. The meat was tender and pulling effortlessly from the bone. The Cheddar Risotto and Herbed Haricot Vert were perfect accompaniments. After while eating dinner, I perused the drink menu to order to determine a wine to order. To my disappointment. the Papillon was only available by the bottle. I opted to order a glass of the Nectar Imperial Rosé after dinner instead. Despite the hiccups throughout my time there, the service by Brandy was exceptional and I tipped her accordingly. I will return there to experience more of their offerings."
9/12/2018,5 star rating,"In preparation to send my son off to college, I wanted to celebrate his accomplishments thus far with a dinner. He wanted something soulful but not traditional food fare. This did not disappoint. I had the Braised Oxtails (pictured here) and he had their take on Fried Chicken. The space is very inviting yet intimate."
5/18/2022,5 star rating,"Probably my 4 th time here ove the years and it's one of my go to spots. Wonderful servers , great vibe and decor. The food is always good and the cocktails are on point, great for date night, family dinner etc. Will be back before too long I'm sure."
9/25/2021,4 star rating,"*** There's much to like about Savannah Blue. ***I took my sister here to celebrate her birthday.She is picky, yet she enjoyed most everything.AppetizersFried Cauliflower ... excellent sauce ... 5-starsAir-fried Chicken Wings ... light tasty ... 4-starsEntreesOxtail ... superbly prepared over risotto ... 5Whole Red Snapper ... great presentation ... 4Alabama Fried Chicken ... yummy sandwich ... 5Shrimp & Grits ... creamy + andouille sausage ... 5Fried Catfish & Fries ... overcooked, rather dry ... 3SidesBlack-eyed Peas ... delicious, with curry perhaps ... 5Collard Greens ... hmm, smoked turkey perhaps ... 4Yams ... no bueno, overly sweetened with syrup ... 2CocktailsPretty good, no complaints yet no ""wow"" either ... 3AmbianceBlack walls, exposed brick, dim light, cool music ... 4ServiceSurprising fast, personable knowledgeable servers ... 5*** Very nice vibe all around and good food also. ***"
6/5/2022,5 star rating,"Stopped in with my husband while we were in town based on a friend's recommendation and we were so pleased we did!! Upon arrival the hostess was super welcoming and walked us to our table. Our server Sarah came over promptly ready to answer any questions and get things started for us. We ordered way too much food but everything was amazing...started with the crab dip, it came with crispy wonton chips and we ate ALL of it. For meals, hubs got the fried chicken plate which came with collard greens and candied yams. He really loved the sweet salty combo and was raving about the perfection of the chicken. I got the chicken wings with a side of Mac and cheese- I could not get enough of the sauce that came with the wings, it was like a spicy bbq type sauce that complemented the seasoning on the wings perfectly. The Mac and cheese was so cheesy and just had that homemade taste I was craving. All the food was made with love, you can taste it! The only regret is that we didn't have room for dessert. 10/10 will have to come back"
8/18/2021,3 star rating,"I stopped in for lunch over the weekend with one of my girlfriends. We both had the catfish from the appetizer menu (nuggets/strips, there'sa filet on the dinner menu but I didn't want the fries or coleslaw and no substituting a side). My friend had the sweet potato salad and I had the greens and blackeyed peas.The ambiance was great, the sides were delicious,  the catfish was supposed to be fried hard, but was just chewy...not the least bit crunchy and not hot or even warm. The service was pretty slow, but our server was very nice when she finally made it to the table...she did take my friend's plate off the table before she was finished with her chewy catfish, though. Will I go back? I'm sure I'll give it another shot one day, but I'm also sure I won't be ordering the catfish. The people at the table next to us had the wings, they looked really good, maybe I'll try those."
5/26/2021,3 star rating,"I just got thrown off on how we were greeted. We walk in an this lady open the door looking at us up and down. We both were dressed appropriately and looked amazing but the first thing that came out of that ladies mouth is that we might not be able to eat because of our attire. Both were wearing form fitting dresses, nice sandals and hair done. We both are tall petite women but for some reason our attire wasn't up to par with her. We walk in and we see people in sweats, gym shorts, girls in the same dressed as us, neon colored clothing, athletic wear.... just made me wanna walk away. The man at the front didn't think twice or say anything about our attire, it was just that host or greeter.Food was okay but was still bothered by the first impression. Oxtail was all fat, I've had it before and it's never been that fatty. Hummus was great, they just don't get enough bread"
