date,rating,review
5/16/2022,5 star rating,"The family got some these delightful goodies at the Eastern Market. I am a big fan of chess pie and this one was lemon! It was spectacular. It got a couple round hand size pies and another family member got a sweet potato cookie. The cookie was big, soft, and fresh. It tasted like it had nuts in it. The pie was delicious and fresh. I paired it with some Trader Joes lemon ice cream which went perfectly. I put the pie crust into the ice cream, amazing. The chess pie filling was perfect, a nice bruleed with a silky creamy filling. I would buy these again."
12/29/2021,5 star rating,"Thanks Yelpers! We were in town for the weekend and found this spot on Yelp! I love sweet potatoes and I wasn't disappointed. My husband and I got our food to go. We both had the sweet potato waffle, he had wings and I had turkey sausage. I also had the black eyed pea and collard green soup. We also loaded up with plenty desserts, sweet potato cake, pie and cheesecake. Everything was delicious but the cheesecake was my favorite! I love supporting local black-owned businesses."
8/30/2021,5 star rating,I had a chance to try a few mini pies over the weekend. I'm very impressed. The pies were tasty and flavorful. I enjoyed the selections. I will have to return for a full size pie selection. I also would like to try the other food offerings outside of dessert. Not the best Ive had but waaaaaaayyyyy better than the worst.
10/9/2020,5 star rating,"Hmmmm! I can't believe that I have never reviewed Sweet Potato Sensations!This little sweet shop - turned full fledged restaurant complete with a savory menu, has been a staple in their community for quite some time now.I remember when they opened, my school co-workers and I ordering mini pies, cheesecakes, chess pie, and cookies and being amazed that they were made with sweet potato as we passed them around the break room.I have also enjoyed the cookies, which are available at the historic Redford Theater across the street, while I've watched classic movies.There is a little boutique area in the restaurant that has changed into many things over the years. I have purchased sassy t-shirts and ""afro-centric"" jewelry here in the past. The success of the business is attributed to the loving, funny and warm family that owns it. It has been a pleasure to watch the business grow offering more and more yumminess as time has gone by. On my last visit I ordered fried turkey chops, sweet potato grits (mmmm hmmm) and a sweet potato waffle. The meal was outstanding and really felt like food for my soul!The savory menu also boasts a turkey sandwich, salmon croquettes,  black eyed pea & collard green soup, chicken wings and sweet potato pancakes.Other sweets include lemon chess pie, cobblers, various cakes and sweet potato ice cream.Can you imagine such deliciousness in one place???Do not make the mistake of never trying out this gem. You will love it!"
10/10/2021,5 star rating,I've always heard about this place. I had a friend in town and she seen their food on Instagram. So we decided to visit. Best decision ever and I'll most definitely be returning. Great customer service and prices.
10/10/2021,5 star rating,"Amazing food, fresh, unique, friendly staff and great atmosphere. Order the turkey chops."
3/9/2022,5 star rating,Great place for homemade treats and meals made by a family. I love small businesses that treats you like family and most items here is great.
10/7/2021,5 star rating,This sweet potato pies are great tasting in every way . This is their specialty. If you like ginger brew they sell a bottle drink their names the real Jamaican ginger brew A lil expensive for the bottle size . But great taste .
6/20/2020,4 star rating,"Supporting local and black owned business.Dessert = 2 for $7 (mini pies)This is my 2nd time visiting here but this around it was only for dessert.  I tried the sweet potato cheesecake, lemon, and sweet potato pie.  Honestly I wanted to love the cheesecake but the taste was TOO sweet and something wasn't balance.Let me end on positive (of course) - try the food which is amazing; clearly I need to increase my food pallet instead of the sweet pallet.  Happy Eating!!!"
4/19/2022,5 star rating,creative.  delicious.  decadent.  mouth watering sweets and sweet potato sensations.  been buying baked goods for approximately 20 years.  love the location and the pies/cakes even more.
