rating,review
3.5 star rating,"I held my birthday brunch here on New Years Eve and it was AMAZING!! The service, food and drinks were all top notch! Q was our waitress and did a FABULOUS job. I will personally request her next time. She was attentive, courtesy, fun and sweet!! She was on top of all our requests and refills! THE BUFFET was so delicious! Wings, fried fish, crab cakes, bacon, sausage, cheese and regular grits, omelette station, fruit, pasta station, pancakes, sweet potato and reg hash. The list goes on, they have the best pancakes ever!!! Perfect texture and sweetness!! Their mimosas OMG; peach and strawberry sooooo yummy!! I cannot wait to eat here again!!  Such a delicious restaurant. I encourage a large sign on the building as we had to look hard for the sign leaving on the building. It would definitely draw more traffic!!!"
5 star rating,They are closed every time I try to go. Nothing is updated saying they are closed. The phone number does not work
1 star rating,"I stumbled upon this place while staying not far away for a conference. As I was walking up to the building, which is right next to a dilapidated building and down the street from construction, I at first thought this place had closed and almost turned around. But it lies inside up an interesting elevator on the third floor. It was a weekend, and they only offered their unlimited brunch menu for $25, which was a steal compared to back home in DC. There were several different stations for omelettes, pancakes, entrees, and a dessert bar. Their menu is decidedly southern, although I think it needs some work...Highlights and lowlights: -Eggs (scrambles): Meh. They tasted a bit off to me, so I didn't get more than a few bites in-Mac n cheese: Actively not good. This made me very sad, as I am a Big Mac and cheese fan -Chicken wings: These were pretty good. -Grits: They totally tasted off. I took one bite and that was it. The service was friendly and the place had a nice vibe with music in the background, but I honestly couldn't recommend it based on the food."
2 star rating,"Sorry, but it is not open now. Someone did open the locked door to tell us it was closed because of staffing shortages. He hoped to open again soon."
1 star rating,I want to love this place but definitely need some adjustments made to be charge buffet on Sat/Sun at a price of $24 per person.  Lets start off with the positive areas that I enjoyed:- the DJ was SUPER lit; I don't know who he was but keep him (PERIOD)- free parking- food line wasn't too bad; there is a wait since it's made to order.- bacon was on point (it's the simple things)Ok let's get to the improvement areas.... - Servers needs to WRITE stuff down for everything- Why do I need to keep asking for water?! Pitchers do exist instead of brining those tiny bottles or give our table several bottles.- Why wasn't there utensils on the tables - even after they told us we can go eat?  (Come on now)- Waiting area need to be builtThe food wasn't bad at all but not for a value of $24 (maybe $15) and on top of the that drinks were high; basically $10 and up for anything.  Oh beware if you and your party are seat next to the signage - everyone will want take pictures which I was happy the people who did sit there was super nice about it.  They had to stop eating or move their chairs because groups wanted to take pictures.This place has hope and I wish them the best - in hopes for change.Happy Eating!!!
2 star rating,"Let me start by saying,  the staff was super friendly and welcoming and the loft is really nice and cozy.  My friend and I went there on the weekend and I knew it was only the brunch buffet available... However I didn't know the price before arriving here.... $24.99/person... WAAAAYYY over priced they had a lot of options made to order omlets and pancakes but the buffet had some staples scrambled eggs biscuits and some soul food it was okay but not worth $24.99.  Then We ordered orange juice and this was clearly not fresh squeezed but cost $2.50 for an 8 oz glass and no refills.  It would have been nice if we could have ordered from a menu instead especially for that price.  I would have liked waffles but they only offered eggs and pancakes for a main breakfast dish.Then at the end of our visit our waitress asked if we had any feedback for anything that we would change and when my friend gave his input that a larger glass for the price they charge, she was like really? And totally dismissed his feedback."
3 star rating,"Weekend brunch review - since this place is new, it seems they are struggling with consistent service, timing, and how to exploit their beautiful view, and even with all of that, it's still great! We've been to The Breakfast Loft twice for their weekend brunch. The first time out party of two shared a large booth. We started off with delicious cocktails. I loved the Henny Tea. Because it wasn't so busy, we relaxed for quite some time before dipping into the breakfast buffet, and those cocktails slipped up on us a bit. They're the kind that taste light and refreshing while packing a powerful punch! The buffet was well stocked with a strong soul food breakfast. French toast casserole, waffles, fried chicken, catfish, grits and hash - each two ways, green beans, and plenty of breakfast meats. On another table, there were fruits, salads, pastries, and dessert. The food was great! I was curious how it would be with such an amount of food sitting out like that, but they kept it well-stocked and piping hot without getting soggy. I'm not much into breakfast sweets, but the French toast casserole with just an added bit of maple syrup was delicious. I loved the green beans and the hash with sweet potatoes. All the other food was good, and there is just so much of it. And while sweets aren't usually what I go crazy for, I loved their banana pudding. It was super sweet, silky smooth, and had just a tiny crunch from vanilla cookies. The second time we went we had a larger group, and though the restaurant was a bit busier, it definitely wasn't busy. Our service was a bit lacking, just inconsistent timing and lack of attention for water filling and when we were ready for the check. The drinks and food were still great, though I missed that banana pudding and didn't find the peach cobbler quite as good. On the second visit I realized what would make this a five-star place for me: more vegetables and fresh fruits. I can't eat all those carbs! I would love to see a scramble with mushrooms, peppers, onions, or even just a side of them, maybe another hot vegetable dish, too. There is also a lack of alternative meats. All of them were pork-based. I'm not looking for vegetarian sausage, but maybe a chicken or turkey one. I'd also love a bit more fresh fruit to balance out the plate. Still and yet, we'll be back. I love the vibe, especially for two people, and I like that Henny Tea for breakfast. The location also makes a walk in the river front an easy way to walk off some of the guilt from all that good food!"
4 star rating,"Found this place on Yelp and decided to give it a try on a weekend. On weekends, they are buffet only so you can't order off the regular menu. Their buffet offers a lot of soul food options: fried chicken, grits, a couple different potato options, French toast casserole, Mac and cheese, Cajun pasta, fruits and so on. They also have an omelette bar where you can pick your ingredients and have an omelette made for you, as well as made to order pancakes. There was also a pastry table where you could get breakfast pastries. There is certainly no shortage of options. The food itself was... ok. It wasn't bad by any means but of the various dishes I tried, I wasn't really blown away by anything. The space itself is really nice, you get a nice view of the river and the inside is well designed/decorated. The service was great and the staff was super friendly. I would be interested to come back during the week to try their breakfast menu, but as far as the buffet goes I wasn't super impressed."
3 star rating,"Do not come hungry. Even in a virtually empty restaurant, you will be treated cavalierly by an unengaged waitstaff. You will have to beg for water when there is only one other occupied table. You will be privy to the least urgent people known to man. When I was there, there were three people manning an empty bar, one person serving customers I believe the waitstaff gets on a pack mule to travel to Colombia and pick the coffee beans themselves. At least that's what it felt like while I waited for coffee.Make sure you ask for syrup for your pancakes. The request will be treated as some sort of odd ""extra"". The menu says 3 pancakes and they gave me 2. For what it's worth, the food is good."
3 star rating,"This place is awesome! It's very new and service is top tier. The food was veryyyy very good and drinks were just as good. I had the vegan skillet which was very tasty. They have a few other vegan options (which includes egg substitute) as well. The owner is veryyyyy nice. Came out to speak on us and check on us to make sure everything was nice. It's a black owned breakfast spot in Detroit which added to my appreciation of the establishment.I love the venue, it's very cute for pictures. Not overly trendy so it's appropriate for all ages. Literally perfect. I was served by Lucas and he took the experience over the top. This place is my new spot for brunch Also, if you need a place for a brunch date THIS IS IT."
