date,rating,review
4/26/2022,5 star rating,The best Jamaican food EVER!!!! The food tasted better than the food I tasted in Jamaica for vacation. Definitely a hidden gem
12/13/2021,4 star rating,"The food here is DELICIOUS!! This pic is from our first visit here when we ordered two combos- we were super impressed!! Everything was delicious, but the curried goat was definitely our favorite!!On our 2nd visit we ordered an extra large 2-meat combo and we're surprised and disappointed that it was equal to just one of these standard-sized styrofoam containers for nearly double the price (and not enough for two hearty appetites. So just make sure you order correctly and you're sure to be happy."
3/10/2022,3 star rating,"So I have not been a a long time, so I'm order of making sure that I keep my review up to date I am going to go in the next few weeks and grab some food so that I can give a thorough review.What I do remember is that I do like the Oxtails, but I wasn't so well pleased with the cabbage cause it was a little more crunchy than I enjoy. However I'll be back with an updated review and pics!"
2/8/2022,5 star rating,One of the Detroit's westside finest Jamaica restaurant. From the jerk season to the beef patties this is the bomb.
5/15/2021,3 star rating,"This is the large jerk chicken.  Let me begin with the taste. The jerk was fire, but the chicken seemed scarce.  Not sure what type part of the  chicken this is.  The cabbage didn't seem fresh. The plantains were decent.  Honestly the food presentation seemed depressing.  Hopefully they tighten up.  I want to revisit again.  Truly hope they put back the good food in food in there's!"
11/24/2021,5 star rating,"Omg, why am I just finding out about this place? Everything was delicious no complaints.  Lady on the register was friendly, patient and very helpful when I was making my decision on what to get. I'm already planning on what to get when I go back next Friday."
2/11/2022,5 star rating,"Delicious food. I had the 3 chicken delight (jerk, bbq and curry) and plantains and was not disappointed."
2/6/2022,3 star rating,I can't count how many times I've been here exactly lol but that should tell you how good the food has been in the past. Recently when I've ordered the oxtails they have been very tough and the cabbage slightly undercooked. I hope they can get back to things being more consistent.
2/5/2022,5 star rating,"The food is always great! Most of the time I ordered from doordash and I wasn't ever disappointed. It's always hot and absolutely delicious! Next time I go I'll take pictures. The beans and rice is always flavorful, the jerk and bbq chicken are both amazing, spicy and flavorful, and the cabbage is good too!"
4/9/2022,5 star rating,Absolutely excellent food!! No other Caribbean restaurant compares to this place...hands down. I want married in Jamaica but I'm a Detroit native. Only Jamaican Pot's food reminds me of the best fondest cuisine I had in Jamaica. 1000000 stars    yes million stars
4/13/2022,5 star rating,I called myself going to another Jamaican spot in the area. Never again! This place is great. As of now; don't go look for others.
4/12/2022,5 star rating,Very good authentic Jamaican food I love this place and will forever be a happy customer
