date,rating,review
5/4/2022,5 star rating,"This place was so good! Waited a bit long for service the waiter kept saying he'd be right with us but kept tending to other tables. The tenders were fall off the imaginary bone good  and don't let me start on their they say sauce. Just mwaah! cant really remember the drink name but it had Black Hennessy, pretty good just not a dark drinker. Went at 10pm on a weekday! Will definitely be back!!"
4/10/2022,2 star rating,"Great customer service, but drinks trash food selection limited and just wasn't appetizing ordered a they say trio chicken quesadillas weren't done just too much cheese and they say nachos .. they should rename it Starters because it was good start but won't be back and still hungry"
2/22/2022,5 star rating,Nice music beautiful decor great food me and my husband visited in January it was so nice
9/10/2021,2 star rating,We sat at the bar first the manager/owner was amazing made sure we got a table and drinks. We ordered our appetizers then the waitress never came back for our orders and we stopped another waitress to order(glasses with a blue tint).. she was super annoyed and was really rude. Had it not been for the rest of our party i would have left .. there was another women in our party that felt the same way. The same waitress even was arguing on the floor with a man on speaker phone about calling her so much and was yelling back and forth.. another waitress grabbed her because everyone was looking at this point... she was even annoyed with the waitress telling her that everyone was looking. Legit some of the worst service i have ever had at any restaurant ever... i mean no refills no one coming back to check if our food was good.. had to even go get the checks.. it was not by any means busy. I mean the waitress was rolling her eyes and everything.. the reviews on this restaurant are legit true.. i thought maybe they were exaggerated. Definitely not the case! The food was great. The steak bites were amazing and the sweet potato fries were prolly the best I've ever had! The wings were on point and the turkey chops looked amazing i felt like i was missing out by not ordering them(someone else's plate). If i had to come here i would sit at the bar! No wonder everyone was trying to sit there and not a table.
6/29/2020,4 star rating,I've been here a few times. The food is okay. My service was good. I ordered the corned beef sandwich with a side of veggies. I found it weird that they wanted me to put my mask on every time my waitress came to my table. Most restaurants let you take it off once seated.The tables were spread far enough to practice safe social distancing. They don't have virtual menus. All of the staff wore masks.
3/28/2022,4 star rating,Loved the turkey chop options and the ambiance was nice. Unfortunately with staffing shortage service was a bit slow. Wanted extra gravy never received.
7/14/2021,3 star rating,Food was tasty. Lamb chops and catfish were seasoned well. They didn't have the red velvet cheesecake! Oh we got the wings and they were cooked well and sauce was delish!
11/23/2021,5 star rating,This place has a wonderful vibe.  The food selection is really good - which includes their staple of chicken wings.  The restaraunt and bar both are a nice hang out spot. Great networking. You can even rent the upstairs for parties ...
6/30/2021,5 star rating,"highly recommend this trendy restaurant right by the Detroit riverfront and Aretha franklin arena! I'm fairly picky when it comes to hospitality and their service was top notch! we had Raphael as our server and he was super attentive and friendly; we also met the general manager (can't remember her name but she was very welcoming and I always love to see a woman GM!) great food and drink options for super reasonable prices; although they didn't have many vegetarian meal options, I found plenty of options to make a meal out of sides. my party of three had drinks, meals & desserts for about $60 total- an absolute score for city dining!"
3/6/2022,5 star rating,Good vibes! Good food! I went to the downtown location and had a great experience with my boo. The customer service was great and the chicken was on point! Don't forget to order the bread pudding because you will definitely thank me later!
9/27/2021,5 star rating,"I was in a group of about 9pm and arrived a few minutes before the kitchen closed down. It was very long day working the Growler Gallop race at Atwater, and we were ready for a decent meal. These awesome folks kept the kitchen open, and provided top notch service. The Fried Chicken Sandwich and Fries was very good, and the Catfish Bites too. We all sat at the bar, and had an awesome time. I would highly recommend this place. These guys truly know how to provided an excellent customer experience, with great food and drinks."
8/6/2021,5 star rating,"Fantastic food and experience here. My pork chop was perfect, juicy and properly seasoned. Bread pudding was other worldly."
4/28/2019,4 star rating,"20 minute wait but were seated in half the time.I love cocktail menus at restaurants, but here they will just make whatever you ask for.My friend ordered the wings and received a legendary portion. She also received fries when she really ordered onion rings. The onion rings came after we got our bill.I ordered the ribeye which had more fat than expected. The veggies also seemed to be the steamed grocery store bag kind and not fresh."
8/21/2021,5 star rating,The food was amazing....I strongly recommend the Cajun Chicken Pasta and the Carrot Cake.
3/2/2020,2 star rating,"It's one of three restaurants on the street. They Say always seems fun with live music on Monday nights. Music was super loud but we were beepin back and forth to it. Music was real good. Service was real bad. I think our servicer name was Stephany. She didn't tell us- the receipt did. Some of the food was cold. The salmon was dry. The wings were really good. The They Say sauce- was made with love. The seafood dip was yum other than that- everything was cold or dry. Super disappointing. The waitress grabbed all the tops of the waters with her fingers- and opened my beer with her hand. I don't know with the flu going around and other health concerns I was really unhappy with the lack of attention and consideration our server had. I think she rolled her eyes four times I only saw one but my girlfriend caught the other three.We had to ask for items a couple different times like napkins or refills on our drinks or tarter sauce for the cat fish but when it finally came the cat fish was eaten. Anyways- They Say prolly was good at one point in time. The bartender was very sweet. Hopefully it turns around.The music was awesome where that in itself would be fun to go back- maybe- I don't know- Naw after a short moment to reflect that's safe They Say, Sad to Say, its our first and last time to visit."
7/1/2020,3 star rating,First sit down meal since COVID-19 hit and I must admit the service/enthusiasm was just not what I expected after months of take outs and eating at home. My wings were on point and the signature jumbo shrimp meal was a little over cooked but definitely still edible. The tables were spaced well for social distancing. They Say has always been one of my Riverfront favs so I'm not counting them out....I'll Be Back...lol
11/30/2021,1 star rating,"I ordered a delivery order and it seems like every time I order they forget something. Some of the food is amazing like the pasta for example and some of it is just bland and tasteless like the nachos. Wouldn't go back, food was ok but too pricey for what I get."
8/19/2021,2 star rating,"there are only two reasons to eat here:  you're beyond your ""i can't go any further and must eat NOW"" moment and nothing else is open.the worst of the delivered by a giant truck from some commercial processed food place somewhere on the planet.  in addition, of the three sandwiches ordered, all three were thoroughly over cooked and dry beyond redemption.  as for the staff, exceedingly friendly and knowledgeable, great crew.  this place is being added to my ""never, ever, return to this joint and warn friends.""  yuk."
11/5/2021,4 star rating,Food is good bar food with some classier options. Atmosphere is dope with a bar surrounding TVs playing the sports games and plenty of table seating. Stars were lost because of the service; specifically at the bar. Bar was pretty full but the bartender was not remotely equipped to handle the traffic. Visibly flustered and killing the vibe of a laid back sports/social bar experience. This attitude was given to both other guests and myself. The service was so subpar I want to rate 3 stars but the food and the atmosphere beyond the bartender were so good that this place does deserve more. Just train that bartender please or staff two people when the bar is full. Gordon Ramsay would have a few things to say about the service for sure.
7/1/2020,2 star rating,I'll be very specific!!The food was very bland (no flavor)The staff took 30 mins to bring us (a party of 3) water. I ordered catfish bites and wish I hadn't honestly(no flavor). The seafood dip had again no flavor. The chicken wings had been over cooked the salmon was as well. I waited until my friends food was done before receiving my own entree (to eat alone ‍I'm giving 2 stars because the parking is free and the playlist (music) was 90's R&B.
7/15/2021,5 star rating,"We were traveling thru and staying on our boat at WG Milliken Harbor. A local mariner suggested ""They Say "" restaurant. It was an easy safe walk from the marina. I'm so glad we took his advice! The fried chicken sandwich was probably the best I have had. Not greasy, a juicy fried breast served with fresh crisp lettuce, tomatoes and onion slices, and the sweet potatoes fries were pure heaven. The wings my husband ordered were meaty, juicy and offered in good portion sizes. The lady sitting next to me had a plate of lovely lamb chops that looked totally yummy. The difference that really put the experience into a higher category however, was the service. From the moment we walked in, we felt welcome. We were greeted, our server came quickly with a smile and introduced himself. We were checked on regularly and the billing came without delay when we determined we were finished.  The washrooms were clean. Thank you, They Say. It was a delightful experience."
4/29/2017,4 star rating,"Lamb chops!  Look at this picture.... need I say more?They were ""gnaw-on-the-bone"" GOOD!"
11/25/2014,1 star rating,"I'm changing my tune about They Say because the last time a friend and I went to pick up carryout, we were COMPLETELY IGNORED for about 5 minutes until we addressed the host directly. Even though we had been there several times (we work across the street) she obviously didn't want to speak to us. She then proceeded to walk away never to return. After 10 more minutes, we planted ourselves at the bar hoping to get service there. Not so much. The bartender looked right at us and it was only after we told her what we needed without being asked that she went to retrieve our food from the kitchen. Really? I mean, it's carryout. You grab a bag and hand it over. Unacceptable. I got a very negative feeling from the staff for no apparent reason, and I will NOT be returning, despite the decent food. My friend and I are ""less melanated"" people, and I got the feeling that this was the reason for our mistreatment. They've never been this rude before, and my only explanation is that we were with ""more melanated"" people those times. Listen. Perhaps many whities can be jerks, but we are not them. We tip well. We smile and ask nicely. Perhaps we had to pay that day for all the mistreatment that had come before us from other ""less melanated"" patrons, and I get it, but this will be the last time we go there. That's a lot of dollars lost from the ladies who lunch right across the street."
9/5/2014,4 star rating,"I work right across the street from this Riverfront restaurant, so I really hoped it would be good. I'll definitely be returning, but haven't tried enough to go out of my way. I've seen my colleagues order their salads, which are generous and fresh, but some better greens would be nice, and they're a little on the expensive side if you order meat on them. ($12) I ordered the Terry burger and sweet potato fries. The fries were tasty but a bit soft, and the burger is like a BBQ burger with BBQ sauce and hand-battered onion straws. The patty was hand-formed, lean and pretty flavorful. Could have used a bit more salt. The bun was a good bakery variety, and they cooked it to my specifications. Will I return? Yes. And apparently, they have great karaoke."
