rating,review
4.5 star rating,EXCELLENT SERVICE let me start by saying that .The Food amazing . A good satisfying portion . Very flavorful. Tasty . Very clean restaurant. Nice staff. I would highly recommend this place . I will definitely be back when I visit Detroit again .
5 star rating,"Easily some of the BEST food I've had in my entire! Considering I've tried so many different cuisines, I was so grateful to try something that surprised and delighted me!After initially ordering via UberEats and realizing almost two hours later the order never reached the restaurant, my friend and I called the restaurant to place a carry out order an hour before closing. The server was kind and guided us in suggesting some of their specialties/popular items. We ordered the suya chicken with joloff rice and plaintains, lemon pepper jerk chicken with ginger curry chickpeas and jerk oxtail with truffle oil greens and turmeric rice. Everything was fresh and had such equal balances of spicy, savory and sweet. The oxtail was perfectly seasoned and cooked, tender and falling right off the bone. It was my first time trying holiday rice and suya chicken, and they both had the spicy heat I love, and the chicken's peanut and lightly sweet flavors were amazing and truly special. The coconut rice and chickpeas were a perfect balance to the spicy lemon pepper jerk, which was a perfect zing and mellow heat. I usually would devour a good meal like this easily, but I found myself wanting to savor it and save some for leftovers! This experience was well worth the two hour wait, and I'm already waiting to go back! Grateful to have such awesome food right in the heart of my city! The world needs to know about Yumvillage! And more locations! What a gem?!"
5 star rating,"The food is Great!!!, but the service is lacking.Ordered online the day before for curbside pickupOnline instructions say knock on the Red side door,while acquiescing patrons inside looked terrifiedby my actions. I stepped inside and explained tomanagement my reason for knocking and they saidno such info. exists, so don't follow in my footsteps.My food was ready, sitting on a rack labeled 'PickupCurbside', before hastily leaving I should've checkedmy bags. In retrospect Leo Getz words about thedrive thru are resonating in my head. Yum Villageforget to give me my Ginger Curry Chickpea Salad& My 2 pints of Cajun Fire Beer Honey Ale. I should'vesuspected something delusive when they declined to look at my license after I offered to show it to them.I tried calling them but every voicemail selection isjust the same recording, no real persons available.I'm to blame for the order failure as much as they are, not getting my one shot at their Cajun Fire Beermade me feel like I left 'The Nuclear Football' behind.Not sure if I'll ever return, the food was Yum Yum,but the service was not so yummy."
3 star rating,The food is delicious. So if you haven't been there you need to get there.We support Black Owned Businesses. Keep up the good food and hospitality!
5 star rating,"Was in the area and decided I wanted to try some traditional African food so I called in some Yum Village. I heard great things about it and have it a go. I ordered on the phone and was greeted by a warm welcome. I said good afternoon how are you and was replied by ""All is well"". I reflected on this statement and I affirmed yes indeed it was because they followed up with some good reccomendations and was delighted by some traditional African fare. I ordered some Oxtail and jollof rice. The oxtail was fall off the bone tender, cooked in some root vegitables and peppers. The jollof rice I loved because it was spiced perfectly. Level of heat is not lowered to western standards. Its tradional spicy. I shared this dish with my family and they all loved it. So in the end all is well."
5 star rating,I was ready for a meal here until 15 mins before I was going to pick up my order I received a msg saying my order was cancelled. They will not have a good review from me until I have a real experience here and able to gauge their level of customer service. NOT pleased at all with the cancellation.
1 star rating,"You know it's going to be good when you smell your dinner before you open the door. Yum Village is a wonderful balance of spicy and savory. The potions are generous, the rice was a perfect spice level. We ordered the curry spiced chicken (cool village combo) loved the spice level, mild medium. The jerk smoked chicken quarter (classic village combo) was fall off the bone tender, and had some heat (medium to medium hot). The Elder village combo however was unexpectedly our favorite, ordered a small as a side dish but we filled up on it. The maafe rice and corn cakes are amazing. Everything was good. However, the best touch is the pickled/fermented green peppers. They could sell those pickled peppers in a jar and put McClure's out of business."
5 star rating,I got fufu and Egusi with jollof rice and in about 30 minutes after I was on the toilet regretting life's choices. Seriously the worst food I've eaten. The fufu was more of a mash potato texture was very under cooked the egusi was watery and tasted way to strong of herring the jollof tasted like it was cooking in cigarette ashes for the last 28hrs. I thought the last time I ate here it was just a off day but I have to say they have got progressively worse. I highly recommend not eating here I would choose any other African food place if you like good tasting quality food and not a stomach ache and 45 minutes in the bathroom. If I had 2 more thumbs I would give this place 4 thumbs down
1 star rating,I love the food here- it's nearly impossible to pick just one thing so we returned last night and I had the peanut stew and rice- just amazing and perfect for a chilly and rainy Friday night. We are in but most people take-out. There's plenty of space at high and low tables if you have a group.   You order at the counter but she brought our food to us which we didn't expect. Very nice of her. They now have take-away cocktails ($13) in the cooler on the counter and I bought their last gingery one- surprised how good it was for pre-made.  The guy that owns this place is really great too- met him through a Yelp cooking event- plus the fantastic food makes it easy to return again and again to support him.
5 star rating,"EL-LITE. I have waited MONTHS to try this place. I love Afro-Caribbean food but as far as I can remember I've never had some from a restaurant in Detroit. Only in Africa, the Caribbean and other cities lol. And this truly measured up! It tasted very authentic and cooked with love. But we melanated folks of Detroit cook everything with love. It warmed my heart and my soul. I literally brought some on the plane with me to eat as leftovers. 10/10 I highly recommend. The employees there also work very hard to keep up with the high demand! Kudos to you all and God BLESS for this God SENT motherland food."
4.5 star rating,"Yum Village is a great Detroit- born and bred Afro-Caribbean restaurant that is fresh, delicious and delightful!! Stopped in for a combo plate and the Executive Chef & owner, Godwin, was more than happy to tweak my order to make it keto-friendly. The pickled pepper garnish is so good- it should be offered as its own side dish!!  Super friendly service and food is on point!! Everything is made fresh so call ahead if you are in a rush- but it's definitely worth the wait."
5 star rating,"The only reason I'm writing this review is in hopes that it pushes the owner to DO BETTER. Flavor is the only thing done well at this restaurant. If you have other options for a meal, save yourself the frustration and go elsewhere.We've eaten here multiple times over the last few months since movingg to Detroit because it was recommended for having good food. The jerk chicken (when fresh) is delicious and I've only ""lucked up"" on the oxtails once and they were a little dry.  However, the service and overall experience is TERRIBLE, today is the last time I will ever order from this restaurant. We've experienced every possible bad scenario from this spot: wrong order, extremely long wait, order one thing then arrive to find out it's not available, bad customer service, no guidance or service from staff standing behind counter upon arrival, the list goes on and on.It's conveniently located in New Center but there is limited parking/space for pickup. The interior is unorganized and lacks an inviting feel. I'm not sure if it was ever intended for dine-in. 1 star for flavor 1 star for location"
2 star rating,"It pains me to write this review. I initially enjoyed eating here several years ago. I have always noticed issues with the operations, such as service being slow, workers being unprofessional, and overall disorganization, but both the food and service have gone seriously downhill since the pandemic. I remember last year, rather than giving me back my change, the guy at the register just said, ""Oh, is this for me? Thanks!"" and accepted it as his tip. Rude! The wait time for walk-in orders always took a long time, too. The pandemic just exacerbated problems that were already there that were never fixed. Still, I liked the food enough to give it another chance. The last time I came to YumVillage was in July 2020. Restaurants were allowed to reopen and I wanted to show my support. I remember a guy (not the owner) in the kitchen screaming at the woman working the register. It was absolutely appalling behavior. The food, already overpriced (nearly $20 for a bowl these days), decreased significantly in quality. What used to be delicious African style cheese bread was no longer. Instead, Pretzilla bread balls that can be found in the supermarket were used as a substitute with crusty cheese on top. The pretzel balls were as hard as rocks. Also, the workers were not wearing masks or not having them cover their mouths and noses. The service and food were a huge enough disappointment that it kept me away for longer than a year.I finally returned today with a Groupon voucher. There was a long line of people when I got there at lunchtime and it was absolute chaos. Once again, no masks on for most of the workers, including those in the kitchen. There is only one register and one person taking orders. The workers never seem to know what to do with Groupon vouchers even though YumVillage has been selling them off and on as early as 2019. This was maybe the third time I went there with a voucher and it still takes them a long time to figure out how to process it. Today it took at least 15 minutes for two workers to play around with the clover register while people behind me waited. I felt so bad. If anyone working here had common sense, one worker would have immediately taken other customers' orders while the second worker would have taken my Groupon code to process later and just subtracted the amount from the Groupon from my total.Several people stormed out of the restaurant. Other people who were there before I arrived stated that they waited up to an hour for their food. I had to wait for at least half an hour. A woman who looked like she works at a hospital told me she had been waiting for nearly an hour for two sides and she would not have any time to eat before her lunch break ends. She finally got her food after asking for her money back so she could leave. When I received my food, there were several mistakes. One side order was missing, I was given a smaller sized plate than what I had ordered, and the chicken bone-in rather than boneless as I had requested. When I told them this, they acted like it was going to be a huge hassle to give me what I had asked for. I just said ""forget it"" and left even though I probably paid more money for food I didn't receive. One worker I saw outside was at least apologetic and said he could give me more chicken. I thanked him but turned down his offer. I had already wasted enough of my lunch hour waiting for a simple order. The food wasn't great. The chicken was dry and overcooked. Some of the dishes were a bit too sweet for my taste. It felt like a rip off especially after the ordeal at the restaurant. The workers are so unprofessional. From what I can gather, the owner is stretching himself way too thin. He was there when all of this was occurring and didn't do much to control the situation. I think he should have apologized to the customers waiting and given them a gift card for a return visit. Many of these customers will not be returning and neither will I. There are already two new African/Caribbean restaurants that have opened within a half-mile radius. I know he is trying to do a lot by selling merchandise, doing cooking segments on the local news and at Yelp events, doing a podcast, and more, but my recommendation is to go back to the basics even if it means operating from a food truck again. Concentrate on delivering good quality food and service. Train workers on basic problem solving and customer service before having them handle the busy lunch shift. Don't be stingy when charging so much for a bowl of rice and a few pieces of chicken. If someone has waited for an hour, give them their food on the house. If something doesn't change, I don't see Yum Village surviving."
2 star rating,I wanted to check this place for a while but with the pandemic and restaurant closures I put it on a side. Finally decided to have s trip to Detroit and give it a try.Since it's about an hour drive from our house I decided to order many different options with a goal to have meals for 3 days and this way be able to try as many dishes as possible. I never had African food before so wanted from this trip as much as possible. Placed an order online on their website and was amazed how well everything was described on the site. It was very helpful for someone that is not familiar with African cuisine and shows that it was done with a lot of attention. Big plus for giving clear indication on vegan options. And pictures are amazing too.Curbside pick-up was easy and staff friendly. Everything was well packaged.The food itself was AMAZING! it's been a while since I had food from a restaurant that was so flavorful. You could truly taste that it was prepared with care and so much love. Lots of different and unknown flavors which can place you mentally in a cozy African home with somebody's mama cooking. I never had anything tasting like this and was so impressed. Definitely one of the best food experience I've had in years. There was no dish that we had and I didn't like. As a vegan I didn't try meats but my husband said they were very good too. One thing you need to know about this cuisine is that it loves spice and a combination of sweet and spicy or sweet and savory so be prepared for that. Flavors are so unique it can blow your mind. I'll definitely be back since there are still do many items I was not able to try and I'm very curious about them too.Highly recommend!
5 star rating,"While I havent had ""African"" food per say ( the way most reviewers have described Yum Village). I am Puerto Rican, My husband grew up in the Virgin islands, and Caribbean food is a daily staple in our house- I am very familiar with the flavors with cooking and with visiting restaurants. Maybe i didnt order the right things, but this way just Okay for me. Dont get me wrong- I would recommend this place, And I would go back to try again. But it wouldnt be a place that my mind immediately goes to. I tried the Curry Chicken and the Jerk Chicken. IMO, the curry chicken was tastier than the jerk- although the jerk did have plenty of flavor and i appreciated the heat. Both chickens tasted as if they had the sauce on the outside, but hadnt been marinated for long- if at all.  The rice (both coconut and jollof) were definitely good and cooked well. I liked the accompaniment of the hot cabbage slaw. OMG it was so spicy- but tasty and definitely a highlight. I think the most off putting element of my visit- was the service from the girls at the front. Cashiers and waitresses can make or break an experience, and frankly they were not professional at all. I understand that we are in a pandemic- and that it is strictly carryout, however, leggings, and slide sandals with mismatched socks isnt the best look. Being on your phone in full view of the waiting customers isnt the way to go. As I was waiting for my order of food to be found, there were putting coming in to place orders, and the cashier just went to her phone and began scrolling. Since I had checked out ( and noticed the line) I scooted even farther over, and said ""Did you want to take their orders while I wait"" and then she said Oh yeah- I can.  Umm, Oh yeah, you probably should. Let's just train the girls a bit better."
3 star rating,"If I could give 10 stars, I would! Yum Village is DELICIOUS beyond words, filled with flavors and LOVE! Godwin, the owner of Yum Village, is a pure beacon of light, and his passion for cooking and for Afro-Caribbean food shines through in everything that is done here. Everyone who works at Yum Village is happy to work there too, and it's just all around positive vibes every time I go - despite just going for curbside pick up! You can't go wrong with anything you order here! My favorites are the curry chicken, suya fried chicken, suya fried shrimp, corn cakes, elote, and ESPECIALLY the African style cheesy bread - holy moly do I love the cheesy bread! I personally cannot handle too much spice, so the jerk chicken and garlic parm chicken are both so delicious, but so much spicier than anything I can handle! The guava tahini chicken is also delicious if you like a little sweet with your savory - I'm a bit lacking in the sweet-tooth department so it wasn't my favorite, but again - SO FLAVORFUL! All in all, try Yum Village if you haven't already! It's a wonderful business, built with love, proudly in Detroit, black-owned, RIDICULOUSLY DELICIOUS - what's not to love?!?!?!?!"
5 star rating,Very low key dine in or carry out restaurant. They have shirts for sale and even have some carry out cocktails. I got the DJ Village combo and ate in. They probably do more carry out since they brought in a bag. I asked about eating in and she said it was ok.  I ordered the medium portion. It was plenty! My dish described as- Jezebel Peach Honey Mustard Chicken over Turmeric Rice served with Truffle Oil Greens and White Potato Flips. Not Spicy. So first- I did not try the greens and had okra and tomato dish. It was a little spicy. The main chicken dish was fragrant. I mean good delicious fragrant. The chicken was bone in- they may make it both ways since I thought I was asked and still got the bone in. Service was pretty quick considering this felt like a complex dish. My friend had peanut stew and rice. She also had a healthy portion. Parking is tricky since it's street. Don't forget to pay!
4 star rating,"Absolutely amazing. This is my first experience eating African food & I just want more. I've had jerk chicken, but the Lemon Jerk Chicken was so well flavored. I'm hooked on Jollof rice & Maafe. I love Panang Thai curry & this felt like the African equivalent & quite possibly a step above. Hearty, delicious, and amazing when you mix them together. If you don't try this place, you just don't want good food. Top Notch"
5 star rating,"Y'all I've been very sick for a week now and I think that Yum Village finally brought me out of it. I swear, it filled up my body and my spirit. After eating their food last night I woke up finally with some energy and my symptoms almost gone. It's healing. Alsoooo SO DELICIOUS!!! I can't emphasize it enough. The jerk chicken is so crispy, everything hit so hard. I really loved the fried fufu, so frickin tasty. Anything you get will be delicious. Also, they delivered my order a half an hour earlier than originally posted. Service was very quick! I saw some past reviews mentioning bad service but I had a great experience. Thanks for bringing me out of my sick hole and for providing what you do. It's so much more than food!!! Support this Black owned business! Y'all have something so special. Thank you!!!! Thank"
5 star rating,Some the best jerk chicken I've ever had. The meat was tender and the sauce was so flavorful. I ordered the combo plate which came with roasted plantains and jollof rice. Both were flavorful and perfectly cooked. My mouth was on fire but in a good way. The fact that the meat is halal is an added plus.The only negative I would say is that the plate was a bit pricey. But I'd rather have a quality dish for a higher prices than a bad one.Good effort guys! I will be back.
4.5 star rating,"I absolutely love this place and consider it a must stop whenever I'm in Detroit. The Maafe stew and coconut rice combination is the absolute best. As a vegan, I highly recommend this place because there are a lot of options for us. I cannot wait to get back to Detroit just for the stew and the mixed drinks."
5 star rating,"The customer service is beyond horrible. I walked in and the young lady with the ponytail at the register just stared at me. No hello or any type of greeting. As a paying customer, I should receive very basic customer service. I then told her that I had an online order, she didn't even let me finish my sentence and just rudely pointed to the side. Very poor customer service. The food is good but overpriced for the portion size."
3 star rating,"I wondered Into The Alley hungry and ready for anything.  I found this unassuming little stand right before the Skip Bar.... Imagine my surprise when I found some of the best food in Detroit from a cart!!! I had the jerk chicken , elote, and plantains it was all delicious and worth the pennies that I paid ( I would have paid 2x more ) now I had dinner and enough lunch for tomorrow.... Definitely coming back!"
5 star rating,"Y'all I've been very sick for a week now and I think that Yum Village finally brought me out of it. I swear, it filled up my body and my spirit. After eating their food last night I woke up finally with some energy and my symptoms almost gone. It's healing. Alsoooo SO DELICIOUS!!! I can't emphasize it enough. The jerk chicken is so crispy, everything hit so hard. I really loved the fried fufu, so frickin tasty. Anything you get will be delicious. Also, they delivered my order a half an hour earlier than originally posted. Service was very quick! I saw some past reviews mentioning bad service but I had a great experience. Thanks for bringing me out of my sick hole and for providing what you do. It's so much more than food!!! Support this Black owned business! Y'all have something so special. Thank you!!!! Thank"
